candidate_key,event_group_key,display_name,normalized_name,source_url,source_title,source_scope,bridge_status,bridge_assurance_level,training_line,training_type,organization_name,start_year,end_year,ten_year_trend_window,confidence,required_next_evidence,evidence_json,audited_at
attending_biosketch_bridge_a2b92cdcd96caa2a,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,https://www.med.upenn.edu/apps/faculty/index.php/g353/p8940694,Patrick Gleeson - Faculty Biosketch,official_penn_faculty_biosketch,dated_recent_official_biosketch_training_bridge_candidate,3,"Fellowship, Allergy and Immunology, Hospital of the University of Pennsylvania, Chief Fellow 2019, 2018-2020.",fellowship,University of Pennsylvania,2018,2020,yes,0.9,Review official biosketch line against current endpoint before accepting trend link.,"{""faculty_index_clean_name"": ""patrick gleeson"", ""faculty_index_label"": ""Patrick Gleeson, MD, MSCE"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""first_last_name"", ""source_last_updated"": ""Last updated: 04/09/2026"", ""source_sha256"": ""1ba0604c84bbe504d1c3d92126135d0cb27aa71f3c6640a023f21122918b7926"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_72c69588f7603463,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,https://www.med.upenn.edu/apps/faculty/index.php/g353/p8940694,Patrick Gleeson - Faculty Biosketch,official_penn_faculty_biosketch,official_biosketch_research_training_context,2,"Post-doctoral Fellow, University of Pennsylvania, 2020-2022.",postdoctoral,University of Pennsylvania,2020,2022,yes,0.72,Use as research-training context only; do not count as GME trainee-to-attending trend bridge.,"{""faculty_index_clean_name"": ""patrick gleeson"", ""faculty_index_label"": ""Patrick Gleeson, MD, MSCE"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""first_last_name"", ""source_last_updated"": ""Last updated: 04/09/2026"", ""source_sha256"": ""1ba0604c84bbe504d1c3d92126135d0cb27aa71f3c6640a023f21122918b7926"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_09bbe14bb7f76e6b,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,https://www.med.upenn.edu/apps/faculty/index.php/g353/p8940694,Patrick Gleeson - Faculty Biosketch,official_penn_faculty_biosketch,non_penn_training_context,1,"Categorical Internal Medicine Residency, Temple University Hospital, 2015-2018.",residency,,2015,2018,yes,0.5,Use as background only unless another source links Penn training.,"{""faculty_index_clean_name"": ""patrick gleeson"", ""faculty_index_label"": ""Patrick Gleeson, MD, MSCE"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""first_last_name"", ""source_last_updated"": ""Last updated: 04/09/2026"", ""source_sha256"": ""1ba0604c84bbe504d1c3d92126135d0cb27aa71f3c6640a023f21122918b7926"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_a003ac46e05a6ee7,priya patel,"Priya Patel, MD",priya patel,https://www.med.upenn.edu/apps/faculty/index.php/g353/p9009993,Priya Patel - Faculty Biosketch,official_penn_faculty_biosketch,dated_recent_official_biosketch_training_bridge_candidate,3,"Fellow, Allergy & Immunology, Hospital of the University of Pennsylvania, Philadelphia, PA, 2017-2019.",fellowship,University of Pennsylvania,2017,2019,yes,0.9,Review official biosketch line against current endpoint before accepting trend link.,"{""faculty_index_clean_name"": ""priya patel"", ""faculty_index_label"": ""Priya Patel, MD"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""exact_clean_name"", ""source_last_updated"": ""Last updated: 03/18/2026"", ""source_sha256"": ""a68e3b23b2f1c5f168d3966f0360cf72af791bd63d2f5f050ee88bd1b43ef841"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_7c80313f9f966935,priya patel,"Priya Patel, MD",priya patel,https://www.med.upenn.edu/apps/faculty/index.php/g353/p9009993,Priya Patel - Faculty Biosketch,official_penn_faculty_biosketch,non_penn_training_context,1,"Chief Resident, Internal Medicine, VA NJ Health Care System, East Orange Campus, Rutgers New Jersey Medical School, 2016-2017.",residency,,2016,2017,yes,0.5,Use as background only unless another source links Penn training.,"{""faculty_index_clean_name"": ""priya patel"", ""faculty_index_label"": ""Priya Patel, MD"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""exact_clean_name"", ""source_last_updated"": ""Last updated: 03/18/2026"", ""source_sha256"": ""a68e3b23b2f1c5f168d3966f0360cf72af791bd63d2f5f050ee88bd1b43ef841"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_6e0fe3317479dcd0,priya patel,"Priya Patel, MD",priya patel,https://www.med.upenn.edu/apps/faculty/index.php/g353/p9009993,Priya Patel - Faculty Biosketch,official_penn_faculty_biosketch,non_penn_training_context,1,"Chief Resident, Pediatric and Internal Medicine, Rutgers New Jersey Medical School, Newark, NJ, 2015-2016.",residency,,2015,2016,yes,0.5,Use as background only unless another source links Penn training.,"{""faculty_index_clean_name"": ""priya patel"", ""faculty_index_label"": ""Priya Patel, MD"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""exact_clean_name"", ""source_last_updated"": ""Last updated: 03/18/2026"", ""source_sha256"": ""a68e3b23b2f1c5f168d3966f0360cf72af791bd63d2f5f050ee88bd1b43ef841"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_a86902213fe1905d,priya patel,"Priya Patel, MD",priya patel,https://www.med.upenn.edu/apps/faculty/index.php/g353/p9009993,Priya Patel - Faculty Biosketch,official_penn_faculty_biosketch,non_penn_training_context,1,"Intern, Pediatrics and Internal Medicine, UMDNJ New Jersey Medical School, Newark, NJ, 2012-2013.",internship,,2012,2013,no,0.5,Use as background only unless another source links Penn training.,"{""faculty_index_clean_name"": ""priya patel"", ""faculty_index_label"": ""Priya Patel, MD"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""exact_clean_name"", ""source_last_updated"": ""Last updated: 03/18/2026"", ""source_sha256"": ""a68e3b23b2f1c5f168d3966f0360cf72af791bd63d2f5f050ee88bd1b43ef841"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_42e6e456a2d007d2,priya patel,"Priya Patel, MD",priya patel,https://www.med.upenn.edu/apps/faculty/index.php/g353/p9009993,Priya Patel - Faculty Biosketch,official_penn_faculty_biosketch,non_penn_training_context,1,"Resident, Pediatrics and Internal Medicine, Rutgers (former UMDNJ) New Jersey Medical School, Newark, NJ, 2013-2016.",residency,,2013,2016,yes,0.5,Use as background only unless another source links Penn training.,"{""faculty_index_clean_name"": ""priya patel"", ""faculty_index_label"": ""Priya Patel, MD"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""exact_clean_name"", ""source_last_updated"": ""Last updated: 03/18/2026"", ""source_sha256"": ""a68e3b23b2f1c5f168d3966f0360cf72af791bd63d2f5f050ee88bd1b43ef841"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_33d0084f976a2612,timothy buckey,"Timothy Buckey, MD, MBE",timothy buckey,https://www.med.upenn.edu/apps/faculty/index.php/g353/p8497949,Timothy Buckey - Faculty Biosketch,official_penn_faculty_biosketch,dated_recent_official_biosketch_training_bridge_candidate,3,"Fellowship, Allergy and Immunology, Perelman School of Medicine, University of Pennsylvania, The Children’s Hospital of Philadelphia, 2022-2024.",fellowship,University of Pennsylvania,2022,2024,yes,0.9,Review official biosketch line against current endpoint before accepting trend link.,"{""faculty_index_clean_name"": ""timothy buckey"", ""faculty_index_label"": ""Timothy Buckey, MD MBE"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""exact_clean_name"", ""source_last_updated"": ""Last updated: 03/27/2026"", ""source_sha256"": ""bbf67f55c6a020de3bbc182bd24a68ef49dc2723a10563d423b776b60a26efd7"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
attending_biosketch_bridge_683592b3fc05a14b,timothy buckey,"Timothy Buckey, MD, MBE",timothy buckey,https://www.med.upenn.edu/apps/faculty/index.php/g353/p8497949,Timothy Buckey - Faculty Biosketch,official_penn_faculty_biosketch,non_penn_training_context,1,"Residency, Internal Medicine, Katz School of Medicine, Temple University Hospital, Philadelphia, PA, 2019-2022.",residency,,2019,2022,yes,0.5,Use as background only unless another source links Penn training.,"{""faculty_index_clean_name"": ""timothy buckey"", ""faculty_index_label"": ""Timothy Buckey, MD MBE"", ""faculty_index_url"": ""https://www.med.upenn.edu/apps/faculty/index.php/g353"", ""faculty_name_match_type"": ""exact_clean_name"", ""source_last_updated"": ""Last updated: 03/27/2026"", ""source_sha256"": ""bbf67f55c6a020de3bbc182bd24a68ef49dc2723a10563d423b776b60a26efd7"", ""target_best_linkage_status"": ""profile_penn_training_claim_needs_historical_roster"", ""target_required_next_evidence"": ""Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.""}",2026-06-02T09:27:05.800965+00:00
