query_key,event_group_key,display_name,normalized_name,query_kind,query,query_url,result_url,result_domain,result_title,result_snippet,search_status,searched_at,search_http_status,probe_http_status,probe_content_type,probe_title,probe_text_length,probe_sha256,probe_error,probed_at,page_term_hits,candidate_key,candidate_status,confidence,priority,classification_reasons,required_next_evidence
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-universit_6c7ceb477818,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22University+of+Pennsylvania%22+fellowship,https://www.linkedin.com/in/emily-gordon-md-msed-406675247,www.linkedin.com,"Emily Gordon, MD, MSEd - Professor of Clinical ... - LinkedIn","Professor of Clinical Anesthesiology and Critical Care · Experience: Penn Medicine, University of Pennsylvania Health System · Education: University of Pennsylvania Graduate School of Education ...",ok,2026-06-02T09:27:09.966754+00:00,200,999,text/html,,0,644031a68bde879af85bcc9cb3e6fa1e9a6b0f61d49307581974b5dbc09d3de8,,2026-06-02T09:27:11.918925+00:00,,attending_history_candidate_emily-gordon-https-www-linkedin-com-in-emily-gordon-md-msed-_34153b6ebd0e,historical_roster_or_alumni_candidate,0.95,120,historical_roster_or_alumni_bridge_candidate; historical_training_term; name_present; penn_term; profile_term,"Review page text for explicit same-person, Penn-training, program, and date anchors before accepting trend link."
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-universit_6c7ceb477818,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22University+of+Pennsylvania%22+fellowship,https://www.doximity.com/pub/emily-gordon-md-1da42043,www.doximity.com,"Dr. Emily Gordon, MD - Philadelphia, PA | Anesthesiology","Dr. Emily Gordon , MD is a board certified anesthesiologist in Philadelphia, Pennsylvania. She is affiliated with Hospital of the University of Pennsylvania , Penn Presbyterian Medical Center, and GSPP Rehabilitation.",ok,2026-06-02T09:27:09.966754+00:00,200,200,text/html; charset=utf-8,"Dr. Emily Gordon, MD – Philadelphia, PA | Anesthesiology",4625,8614a51445353798cb82b73b402299ff0c486a67f665f9f99e3741075f41cb76,,2026-06-02T09:27:11.077772+00:00,historical_training_term; penn_term; profile_term; recent_or_dated_term,attending_history_candidate_emily-gordon-https-www-doximity-com-pub-emily-gordon-md-1da4_fc697c6780ec,historical_training_search_candidate,0.95,95,general_search_context; historical_training_term; name_present; penn_term; profile_term; recent_or_dated_term,"Review page text for explicit same-person, Penn-training, program, and date anchors before accepting trend link."
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-universit_6c7ceb477818,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22University+of+Pennsylvania%22+fellowship,https://www.pennmedicine.org/providers/emily-gordon,www.pennmedicine.org,"Emily Gordon, MD, MSEd - Penn Medicine","About me Vice Chair of Education, Department of Anesthesiology Professor of Clinical Anesthesiology and Critical Care My education and training Medical School: Wake Forest University Residency: University of Pennsylvania Health System Fellowship : University of Pennsylvania Health System",ok,2026-06-02T09:27:09.966754+00:00,200,200,text/html; charset=utf-8,Provider Profile | Penn Medicine,12523,2cc1d10390860ef0e1ebd765e039d6f4e1d73591259f9a23c27bd8d64e52475a,,2026-06-02T09:27:10.719573+00:00,historical_training_term; penn_term; profile_term,attending_history_candidate_emily-gordon-https-www-pennmedicine-org-providers-emily-gord_68c14cfbbbf1,historical_training_search_candidate,0.95,95,general_search_context; historical_training_term; name_present; official_or_penn_domain; penn_term; profile_term,"Review page text for explicit same-person, Penn-training, program, and date anchors before accepting trend link."
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-universit_6c7ceb477818,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22University+of+Pennsylvania%22+fellowship,https://www.researchgate.net/profile/Emily-Gordon-7,www.researchgate.net,"Emily GORDON | Doctor of Medicine | University of Pennsylvania, PA | UP ...",The annual program evaluation presents all stakeholders with an opportunity to evolve with the changing needs and opportunities of the fellowship milieu. The active engagement of the program in ...,ok,2026-06-02T09:27:09.966754+00:00,200,403,text/html; charset=UTF-8,ResearchGate - Temporarily Unavailable,319,45b8770fe3ee53afb4b735b1017d8984075637925d8ccd7eb80f5b975a11d848,,2026-06-02T09:27:11.580015+00:00,,attending_history_candidate_emily-gordon-https-www-researchgate-net-profile-emily-gordon_7087ff98d061,historical_training_search_candidate,0.95,95,general_search_context; historical_training_term; name_present; penn_term; profile_term,"Review page text for explicit same-person, Penn-training, program, and date anchors before accepting trend link."
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-penn-fell_82c4caea4571,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22Penn%22+fellowship,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/trauma-and-surgical-critical-care-fellowship/surgical-critical-care-services/team-members/anesthesiologists,www3.pennmedicine.org,Anesthesiologists - Penn Medicine,Emily Gordon Associate Professor of Clinical Anesthesiology and Critical Care,ok,2026-06-02T09:27:13.204681+00:00,200,200,text/html; charset=utf-8,Anesthesiologists - Penn Medicine,4847,cc1c18cc96aa8b46f6f24c51dcf4bad86eb424c32cabc4bbe84614d4dc4125f3,,2026-06-02T09:27:14.191145+00:00,historical_training_term; penn_term; profile_term; recent_or_dated_term,attending_history_candidate_emily-gordon-https-www3-pennmedicine-org-departments-and-cen_f4ea7b099a3f,historical_training_search_candidate,0.95,95,general_search_context; historical_training_term; name_present; official_or_penn_domain; penn_term; profile_term; recent_or_dated_term,"Review page text for explicit same-person, Penn-training, program, and date anchors before accepting trend link."
attending_history_seed_emily-gordon-https-www3-pennmedicine-org-departments-and-cen_ccdf2477e2e9,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,existing_linkage_source_url,,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,www3.pennmedicine.org,,,seeded_from_attending_trend_linkage_group,,,200,text/html; charset=utf-8,Emily Gordon - Penn Medicine,2782,8bca52588df28bd6304ce32082803a066783af7b3eda1066185162c391872052,,2026-06-02T09:27:06.391710+00:00,historical_training_term; penn_term; profile_term; recent_or_dated_term,attending_history_candidate_emily-gordon-https-www3-pennmedicine-org-departments-and-cen_ccdf2477e2e9,current_profile_training_context_candidate,0.78,78,current_profile_or_faculty_context; historical_training_term; name_present; official_or_penn_domain; penn_term; profile_term; recent_or_dated_term; seeded_from_existing_linkage_group,"Use as current profile/training context only; still requires dated historical roster, alumni, CV, or independent profile bridge for trend acceptance."
attending_history_seed_priya-patel-https-www3-pennmedicine-org-providers-profile-pr_7609485409f4,priya patel,"Priya Patel, MD",priya patel,existing_linkage_source_url,,,https://www3.pennmedicine.org/providers/profile/priya-patel,www3.pennmedicine.org,,,seeded_from_attending_trend_linkage_group,,,200,text/html; charset=utf-8,Provider Profile | Penn Medicine,11369,c6155c05b726b4a88729297fdea97d76f655acca1447e1c1e2942999679ba01b,,2026-06-02T09:27:07.961280+00:00,historical_training_term; penn_term; profile_term; recent_or_dated_term,attending_history_candidate_priya-patel-https-www3-pennmedicine-org-providers-profile-pr_7609485409f4,current_profile_training_context_candidate,0.78,78,current_profile_or_faculty_context; historical_training_term; name_present; official_or_penn_domain; penn_term; profile_term; recent_or_dated_term; seeded_from_existing_linkage_group,"Use as current profile/training context only; still requires dated historical roster, alumni, CV, or independent profile bridge for trend acceptance."
attending_history_seed_timothy-buckey-https-www3-pennmedicine-org-providers-profile_9d7219b1c7ae,timothy buckey,"Timothy Buckey, MD, MBE",timothy buckey,existing_linkage_source_url,,,https://www3.pennmedicine.org/providers/profile/timothy-buckey,www3.pennmedicine.org,,,seeded_from_attending_trend_linkage_group,,,200,text/html; charset=utf-8,Provider Profile | Penn Medicine,12916,f5f32734339cfc77c981b4f385b483b49d0263c6b8381893ad82d872cd6114fe,,2026-06-02T09:27:09.502059+00:00,historical_training_term; penn_term; profile_term; recent_or_dated_term,attending_history_candidate_timothy-buckey-https-www3-pennmedicine-org-providers-profile_9d7219b1c7ae,current_profile_training_context_candidate,0.78,78,current_profile_or_faculty_context; historical_training_term; name_present; official_or_penn_domain; penn_term; profile_term; recent_or_dated_term; seeded_from_existing_linkage_group,"Use as current profile/training context only; still requires dated historical roster, alumni, CV, or independent profile bridge for trend acceptance."
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-penn-fell_82c4caea4571,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22Penn%22+fellowship,https://www.linkedin.com/in/emily-gordon-3046583b4,www.linkedin.com,"Emily Gordon - Penn Foster Group - Louisville, Kentucky ... - LinkedIn","Education: Penn Foster Group · Location: 40216. View Emily Gordon 's profile on LinkedIn, a professional community of 1 billion members.",ok,2026-06-02T09:27:13.204681+00:00,200,999,text/html,,0,644031a68bde879af85bcc9cb3e6fa1e9a6b0f61d49307581974b5dbc09d3de8,,2026-06-02T09:27:14.609863+00:00,,attending_history_candidate_emily-gordon-https-www-linkedin-com-in-emily-gordon-3046583b_fdf55abaadad,profile_identity_anchor_candidate,0.7,70,general_search_context; name_present; penn_term; profile_term,"Review page text for explicit same-person, Penn-training, program, and date anchors before accepting trend link."
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-penn-fell_82c4caea4571,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22Penn%22+fellowship,https://www.mapquest.com/us/pennsylvania/emily-gordon-md-penn-anesthesiology-and-critical-care-hup-372734671,www.mapquest.com,"Emily Gordon, MD - Penn Anesthesiology and Critical Care Hup","Get more information for Emily Gordon , MD - Penn Anesthesiology and Critical Care Hup in Philadelphia, PA. See reviews, map, get the address, and find directions.",ok,2026-06-02T09:27:13.204681+00:00,200,202,text/html; charset=UTF-8,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,2026-06-02T09:27:14.872058+00:00,,attending_history_candidate_emily-gordon-https-www-mapquest-com-us-pennsylvania-emily-go_6e97c277aeb9,low_signal_search_result,0.6,60,general_search_context; name_present; penn_term,Keep only as discovery context unless another source supplies Penn-training or identity anchors.
