query_key,event_group_key,display_name,normalized_name,query_kind,query,query_url,searched_at,search_http_status,result_count,error
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-universit_6c7ceb477818,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22University+of+Pennsylvania%22+fellowship,2026-06-02T08:14:46.083528+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-penn-fell_82c4caea4571,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""emily gordon"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22emily+gordon%22+%22Penn%22+fellowship,2026-06-02T08:14:46.458721+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-official-penn-profile-site-pennmedicine-org-emi_e7bf6c4bb4be,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,official_penn_profile,"site:pennmedicine.org ""emily gordon""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22emily+gordon%22,2026-06-02T08:14:46.747991+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-md-msed-u_b25f04f05e37,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""Emily Gordon, MD, MSEd"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22Emily+Gordon%2C+MD%2C+MSEd%22+%22University+of+Pennsylvania%22+fellowship,2026-06-02T08:14:47.034564+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-md-msed-p_7847c0a8c90f,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""Emily Gordon, MD, MSEd"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22Emily+Gordon%2C+MD%2C+MSEd%22+%22Penn%22+fellowship,2026-06-02T08:14:47.326922+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-historical-penn-training-emily-gordon-md-msed-p_380df39565f3,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_penn_training,"""Emily Gordon, MD, MSEd"" ""Penn Medicine"" residency fellowship",https://html.duckduckgo.com/html/?q=%22Emily+Gordon%2C+MD%2C+MSEd%22+%22Penn+Medicine%22+residency+fellowship,2026-06-02T08:14:47.607159+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-historical-roster-or-alumni-emily-gordon-md-mse_ca7dee19fdf5,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,historical_roster_or_alumni,"""Emily Gordon, MD, MSEd"" Penn alumni fellow resident",https://html.duckduckgo.com/html/?q=%22Emily+Gordon%2C+MD%2C+MSEd%22+Penn+alumni+fellow+resident,2026-06-02T08:14:47.896790+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-official-penn-profile-site-pennmedicine-org-emi_ff911f5247d9,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,official_penn_profile,"site:pennmedicine.org ""Emily Gordon, MD, MSEd""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22Emily+Gordon%2C+MD%2C+MSEd%22,2026-06-02T08:14:48.186725+00:00,202,0,search_endpoint_non_200
attending_history_query_emily-gordon-upenn-profile-or-cv-site-upenn-edu-emily-gordon_3ee1b570ff70,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,upenn_profile_or_cv,"site:upenn.edu ""Emily Gordon, MD, MSEd"" fellowship OR residency",https://html.duckduckgo.com/html/?q=site%3Aupenn.edu+%22Emily+Gordon%2C+MD%2C+MSEd%22+fellowship+OR+residency,2026-06-02T08:14:48.478723+00:00,202,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-historical-penn-training-patrick-kevin_324a6d7b8ef9,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,historical_penn_training,"""patrick kevin gleeson"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22patrick+kevin+gleeson%22+%22University+of+Pennsylvania%22+fellowship,2026-06-02T08:14:48.766800+00:00,202,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-historical-penn-training-patrick-kevin_c12da814bfb1,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,historical_penn_training,"""patrick kevin gleeson"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22patrick+kevin+gleeson%22+%22Penn%22+fellowship,2026-06-02T08:14:49.056588+00:00,202,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-official-penn-profile-site-pennmedicin_7a11b90e08d8,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,official_penn_profile,"site:pennmedicine.org ""patrick kevin gleeson""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22patrick+kevin+gleeson%22,2026-06-02T08:14:49.346753+00:00,202,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-historical-penn-training-patrick-kevin_a58659b40682,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,historical_penn_training,"""Patrick Kevin Gleeson, MD, MSCE"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22Patrick+Kevin+Gleeson%2C+MD%2C+MSCE%22+%22University+of+Pennsylvania%22+fellowship,2026-06-02T08:14:49.633984+00:00,202,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-historical-penn-training-patrick-kevin_0c630c53e097,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,historical_penn_training,"""Patrick Kevin Gleeson, MD, MSCE"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22Patrick+Kevin+Gleeson%2C+MD%2C+MSCE%22+%22Penn%22+fellowship,2026-06-02T08:14:49.916767+00:00,202,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-historical-penn-training-patrick-kevin_6ae56d124b8a,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,historical_penn_training,"""Patrick Kevin Gleeson, MD, MSCE"" ""Penn Medicine"" residency fellowship",https://html.duckduckgo.com/html/?q=%22Patrick+Kevin+Gleeson%2C+MD%2C+MSCE%22+%22Penn+Medicine%22+residency+fellowship,2026-06-02T08:14:50.209016+00:00,202,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-historical-roster-or-alumni-patrick-ke_dcd25ee0790b,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,historical_roster_or_alumni,"""Patrick Kevin Gleeson, MD, MSCE"" Penn alumni fellow resident",https://html.duckduckgo.com/html/?q=%22Patrick+Kevin+Gleeson%2C+MD%2C+MSCE%22+Penn+alumni+fellow+resident,2026-06-02T08:14:50.496355+00:00,403,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-official-penn-profile-site-pennmedicin_abf65fb46d13,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,official_penn_profile,"site:pennmedicine.org ""Patrick Kevin Gleeson, MD, MSCE""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22Patrick+Kevin+Gleeson%2C+MD%2C+MSCE%22,2026-06-02T08:14:51.293046+00:00,403,0,search_endpoint_non_200
attending_history_query_patrick-kevin-gleeson-upenn-profile-or-cv-site-upenn-edu-pat_2cce73b80ab5,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,upenn_profile_or_cv,"site:upenn.edu ""Patrick Kevin Gleeson, MD, MSCE"" fellowship OR residency",https://html.duckduckgo.com/html/?q=site%3Aupenn.edu+%22Patrick+Kevin+Gleeson%2C+MD%2C+MSCE%22+fellowship+OR+residency,2026-06-02T08:14:52.054183+00:00,403,0,search_endpoint_non_200
attending_history_query_priya-patel-historical-penn-training-priya-patel-university-_cd6162ce5693,priya patel,"Priya Patel, MD",priya patel,historical_penn_training,"""priya patel"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22priya+patel%22+%22University+of+Pennsylvania%22+fellowship,2026-06-02T08:14:52.809180+00:00,403,0,search_endpoint_non_200
attending_history_query_priya-patel-historical-penn-training-priya-patel-penn-fellow_a88af4c8c45e,priya patel,"Priya Patel, MD",priya patel,historical_penn_training,"""priya patel"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22priya+patel%22+%22Penn%22+fellowship,2026-06-02T08:14:53.574439+00:00,403,0,search_endpoint_non_200
attending_history_query_priya-patel-official-penn-profile-site-pennmedicine-org-priy_e9d362515ed5,priya patel,"Priya Patel, MD",priya patel,official_penn_profile,"site:pennmedicine.org ""priya patel""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22priya+patel%22,2026-06-02T08:14:54.342219+00:00,403,0,search_endpoint_non_200
attending_history_query_priya-patel-historical-penn-training-priya-patel-md-universi_21e05b627d56,priya patel,"Priya Patel, MD",priya patel,historical_penn_training,"""Priya Patel, MD"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22Priya+Patel%2C+MD%22+%22University+of+Pennsylvania%22+fellowship,2026-06-02T08:14:55.091560+00:00,403,0,search_endpoint_non_200
attending_history_query_priya-patel-historical-penn-training-priya-patel-md-penn-fel_24f4a1e732ac,priya patel,"Priya Patel, MD",priya patel,historical_penn_training,"""Priya Patel, MD"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22Priya+Patel%2C+MD%22+%22Penn%22+fellowship,2026-06-02T08:14:55.909661+00:00,403,0,search_endpoint_non_200
