query_key,event_group_key,display_name,normalized_name,query_kind,query,query_url
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-md-hospital-of-the-univ_9424facb1319,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""Alana Sagin, MD"" ""Hospital of the University of Pennsylvania""",https://html.duckduckgo.com/html/?q=%22Alana+Sagin%2C+MD%22+%22Hospital+of+the+University+of+Pennsylvania%22
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-md-penn-medicine-reside_4f58bba1c821,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""Alana Sagin, MD"" ""Penn Medicine"" residency fellowship",https://html.duckduckgo.com/html/?q=%22Alana+Sagin%2C+MD%22+%22Penn+Medicine%22+residency+fellowship
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-md-penn-fellowship_a22a677f4cef,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""Alana Sagin, MD"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22Alana+Sagin%2C+MD%22+%22Penn%22+fellowship
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-md-university-of-pennsy_b7a658fc7f17,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""Alana Sagin, MD"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22Alana+Sagin%2C+MD%22+%22University+of+Pennsylvania%22+fellowship
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-hospital-of-the-univers_9673302077ce,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""alana sagin"" ""Hospital of the University of Pennsylvania""",https://html.duckduckgo.com/html/?q=%22alana+sagin%22+%22Hospital+of+the+University+of+Pennsylvania%22
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-penn-fellowship_07ae1a3cc0a4,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""alana sagin"" ""Penn"" fellowship",https://html.duckduckgo.com/html/?q=%22alana+sagin%22+%22Penn%22+fellowship
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-university-of-pennsylva_6a4b862f36fa,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""alana sagin"" ""University of Pennsylvania"" fellowship",https://html.duckduckgo.com/html/?q=%22alana+sagin%22+%22University+of+Pennsylvania%22+fellowship
attending_history_query_alana-sagin-historical-penn-training-alana-sagin-university-of-pennsylva_25b8ba9027ee,alana sagin,"Alana Sagin, MD",alana sagin,historical_penn_training,"""alana sagin"" ""University of Pennsylvania"" residency",https://html.duckduckgo.com/html/?q=%22alana+sagin%22+%22University+of+Pennsylvania%22+residency
attending_history_query_alana-sagin-historical-roster-or-alumni-alana-sagin-md-penn-class-of-res_e90ab433c408,alana sagin,"Alana Sagin, MD",alana sagin,historical_roster_or_alumni,"""Alana Sagin, MD"" Penn ""class of"" resident fellow",https://html.duckduckgo.com/html/?q=%22Alana+Sagin%2C+MD%22+Penn+%22class+of%22+resident+fellow
attending_history_query_alana-sagin-historical-roster-or-alumni-alana-sagin-md-penn-alumni-fello_352873f70865,alana sagin,"Alana Sagin, MD",alana sagin,historical_roster_or_alumni,"""Alana Sagin, MD"" Penn alumni fellow resident",https://html.duckduckgo.com/html/?q=%22Alana+Sagin%2C+MD%22+Penn+alumni+fellow+resident
