career_event_id,event_group_key,display_name,normalized_name,event_type,claim_type,organization_name,department,program_context,event_year,ten_year_trend_window,source_key,source_url,event_status,event_confidence,linkage_status,linkage_priority,trend_link_assurance_level,linkage_rationale,required_next_evidence,reconciliation_decision,reconciliation_required_next_evidence,current_trainee_match_count,current_trainee_match_keys,current_trainee_match_roles,current_trainee_match_programs,match_features
87,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,2006,no,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,needs_review,0.72,profile_penn_training_claim_needs_historical_roster,85,2,"Official Penn profile contains Penn-training language, but no historical trainee identity is linked.",Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,attending_training_claim_needs_identity_link,"Find historical Penn roster, alumni page, CV, or independent profile before using for trend lines.",0,,,,official_penn_profile; penn_training_language; profile_name_match
88,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,2012,no,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,needs_review,0.72,profile_penn_training_claim_needs_historical_roster,85,2,"Official Penn profile contains Penn-training language, but no historical trainee identity is linked.",Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,attending_training_claim_needs_identity_link,"Find historical Penn roster, alumni page, CV, or independent profile before using for trend lines.",0,,,,official_penn_profile; penn_training_language; profile_name_match
102,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_profile_providers_profile_patrick_gleeson_42e3bf9ca1,https://www3.pennmedicine.org/providers/profile/patrick-gleeson,needs_review,0.78,profile_penn_training_claim_needs_historical_roster,85,2,"Official Penn profile contains Penn-training language, but no historical trainee identity is linked.",Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,attending_training_claim_review_ready,Search historical roster/alumni pages or independent profile to link this attending to a trainee record.,0,,,,official_penn_profile; penn_training_language; profile_name_match; structured_provider_training_field
105,priya patel,"Priya Patel, MD",priya patel,attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_profile_providers_profile_priya_patel_aed224b7a0,https://www3.pennmedicine.org/providers/profile/priya-patel,needs_review,0.78,profile_penn_training_claim_needs_historical_roster,85,2,"Official Penn profile contains Penn-training language, but no historical trainee identity is linked.",Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,attending_training_claim_review_ready,Search historical roster/alumni pages or independent profile to link this attending to a trainee record.,0,,,,official_penn_profile; penn_training_language; profile_name_match; structured_provider_training_field
99,timothy buckey,"Timothy Buckey, MD, MBE",timothy buckey,attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_profile_providers_profile_timothy_buckey_d0f4671881,https://www3.pennmedicine.org/providers/profile/timothy-buckey,needs_review,0.78,profile_penn_training_claim_needs_historical_roster,85,2,"Official Penn profile contains Penn-training language, but no historical trainee identity is linked.",Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,attending_training_claim_review_ready,Search historical roster/alumni pages or independent profile to link this attending to a trainee record.,0,,,,official_penn_profile; penn_training_language; profile_name_match; structured_provider_training_field
1,emily gordon,"Emily Gordon, MD, MSEd",emily gordon,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,unknown,penn_attending_departments_and_centers_anesthesiology_and_critical_care_education_and_e746ff17cc,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership,candidate,0.55,current_attending_with_penn_training_claim_unlinked,75,2,Current Penn attending endpoint has a same-name Penn-training profile claim in this event group.,Link endpoint and training claim to a historical trainee identity before trend analysis.,current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
25,patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,candidate,0.55,current_attending_with_penn_training_claim_unlinked,75,2,Current Penn attending endpoint has a same-name Penn-training profile claim in this event group.,Link endpoint and training claim to a historical trainee identity before trend analysis.,current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
28,priya patel,"Priya Patel, MD",priya patel,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,candidate,0.55,current_attending_with_penn_training_claim_unlinked,75,2,Current Penn attending endpoint has a same-name Penn-training profile claim in this event group.,Link endpoint and training claim to a historical trainee identity before trend analysis.,current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
21,timothy buckey,"Timothy Buckey, MD, MBE",timothy buckey,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,candidate,0.55,current_attending_with_penn_training_claim_unlinked,75,2,Current Penn attending endpoint has a same-name Penn-training profile claim in this event group.,Link endpoint and training claim to a historical trainee identity before trend analysis.,current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
42,alana sagin,"Alana Sagin, MD",alana sagin,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
3,alison wakoff loren,"Alison Wakoff Loren, MD, MSCE",alison wakoff loren,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
22,anar a dossumbekova,"Anar A. Dossumbekova, MD, PhD",anar a dossumbekova,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
20,andrea j apter,"Andrea J. Apter, MD, MA, MSc",andrea j apter,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
44,ann soliman,"Ann Soliman, MD",ann soliman,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
