event_group_key,display_name,normalized_name,event_count,event_types_json,best_linkage_status,best_trend_link_assurance_level,best_required_next_evidence,has_current_attending_endpoint,has_penn_training_claim,has_current_trainee_name_match,current_trainee_match_keys,ten_year_windows,event_years,source_urls,linkage_status_counts_json
emily gordon,"Emily Gordon, MD, MSEd",emily gordon,6,"{""attending_profile_training_history_candidate"": 5, ""current_penn_attending_candidate"": 1}",profile_penn_training_claim_needs_historical_roster,2,Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,1,1,0,,no; unknown,2002; 2006; 2012,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership; https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,"{""current_attending_with_penn_training_claim_unlinked"": 1, ""profile_context_non_penn_training"": 3, ""profile_penn_training_claim_needs_historical_roster"": 2}"
patrick kevin gleeson,"Patrick Kevin Gleeson, MD, MSCE",patrick kevin gleeson,3,"{""attending_profile_training_history_candidate"": 2, ""current_penn_attending_candidate"": 1}",profile_penn_training_claim_needs_historical_roster,2,Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,1,1,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty; https://www3.pennmedicine.org/providers/profile/patrick-gleeson,"{""current_attending_with_penn_training_claim_unlinked"": 1, ""profile_context_non_penn_training"": 1, ""profile_penn_training_claim_needs_historical_roster"": 1}"
priya patel,"Priya Patel, MD",priya patel,2,"{""attending_profile_training_history_candidate"": 1, ""current_penn_attending_candidate"": 1}",profile_penn_training_claim_needs_historical_roster,2,Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,1,1,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty; https://www3.pennmedicine.org/providers/profile/priya-patel,"{""current_attending_with_penn_training_claim_unlinked"": 1, ""profile_penn_training_claim_needs_historical_roster"": 1}"
timothy buckey,"Timothy Buckey, MD, MBE",timothy buckey,3,"{""attending_profile_training_history_candidate"": 2, ""current_penn_attending_candidate"": 1}",profile_penn_training_claim_needs_historical_roster,2,Search historical Penn roster/alumni/CV/profile evidence for a dated Penn trainee record.,1,1,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty; https://www3.pennmedicine.org/providers/profile/timothy-buckey,"{""current_attending_with_penn_training_claim_unlinked"": 1, ""profile_context_non_penn_training"": 1, ""profile_penn_training_claim_needs_historical_roster"": 1}"
alana sagin,"Alana Sagin, MD",alana sagin,1,"{""current_penn_attending_candidate"": 1}",current_attending_endpoint_unlinked,1,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",1,0,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,"{""current_attending_endpoint_unlinked"": 1}"
alison wakoff loren,"Alison Wakoff Loren, MD, MSCE",alison wakoff loren,1,"{""current_penn_attending_candidate"": 1}",current_attending_endpoint_unlinked,1,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",1,0,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,"{""current_attending_endpoint_unlinked"": 1}"
anar a dossumbekova,"Anar A. Dossumbekova, MD, PhD",anar a dossumbekova,1,"{""current_penn_attending_candidate"": 1}",current_attending_endpoint_unlinked,1,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",1,0,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,"{""current_attending_endpoint_unlinked"": 1}"
andrea j apter,"Andrea J. Apter, MD, MA, MSc",andrea j apter,1,"{""current_penn_attending_candidate"": 1}",current_attending_endpoint_unlinked,1,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",1,0,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,"{""current_attending_endpoint_unlinked"": 1}"
ann soliman,"Ann Soliman, MD",ann soliman,1,"{""current_penn_attending_candidate"": 1}",current_attending_endpoint_unlinked,1,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",1,0,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,"{""current_attending_endpoint_unlinked"": 1}"
barbara a carr,Barbara A. Carr,barbara a carr,1,"{""current_penn_attending_candidate"": 1}",current_attending_endpoint_unlinked,1,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",1,0,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,"{""current_attending_endpoint_unlinked"": 1}"
bridget durkin,"Bridget Durkin, MD, MBE",bridget durkin,1,"{""current_penn_attending_candidate"": 1}",current_attending_endpoint_unlinked,1,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",1,0,0,,unknown,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,"{""current_attending_endpoint_unlinked"": 1}"
