trend_rollup_key,rollup_scope,rollup_value,training_type,training_end_year,ten_year_trend_window,source_scope,claim_count,person_count,evidence_json,materialized_at
attending_trend_rollup_60b5d5d2aa6bba9ea161,corpus,recent_penn_trained_current_attending_candidates,fellowship,,yes,official_penn_faculty_biosketch,5,5,"{""display_names"": [""Timothy Buckey, MD, MBE"", ""Denis Hadjiliadis, MD, PhD"", ""Patrick Kevin Gleeson, MD, MSCE"", ""Priya Patel, MD"", ""Katherine Courtright, MD""], ""trend_claim_keys"": [""attending_trend_review_835be2dbf566057ce623"", ""attending_trend_review_9e4711234145cb36473f"", ""attending_trend_review_9cf2ddd2d8f9e0c63654"", ""attending_trend_review_dac18578e0c5485fe23e"", ""attending_trend_review_7a3740e24f8863d906eb""]}",2026-06-02T15:41:19.447884+00:00
attending_trend_rollup_435d97cfa6a9a2610d73,source_scope,official_penn_faculty_biosketch,fellowship,,yes,official_penn_faculty_biosketch,5,5,"{""display_names"": [""Timothy Buckey, MD, MBE"", ""Denis Hadjiliadis, MD, PhD"", ""Patrick Kevin Gleeson, MD, MSCE"", ""Priya Patel, MD"", ""Katherine Courtright, MD""], ""trend_claim_keys"": [""attending_trend_review_835be2dbf566057ce623"", ""attending_trend_review_9e4711234145cb36473f"", ""attending_trend_review_9cf2ddd2d8f9e0c63654"", ""attending_trend_review_dac18578e0c5485fe23e"", ""attending_trend_review_7a3740e24f8863d906eb""]}",2026-06-02T15:41:19.447884+00:00
attending_trend_rollup_9e8c4b777a22dd37daac,ten_year_trend_window,yes,fellowship,,yes,official_penn_faculty_biosketch,5,5,"{""display_names"": [""Timothy Buckey, MD, MBE"", ""Denis Hadjiliadis, MD, PhD"", ""Patrick Kevin Gleeson, MD, MSCE"", ""Priya Patel, MD"", ""Katherine Courtright, MD""], ""trend_claim_keys"": [""attending_trend_review_835be2dbf566057ce623"", ""attending_trend_review_9e4711234145cb36473f"", ""attending_trend_review_9cf2ddd2d8f9e0c63654"", ""attending_trend_review_dac18578e0c5485fe23e"", ""attending_trend_review_7a3740e24f8863d906eb""]}",2026-06-02T15:41:19.447884+00:00
attending_trend_rollup_95668f6427d2d764617f,training_end_year,2017,fellowship,2017,yes,official_penn_faculty_biosketch,1,1,"{""display_names"": [""Katherine Courtright, MD""], ""trend_claim_keys"": [""attending_trend_review_7a3740e24f8863d906eb""]}",2026-06-02T15:41:19.447884+00:00
attending_trend_rollup_80ea12c652445102c459,training_end_year,2019,fellowship,2019,yes,official_penn_faculty_biosketch,1,1,"{""display_names"": [""Priya Patel, MD""], ""trend_claim_keys"": [""attending_trend_review_dac18578e0c5485fe23e""]}",2026-06-02T10:38:38.832431+00:00
attending_trend_rollup_c1a4b480263e198f2185,training_end_year,2020,fellowship,2020,yes,official_penn_faculty_biosketch,1,1,"{""display_names"": [""Patrick Kevin Gleeson, MD, MSCE""], ""trend_claim_keys"": [""attending_trend_review_9cf2ddd2d8f9e0c63654""]}",2026-06-02T10:38:38.832431+00:00
attending_trend_rollup_176cef6869401535549f,training_end_year,2021,fellowship,2021,yes,official_penn_faculty_biosketch,1,1,"{""display_names"": [""Denis Hadjiliadis, MD, PhD""], ""trend_claim_keys"": [""attending_trend_review_9e4711234145cb36473f""]}",2026-06-02T15:41:19.447884+00:00
attending_trend_rollup_cfa10287329b3fd162ec,training_end_year,2024,fellowship,2024,yes,official_penn_faculty_biosketch,1,1,"{""display_names"": [""Timothy Buckey, MD, MBE""], ""trend_claim_keys"": [""attending_trend_review_835be2dbf566057ce623""]}",2026-06-02T10:38:38.832431+00:00
attending_trend_rollup_5afd8503edb22987e93b,training_type,fellowship,fellowship,,yes,official_penn_faculty_biosketch,5,5,"{""display_names"": [""Timothy Buckey, MD, MBE"", ""Denis Hadjiliadis, MD, PhD"", ""Patrick Kevin Gleeson, MD, MSCE"", ""Priya Patel, MD"", ""Katherine Courtright, MD""], ""trend_claim_keys"": [""attending_trend_review_835be2dbf566057ce623"", ""attending_trend_review_9e4711234145cb36473f"", ""attending_trend_review_9cf2ddd2d8f9e0c63654"", ""attending_trend_review_dac18578e0c5485fe23e"", ""attending_trend_review_7a3740e24f8863d906eb""]}",2026-06-02T15:41:19.447884+00:00
attending_trend_rollup_e136854153e62c6b7539,training_type_end_year,fellowship::2017,fellowship,2017,yes,official_penn_faculty_biosketch,1,1,"{""display_names"": [""Katherine Courtright, MD""], ""trend_claim_keys"": [""attending_trend_review_7a3740e24f8863d906eb""]}",2026-06-02T15:41:19.447884+00:00
