career_event_id,person_key,display_name,event_type,role_title,organization_name,department,program_context,event_year,source_key,source_url,confidence,status,match_features_json
102,,"Patrick Kevin Gleeson, MD, MSCE",attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_profile_providers_profile_patrick_gleeson_42e3bf9ca1,https://www3.pennmedicine.org/providers/profile/patrick-gleeson,0.78,needs_review,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""penn_training_language""]"
105,,"Priya Patel, MD",attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_profile_providers_profile_priya_patel_aed224b7a0,https://www3.pennmedicine.org/providers/profile/priya-patel,0.78,needs_review,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""penn_training_language""]"
99,,"Timothy Buckey, MD, MBE",attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_profile_providers_profile_timothy_buckey_d0f4671881,https://www3.pennmedicine.org/providers/profile/timothy-buckey,0.78,needs_review,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""penn_training_language""]"
87,,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,2006,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,0.72,needs_review,"[""official_penn_profile"", ""profile_name_match"", ""penn_training_language""]"
88,,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,penn_training_history_candidate,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,2012,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,0.72,needs_review,"[""official_penn_profile"", ""profile_name_match"", ""penn_training_language""]"
97,,"Christopher A. D'Avella, MD",attending_profile_training_history_candidate,prior_training_history_candidate,University of Pittsburgh School of Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_profile_providers_profile_christopher_davella_3b3408f71d,https://www3.pennmedicine.org/providers/profile/christopher-davella,0.68,candidate,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""training_or_education_language""]"
103,,"Geeta Ravi Patel, MD",attending_profile_training_history_candidate,education_history_candidate,Temple University School of Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_profile_providers_profile_geeta_patel_035818e202,https://www3.pennmedicine.org/providers/profile/geeta-patel,0.68,candidate,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""training_or_education_language""]"
104,,"Geeta Ravi Patel, MD",attending_profile_training_history_candidate,prior_training_history_candidate,McGaw Medical Center of Northwestern University,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_profile_providers_profile_geeta_patel_035818e202,https://www3.pennmedicine.org/providers/profile/geeta-patel,0.68,candidate,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""training_or_education_language""]"
101,,"Patrick Kevin Gleeson, MD, MSCE",attending_profile_training_history_candidate,education_history_candidate,Pennsylvania State University College of Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_profile_providers_profile_patrick_gleeson_42e3bf9ca1,https://www3.pennmedicine.org/providers/profile/patrick-gleeson,0.68,candidate,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""training_or_education_language""]"
100,,"Scott Feldman, MD, PhD",attending_profile_training_history_candidate,education_history_candidate,University of Illinois College of Medicine at Chicago,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_profile_providers_profile_scott_feldman_b698d2dec9,https://www3.pennmedicine.org/providers/profile/scott-feldman,0.68,candidate,"[""official_penn_profile"", ""profile_name_match"", ""structured_provider_training_field"", ""training_or_education_language""]"
