profile_reobservation_key,profile_workbench_key,person_key,display_name,role,program_name,candidate_url,candidate_domain,fetch_status,http_status,source_hash,title,canonical_url,name_present,program_context_present,role_or_training_context_present,official_domain_confirmed,profile_path_confirmed,reobservation_status,evidence_strength,match_context,reobserved_at,evidence_json
official_profile_reobservation_e7210b6378a200fbf68a,official_profile_workbench_7cc81218b147fb92cbde,javier ocampo mascaro,"Javier Ocampo Mascaro, MD",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/mascaro-javier,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,,2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Javier Ocampo Mascaro, MD"", ""name_present"": false, ""name_tokens_checked"": [""javier"", ""ocampo"", ""mascaro""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/mascaro-javier"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_48c7f9fda57eded62d33,official_profile_workbench_212c6bc282b1b958e55f,marianne riordan,"Marianne Riordan, MBChB",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/riordan-marianne,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,,2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Marianne Riordan, MBChB"", ""name_present"": false, ""name_tokens_checked"": [""marianne"", ""riordan"", ""mbchb""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/riordan-marianne"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_82b84936290dd8f6aa46,official_profile_workbench_51029362f7e584baa3d3,natalie dapas,"Natalie Dapas, MD",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/dapas-natalie,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,,2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Natalie Dapas, MD"", ""name_present"": false, ""name_tokens_checked"": [""natalie"", ""dapas""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/dapas-natalie"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_d40038b78eed6118a6c6,official_profile_workbench_4eca8a01c4ea29828b29,pamela anne dolnik,"Pamela Anne Dolnik, MD",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/dolnik-pamela,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,"4-4.282a.68.68 0 0 0-.486-.024""></path></svg></a></div></li></ul></div></div></div></section></section><section class=""BannerGeneric_container__lqnIH BannerGeneric_default__KvzLs BannerGeneric_imageRight__ZuFKL BannerGeneric_full__2cDc7 Gri",2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Pamela Anne Dolnik, MD"", ""name_present"": false, ""name_tokens_checked"": [""pamela"", ""anne"", ""dolnik""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/dolnik-pamela"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_093a691f88bc0ad345ca,official_profile_workbench_4eec871630c290cfdb63,patricia yea chu,"Patricia Yea Chu, MD",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/chu-patricia,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,"""""/><noscript data-n-css=""""></noscript><script defer="""" nomodule="""" src=""https://departments.med.upenn.edu/_next/static/chunks/polyfills-42372ed130431b0a.js""></script><script src=""https://departments.med.upenn.edu/_next/static/chunks/webpac",2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Patricia Yea Chu, MD"", ""name_present"": false, ""name_tokens_checked"": [""patricia"", ""yea"", ""chu""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/chu-patricia"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_5464987e0a38a71f0e18,official_profile_workbench_f4de146de517daa5d5be,raashi mamtani,"Raashi Mamtani, DO",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/mamtani-raashi,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,,2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Raashi Mamtani, DO"", ""name_present"": false, ""name_tokens_checked"": [""raashi"", ""mamtani""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/mamtani-raashi"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_4fcf430c256c14466eb5,official_profile_workbench_a31fc5bee3eb7a2e9207,sapir nachum goldberg,"Sapir Nachum Goldberg, MD",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/goldberg-sapir,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,,2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Sapir Nachum Goldberg, MD"", ""name_present"": false, ""name_tokens_checked"": [""sapir"", ""nachum"", ""goldberg""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/goldberg-sapir"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_74e186070f4c22b9d8e8,official_profile_workbench_ddd6e97a72f1fc4f20d8,sujatha reddy,"Sujatha Reddy, MD",fellow,"Endocrinology, Diabetes and Metabolism Fellowship",https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/reddy-sujatha,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,,2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Sujatha Reddy, MD"", ""name_present"": false, ""name_tokens_checked"": [""sujatha"", ""reddy""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""endocrinology"", ""diabetes"", ""metabolism""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs/fellows/recent-graduates/reddy-sujatha"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_5efafc1cb47bc518d39f,official_profile_workbench_03a1116b6e75d9418685,kurt koehler,"Kurt Koehler, MD",fellow,Infectious Diseases Fellowship,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/infectious-diseases/education-and-training/fellowship-program/current-fellows/second-year-fellows/koehler-kurt,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,0,fresh_source_resolved_to_generic_academic_departments_page,1,,2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Kurt Koehler, MD"", ""name_present"": false, ""name_tokens_checked"": [""kurt"", ""koehler""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": false, ""program_context_present"": true, ""program_terms_checked"": [""infectious"", ""diseases""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/infectious-diseases/education-and-training/fellowship-program/current-fellows/second-year-fellows/koehler-kurt"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
official_profile_reobservation_4f2545bb066328567379,official_profile_workbench_6d3b4db02815fbc110c3,person_laura-barnes-md_503959d8cc53,"Laura Barnes, MD",fellow,Microvascular Reconstructive Surgery Fellowship,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/microvascular-reconstructive-surgery-fellowship/fellows/laura-barnes,www3.pennmedicine.org,fetched,200,0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead,Academic Departments,https://departments.med.upenn.edu/_site_PSOM/academic-departments,0,1,1,1,1,fresh_source_resolved_to_generic_academic_departments_page,1,"th></svg></a></div></li><li><div class=""CardListing_container__JW3rD""><a href=""/Academic-Departments/Department-of-Neurosurgery"" class=""CardListing_link__8R_47 Link_primary__4_VuT"" data-layer-event=""card_click"" data-layer-link-text=""Neurosu",2026-06-02T22:34:50.827122+00:00,"{""policy"": {""accepted_profile_url_fact_requires"": [""same-person identity confirmation"", ""official source ownership confirmation"", ""profile context confirmation"", ""source hash confirmation"", ""display-safety confirmation""], ""non_mutating"": true, ""reviewer_decision_still_required"": true}, ""profile_context_check"": {""display_name"": ""Laura Barnes, MD"", ""name_present"": false, ""name_tokens_checked"": [""laura"", ""barnes""], ""official_domain_confirmed"": true, ""profile_path_confirmed"": true, ""program_context_present"": true, ""program_terms_checked"": [""microvascular"", ""reconstructive"", ""surgery""], ""role_or_training_context_present"": true}, ""source_fetch"": {""candidate_domain"": ""www3.pennmedicine.org"", ""candidate_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/microvascular-reconstructive-surgery-fellowship/fellows/laura-barnes"", ""error"": """", ""fetch_status"": ""fetched"", ""http_status"": 200, ""reobserved_at"": ""2026-06-02T22:34:50.827122+00:00"", ""source_hash"": ""0acc255c91bd58a36bada69b914a1adc4a08db778f249be07512026b03937ead""}}"
