identifier_key,official_program_key,identifier_type,identifier_value,identifier_source,source_url,acceptance_status,confidence,accepted_from_candidate_key,accepted_at,evidence_json
official_program_identifier_hup-gme-fellowship-abdominal-radiology-46b381e34_e57f8dbb8d772f65,hup_gme_fellowship_abdominal-radiology_46b381e34efc,acgme_program_code,4214113008,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4214113008,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-abdominal-radiology-46b381e34_32a728851d052c90,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""8451"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/fellowships/fellowship-programs/accredited-fellowships/abdominal-imaging-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Abdominal radiology""}"
official_program_identifier_hup-gme-fellowship-addiction-medicine-98c9790536_45b7e792d57f89ad,hup_gme_fellowship_addiction-medicine_98c979053614,acgme_program_code,4044140008,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4044140008,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-addiction-medicine-98c9790536_a208aa71891e892f,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""51538"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Addiction medicine (multidisciplinary)""}"
official_program_identifier_hup-gme-fellowship-addiction-psychiatry-1e5ea7fd_4c1545eed3694b40,hup_gme_fellowship_addiction-psychiatry_1e5ea7fd48a3,acgme_program_code,4014121011,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4014121011,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-addiction-psychiatry-1e5ea7fd_958311775e3e0661,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""6215"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.med.upenn.edu/psychiatry/formalfellowships.html#addictions""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Addiction psychiatry""}"
official_program_identifier_hup-gme-fellowship-adult-cardiothoracic-anesthes_4b49e78d780af67c,hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e,acgme_program_code,0414131008,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0414131008,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-adult-cardiothoracic-anesthes_a3a0dad98c168497,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""9435"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Adult cardiothoracic anesthesiology""}"
official_program_identifier_hup-gme-fellowship-adult-congenital-heart-diseas_c14d0f065c8b1ed1,hup_gme_fellowship_adult-congenital-heart-disease_8eef191db90c,acgme_program_code,1534114001,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1534114001,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-adult-congenital-heart-diseas_58f0aa29bfe2fe1d,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""38823"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/adult-congenital-heart-disease-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Adult congenital heart disease""}"
official_program_identifier_hup-gme-fellowship-adult-reconstructive-orthoped_fd36cd24d1e28bb8,hup_gme_fellowship_adult-reconstructive-orthopedics_ba6a91e2425b,acgme_program_code,2614121001,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2614121001,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-adult-reconstructive-orthoped_f089ee241ada66b1,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""3853"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Adult reconstructive orthopaedics""}"
official_program_identifier_hup-gme-fellowship-allergy-and-immunology-b48c99_fe341185091777f6,hup_gme_fellowship_allergy-and-immunology_b48c99ddb29d,acgme_program_code,0204121075,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0204121075,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-allergy-and-immunology-b48c99_05762c19367f58ec,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""64"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-immunology-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Allergy and immunology""}"
official_program_identifier_hup-gme-residency-anesthesiology-594ed9d7c592-ac_f544113a6c13dc4e,hup_gme_residency_anesthesiology_594ed9d7c592,acgme_program_code,0404121134,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0404121134,accepted,0.91,program_identifier_candidate_hup-gme-residency-anesthesiology-594ed9d7c592-ac_b50499bf9b0237d4,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""331"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Anesthesiology""}"
official_program_identifier_hup-gme-fellowship-brain-injury-medicine-0f5a49f_1a2424b4ca0c6ca8,hup_gme_fellowship_brain-injury-medicine_0f5a49f6e439,acgme_program_code,3474134002,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3474134002,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-brain-injury-medicine-0f5a49f_7f7966c492f61a4e,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""31649"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/physical-medicine-and-rehabilitation-fellowship-programs/traumatic-brain-injury-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Brain injury medicine (Physical medicine and rehabilitation)""}"
official_program_identifier_hup-gme-fellowship-cardiovascular-disease-191ae4_a74db5f83aafdb16,hup_gme_fellowship_cardiovascular-disease_191ae40b3626,acgme_program_code,1414121023,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1414121023,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-cardiovascular-disease-191ae4_5bcab3aa602303ca,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""1204"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/cardiovascular-disease-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Cardiovascular disease""}"
