candidate_key,organization_key,canonical_name,category,mention_count,source_name,query,identifier_type,identifier_value,candidate_name,candidate_types,candidate_country,candidate_links,match_status,confidence,match_reasons,evidence_json,audited_at
org_identifier_candidate_8103c2f06d0c3a5c,org_undergraduate-institution-university-pennsylvani_f0bb756a6157,University of Pennsylvania,undergraduate_institution,17,ROR,University of Pennsylvania,ror,https://ror.org/00b30xv10,University of Pennsylvania,education; funder,United States,https://www.upenn.edu; http://en.wikipedia.org/wiki/University_of_Pennsylvania,strong_identifier_candidate,0.98,best_alias=University of Pennsylvania; name_ratio=1.000; query_token_coverage=1.000; candidate_token_coverage=1.000; token_jaccard=1.000; identity_token_overlap=1; identity_token_jaccard=1.000; exact_alias_match; candidate_label_matches_requested_surface; ror_type_education; country_us,"{""best_alias"": ""University of Pennsylvania"", ""candidate_aliases"": [""UPenn"", ""University of Pennsylvania"", ""Penn Center for AIDS Research"", ""American Research Institute in Turkey"", ""Children's Hospital of Philadelphia"", ""Hospital of the University of Pennsylvania"", ""Penn Presbyterian Medical Center"", ""Pennsylvania Hospital"", ""Philadelphia VA Medical Center"", ""University of Pennsylvania Health System"", ""University of Pennsylvania Press""], ""candidate_external_ids"": [{""all"": [""100006920"", ""100005312"", ""100007929"", ""100007928"", ""100005882"", ""100005467"", ""100008435"", ""100010410"", ""100010490"", ""100009949"", ""100007486"", ""100017303""], ""preferred"": ""100006920"", ""type"": ""fundref""}, {""all"": [""grid.25879.31""], ""preferred"": ""grid.25879.31"", ""type"": ""grid""}, {""all"": [""0000 0004 1936 8972""], ""preferred"": null, ""type"": ""isni""}, {""all"": [""Q49117""], ""preferred"": null, ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/047939x15"", ""label"": ""Penn Center for AIDS Research"", ""type"": ""child""}, {""id"": ""https://ror.org/05hs3x327"", ""label"": ""American Research Institute in Turkey"", ""type"": ""related""}, {""id"": ""https://ror.org/01z7r7q48"", ""label"": ""Children's Hospital of Philadelphia"", ""type"": ""related""}, {""id"": ""https://ror.org/02917wp91"", ""label"": ""Hospital of the University of Pennsylvania"", ""type"": ""related""}, {""id"": ""https://ror.org/00swv7d52"", ""label"": ""Penn Presbyterian Medical Center"", ""type"": ""related""}, {""id"": ""https://ror.org/03mvdc478"", ""label"": ""Pennsylvania Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/03j05zz84"", ""label"": ""Philadelphia VA Medical Center"", ""type"": ""related""}, {""id"": ""https://ror.org/04h81rw26"", ""label"": ""University of Pennsylvania Health System"", ""type"": ""related""}, {""id"": ""https://ror.org/03xwa9562"", ""label"": ""University of Pennsylvania Press"", ""type"": ""related""}], ""ror_number_of_results"": 30510, ""ror_request_url"": ""https://api.ror.org/organizations?query=University+of+Pennsylvania&page=1"", ""ror_time_taken"": 37, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_fc53cbab89ecee93,org_undergraduate-institution-university-pennsylvani_f0bb756a6157,University of Pennsylvania,undergraduate_institution,17,ROR,University of Pennsylvania,ror,https://ror.org/03xwa9562,University of Pennsylvania Press,nonprofit,United States,https://www.pennpress.org; https://en.wikipedia.org/wiki/University_of_Pennsylvania_Press,review_identifier_candidate,0.88,best_alias=University of Pennsylvania Press; name_ratio=0.897; query_token_coverage=1.000; candidate_token_coverage=0.667; token_jaccard=0.667; identity_token_overlap=1; identity_token_jaccard=1.000; best_context_alias=University of Pennsylvania; context_name_ratio=1.000; context_token_jaccard=1.000; relationship_context_match_not_identifier_match; candidate_label_matches_requested_surface; country_us,"{""best_alias"": ""University of Pennsylvania Press"", ""candidate_aliases"": [""Penn Press"", ""University of Pennsylvania Press"", ""University of Pennsylvania""], ""candidate_external_ids"": [{""all"": [""0000 0001 0634 5307""], ""preferred"": ""0000 0001 0634 5307"", ""type"": ""isni""}, {""all"": [""Q2037236""], ""preferred"": ""Q2037236"", ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/00b30xv10"", ""label"": ""University of Pennsylvania"", ""type"": ""related""}], ""ror_number_of_results"": 30510, ""ror_request_url"": ""https://api.ror.org/organizations?query=University+of+Pennsylvania&page=1"", ""ror_time_taken"": 37, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_dc51ca3c5ee97fa1,org_undergraduate-institution-university-pennsylvani_f0bb756a6157,University of Pennsylvania,undergraduate_institution,17,ROR,University of Pennsylvania,ror,https://ror.org/02nckwn80,Cheyney University of Pennsylvania,education,United States,http://www.cheyney.edu/; http://en.wikipedia.org/wiki/Cheyney_University_of_Pennsylvania,weak_identifier_candidate,0.7,best_alias=Cheyney University of Pennsylvania; name_ratio=0.867; query_token_coverage=1.000; candidate_token_coverage=0.667; token_jaccard=0.667; identity_token_overlap=1; identity_token_jaccard=0.500; best_context_alias=Pennsylvania State System of Higher Education; context_name_ratio=0.338; context_token_jaccard=0.167; candidate_label_matches_requested_surface; ror_type_education; country_us,"{""best_alias"": ""Cheyney University of Pennsylvania"", ""candidate_aliases"": [""Cheyney University of Pennsylvania"", ""Universidad de Cheyney de Pensilvania"", ""Université cheyney de pennsylvanie"", ""Pennsylvania State System of Higher Education""], ""candidate_external_ids"": [{""all"": [""grid.254107.5""], ""preferred"": ""grid.254107.5"", ""type"": ""grid""}, {""all"": [""Q3445541""], ""preferred"": null, ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/00m2s0z68"", ""label"": ""Pennsylvania State System of Higher Education"", ""type"": ""parent""}], ""ror_number_of_results"": 30510, ""ror_request_url"": ""https://api.ror.org/organizations?query=University+of+Pennsylvania&page=1"", ""ror_time_taken"": 37, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_db32de9f3b99aed5,org_medical-school-drexel-university-college-medicin_5027d9a1ac84,Drexel University College of Medicine,medical_school,16,ROR,Drexel University College of Medicine,parent_ror,https://ror.org/04bdffz58,Drexel University,education; funder,United States,https://drexel.edu; http://en.wikipedia.org/wiki/Drexel_University,parent_identifier_candidate,0.72,best_alias=Drexel University; name_ratio=0.630; query_token_coverage=0.500; candidate_token_coverage=1.000; token_jaccard=0.500; identity_token_overlap=1; identity_token_jaccard=1.000; parent_or_short_label_match; candidate_names_parent_institution_not_school; ror_type_education; country_us,"{""best_alias"": ""Drexel University"", ""candidate_aliases"": [""Drexel Institute"", ""Drexel Institute of Technology"", ""Drexel University"", ""Drexel University Elkins Park Campus"", ""Abington Memorial Hospital"", ""Allegheny General Hospital"", ""Einstein Medical Center Philadelphia"", ""Hahnemann University Hospital"", ""Kaiser Permanente Sacramento Medical Center"", ""Mercy Catholic Medical Center"", ""Monmouth Medical Center"", ""Reading Hospital"", ""St. Christopher's Hospital for Children"", ""Virtua Health""], ""candidate_external_ids"": [{""all"": [""100008211"", ""100006497"", ""100005319"", ""100008212"", ""100005418"", ""100013424""], ""preferred"": ""100008211"", ""type"": ""fundref""}, {""all"": [""grid.166341.7""], ""preferred"": ""grid.166341.7"", ""type"": ""grid""}, {""all"": [""0000 0001 2181 3113""], ""preferred"": null, ""type"": ""isni""}, {""all"": [""Q603034""], ""preferred"": null, ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/00p82hn55"", ""label"": ""Drexel University Elkins Park Campus"", ""type"": ""child""}, {""id"": ""https://ror.org/03jgh1p68"", ""label"": ""Abington Memorial Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/02gy6qp39"", ""label"": ""Allegheny General Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/03vzpaf33"", ""label"": ""Einstein Medical Center Philadelphia"", ""type"": ""related""}, {""id"": ""https://ror.org/016bbv872"", ""label"": ""Hahnemann University Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/02q404g62"", ""label"": ""Kaiser Permanente Sacramento Medical Center"", ""type"": ""related""}, {""id"": ""https://ror.org/01k05jx47"", ""label"": ""Mercy Catholic Medical Center"", ""type"": ""related""}, {""id"": ""https://ror.org/00xmn3c34"", ""label"": ""Monmouth Medical Center"", ""type"": ""related""}, {""id"": ""https://ror.org/04kk13p96"", ""label"": ""Reading Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/05t3ett24"", ""label"": ""St. Christopher's Hospital for Children"", ""type"": ""related""}, {""id"": ""https://ror.org/058az4744"", ""label"": ""Virtua Health"", ""type"": ""related""}], ""ror_number_of_results"": 33839, ""ror_request_url"": ""https://api.ror.org/organizations?query=Drexel+University+College+of+Medicine&page=1"", ""ror_time_taken"": 42, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_cab9f445a437906e,org_medical-school-drexel-university-college-medicin_5027d9a1ac84,Drexel University College of Medicine,medical_school,16,ROR,Drexel University College of Medicine,ror,https://ror.org/00p82hn55,Drexel University Elkins Park Campus,education,United States,http://www.salus.edu/; http://en.wikipedia.org/wiki/Salus_University,low_signal_identifier_candidate,0.55,best_alias=Drexel University Elkins Park Campus; name_ratio=0.575; query_token_coverage=0.500; candidate_token_coverage=0.400; token_jaccard=0.286; identity_token_overlap=1; identity_token_jaccard=0.250; best_context_alias=Drexel University; context_name_ratio=0.630; context_token_jaccard=0.500; candidate_name_not_school_specific_review; ror_type_education; country_us,"{""best_alias"": ""Drexel University Elkins Park Campus"", ""candidate_aliases"": [""Drexel University Elkins Park Campus"", ""Salus University"", ""Drexel University""], ""candidate_external_ids"": [{""all"": [""grid.281018.2""], ""preferred"": ""grid.281018.2"", ""type"": ""grid""}, {""all"": [""0000 0001 2196 8895""], ""preferred"": null, ""type"": ""isni""}, {""all"": [""Q7406311""], ""preferred"": null, ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/04bdffz58"", ""label"": ""Drexel University"", ""type"": ""parent""}], ""ror_number_of_results"": 33839, ""ror_request_url"": ""https://api.ror.org/organizations?query=Drexel+University+College+of+Medicine&page=1"", ""ror_time_taken"": 42, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_c0e3fd9fd8d55a79,org_medical-school-drexel-university-college-medicin_5027d9a1ac84,Drexel University College of Medicine,medical_school,16,ROR,Drexel University College of Medicine,ror,https://ror.org/02x7n7s85,Commonwealth University College of Medicine,education,Saint Lucia,https://www.cucom.org,low_signal_identifier_candidate,0.55,best_alias=Commonwealth University College of Medicine; name_ratio=0.825; query_token_coverage=0.750; candidate_token_coverage=0.750; token_jaccard=0.600; identity_token_overlap=0; identity_token_jaccard=0.000; medical_school_candidate_needs_name_review; ror_type_education,"{""best_alias"": ""Commonwealth University College of Medicine"", ""candidate_aliases"": [""CUCOM"", ""Commonwealth University College of Medicine""], ""candidate_external_ids"": [], ""candidate_relationships"": [], ""ror_number_of_results"": 33839, ""ror_request_url"": ""https://api.ror.org/organizations?query=Drexel+University+College+of+Medicine&page=1"", ""ror_time_taken"": 42, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_55d12563b5a47ff6,org_medical-school-emory-university-school-medicine_ae11c9e61921,Emory University School of Medicine,medical_school,16,ROR,Emory University School of Medicine,parent_ror,https://ror.org/03czfpz43,Emory University,education; funder,United States,https://www.emory.edu; http://en.wikipedia.org/wiki/Emory_University,parent_identifier_candidate,0.72,best_alias=Emory University; name_ratio=0.627; query_token_coverage=0.500; candidate_token_coverage=1.000; token_jaccard=0.500; identity_token_overlap=1; identity_token_jaccard=1.000; parent_or_short_label_match; candidate_names_parent_institution_not_school; ror_type_education; country_us,"{""best_alias"": ""Emory University"", ""candidate_aliases"": [""Emory University"", ""Center for Translational Research in Neuroimaging and Data Science"", ""Emory Eye Center"", ""The Wallace H. Coulter Department of Biomedical Engineering"", ""Woodruff Health Sciences Center"", ""Emory Global Health Institute"", ""Georgia Clinical and Translational Science Alliance"", ""Emory National Primate Research Center"", ""Atlanta VA Medical Center"", ""Children's Healthcare of Atlanta"", ""Emory Rehabilitation Hospital"", ""Emory University Hospital"", ""Emory University Hospital Midtown"", ""Grady Memorial Hospital"", ""Henrietta Egleston Hospital for Children""], ""candidate_external_ids"": [{""all"": [""100006939"", ""100007814"", ""100007623"", ""100010416"", ""100008374"", ""100007667"", ""100006786"", ""100006529"", ""100006528"", ""100005833"", ""100013116""], ""preferred"": ""100006939"", ""type"": ""fundref""}, {""all"": [""grid.189967.8""], ""preferred"": ""grid.189967.8"", ""type"": ""grid""}, {""all"": [""0000 0001 0941 6502"", ""0000 0004 1936 7398""], ""preferred"": ""0000 0004 1936 7398"", ""type"": ""isni""}, {""all"": [""Q621043""], ""preferred"": null, ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/02qx6zf82"", ""label"": ""Center for Translational Research in Neuroimaging and Data Science"", ""type"": ""child""}, {""id"": ""https://ror.org/00hr6kp69"", ""label"": ""Emory Eye Center"", ""type"": ""child""}, {""id"": ""https://ror.org/02j15s898"", ""label"": ""The Wallace H. Coulter Department of Biomedical Engineering"", ""type"": ""child""}, {""id"": ""https://ror.org/01xm4tt59"", ""label"": ""Woodruff Health Sciences Center"", ""type"": ""child""}, {""id"": ""https://ror.org/043s0sy92"", ""label"": ""Emory Global Health Institute"", ""type"": ""child""}, {""id"": ""https://ror.org/034hw7m59"", ""label"": ""Georgia Clinical and Translational Science Alliance"", ""type"": ""child""}, {""id"": ""https://ror.org/038kr2d80"", ""label"": ""Emory National Primate Research Center"", ""type"": ""child""}, {""id"": ""https://ror.org/04z89xx32"", ""label"": ""Atlanta VA Medical Center"", ""type"": ""related""}, {""id"": ""https://ror.org/050fhx250"", ""label"": ""Children's Healthcare of Atlanta"", ""type"": ""related""}, {""id"": ""https://ror.org/02sfkc120"", ""label"": ""Emory Rehabilitation Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/05dm4ck87"", ""label"": ""Emory University Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/02aknh966"", ""label"": ""Emory University Hospital Midtown"", ""type"": ""related""}, {""id"": ""https://ror.org/009hj8759"", ""label"": ""Grady Memorial Hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/002q1t780"", ""label"": ""Henrietta Egleston Hospital for Children"", ""type"": ""related""}], ""ror_number_of_results"": 31828, ""ror_request_url"": ""https://api.ror.org/organizations?query=Emory+University+School+of+Medicine&page=1"", ""ror_time_taken"": 43, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_691c0775889dfcf1,org_medical-school-emory-university-school-medicine_ae11c9e61921,Emory University School of Medicine,medical_school,16,ROR,Emory University School of Medicine,ror,https://ror.org/02gars961,Winship Cancer Institute,funder; healthcare,United States,https://winshipcancer.emory.edu; https://en.wikipedia.org/wiki/Winship_Cancer_Institute,low_signal_identifier_candidate,0.55,best_alias=Winship Cancer Institute at Emory University School of Medicine; name_ratio=0.714; query_token_coverage=1.000; candidate_token_coverage=0.571; token_jaccard=0.571; identity_token_overlap=1; identity_token_jaccard=0.333; best_context_alias=Emory Healthcare; context_name_ratio=0.353; context_token_jaccard=0.200; candidate_name_not_school_specific_review; ror_type_healthcare; country_us,"{""best_alias"": ""Winship Cancer Institute at Emory University School of Medicine"", ""candidate_aliases"": [""Emory University Winship Cancer Center"", ""Emory University Winship Cancer Institute"", ""Emory Winship Cancer Center"", ""Emory Winship Cancer Institute"", ""Winship Cancer Center"", ""Winship Cancer Institute"", ""Winship Cancer Institute at Emory University"", ""Winship Cancer Institute at Emory University School of Medicine"", ""Winship Cancer Institute at Emory University in Atlanta"", ""Winship Cancer Institute of Emory School of Medicine"", ""Winship Cancer Institute of Emory University"", ""Winship Cancer Institute of Emory University School of Medicine"", ""Emory Healthcare""], ""candidate_external_ids"": [{""all"": [""100011621""], ""preferred"": ""100011621"", ""type"": ""fundref""}, {""all"": [""0000 0004 0413 0929""], ""preferred"": ""0000 0004 0413 0929"", ""type"": ""isni""}, {""all"": [""Q21016356""], ""preferred"": ""Q21016356"", ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/00yksxf10"", ""label"": ""Emory Healthcare"", ""type"": ""parent""}], ""ror_number_of_results"": 31828, ""ror_request_url"": ""https://api.ror.org/organizations?query=Emory+University+School+of+Medicine&page=1"", ""ror_time_taken"": 43, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_573083c24d77cd10,org_medical-school-emory-university-school-medicine_ae11c9e61921,Emory University School of Medicine,medical_school,16,ROR,Emory University School of Medicine,ror,https://ror.org/039ygjf22,Jikei University School of Medicine,education; funder,Japan,http://www.jikei.ac.jp/eng/; http://en.wikipedia.org/wiki/Jikei_University_School_of_Medicine,low_signal_identifier_candidate,0.55,best_alias=Jikei University School of Medicine; name_ratio=0.886; query_token_coverage=0.750; candidate_token_coverage=0.750; token_jaccard=0.600; identity_token_overlap=0; identity_token_jaccard=0.000; best_context_alias=Jikei University Kashiwa hospital; context_name_ratio=0.500; context_token_jaccard=0.143; medical_school_candidate_needs_name_review; ror_type_education,"{""best_alias"": ""Jikei University School of Medicine"", ""candidate_aliases"": [""Jikei University School of Medicine"", ""Tōkyō jikei kai ika daigaku"", ""東京慈恵会医科大学"", ""Jikei University Kashiwa hospital"", ""Katsushika Medical Center"", ""The Jikei University Hospital""], ""candidate_external_ids"": [{""all"": [""501100007962""], ""preferred"": null, ""type"": ""fundref""}, {""all"": [""grid.411898.d""], ""preferred"": ""grid.411898.d"", ""type"": ""grid""}, {""all"": [""0000 0001 0661 2073""], ""preferred"": null, ""type"": ""isni""}, {""all"": [""Q6192593""], ""preferred"": null, ""type"": ""wikidata""}], ""candidate_relationships"": [{""id"": ""https://ror.org/0491dch03"", ""label"": ""Jikei University Kashiwa hospital"", ""type"": ""related""}, {""id"": ""https://ror.org/01wxddc07"", ""label"": ""Katsushika Medical Center"", ""type"": ""related""}, {""id"": ""https://ror.org/02czd3h93"", ""label"": ""The Jikei University Hospital"", ""type"": ""related""}], ""ror_number_of_results"": 31828, ""ror_request_url"": ""https://api.ror.org/organizations?query=Emory+University+School+of+Medicine&page=1"", ""ror_time_taken"": 43, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T09:25:03.653647+00:00
org_identifier_candidate_e7a92c0111918d43,org_medical-school-harvard-medical-school_cfdbd83dd8ff,Harvard Medical School,medical_school,15,ROR,Harvard Medical School,ror,https://ror.org/03hwmxn85,Harvard Vanguard Medical Associates,nonprofit,United States,https://www.atriushealth.org/; https://en.wikipedia.org/wiki/Harvard_Vanguard_Medical_Associates,low_signal_identifier_candidate,0.55,best_alias=Harvard Vanguard Medical Associates; name_ratio=0.632; query_token_coverage=0.667; candidate_token_coverage=0.500; token_jaccard=0.400; identity_token_overlap=1; identity_token_jaccard=0.333; medical_school_candidate_needs_name_review; country_us,"{""best_alias"": ""Harvard Vanguard Medical Associates"", ""candidate_aliases"": [""Harvard Vanguard Medical Associates""], ""candidate_external_ids"": [{""all"": [""grid.413723.0""], ""preferred"": ""grid.413723.0"", ""type"": ""grid""}, {""all"": [""0000 0004 0546 0655""], ""preferred"": null, ""type"": ""isni""}, {""all"": [""Q5676629""], ""preferred"": null, ""type"": ""wikidata""}], ""candidate_relationships"": [], ""ror_number_of_results"": 5666, ""ror_request_url"": ""https://api.ror.org/organizations?query=Harvard+Medical+School&page=1"", ""ror_time_taken"": 14, ""source_payload_version"": ""ror_api_v2""}",2026-06-02T08:28:25.777709+00:00
