organization_key,canonical_name,category,query,source_name,status,observed_at,result_count,source_number_of_results,error,request_url
org_undergraduate-institution-university-pennsylvani_f0bb756a6157,University of Pennsylvania,undergraduate_institution,University of Pennsylvania,ROR,ok,2026-06-02T10:06:01.941673+00:00,3,30510,,https://api.ror.org/organizations?query=University+of+Pennsylvania&page=1
org_medical-school-drexel-university-college-medicin_5027d9a1ac84,Drexel University College of Medicine,medical_school,Drexel University College of Medicine,ROR,ok,2026-06-02T10:06:02.850262+00:00,3,33839,,https://api.ror.org/organizations?query=Drexel+University+College+of+Medicine&page=1
org_medical-school-emory-university-school-medicine_ae11c9e61921,Emory University School of Medicine,medical_school,Emory University School of Medicine,ROR,ok,2026-06-02T10:06:03.516542+00:00,3,31828,,https://api.ror.org/organizations?query=Emory+University+School+of+Medicine&page=1
org_medical-school-harvard-medical-school_cfdbd83dd8ff,Harvard Medical School,medical_school,Harvard Medical School,ROR,ok,2026-06-02T10:06:04.576424+00:00,3,5666,,https://api.ror.org/organizations?query=Harvard+Medical+School&page=1
org_medical-school-georgetown-university-school-medi_ec6d7f339192,Georgetown University School of Medicine,medical_school,Georgetown University School of Medicine,ROR,ok,2026-06-02T10:06:05.127605+00:00,3,31826,,https://api.ror.org/organizations?query=Georgetown+University+School+of+Medicine&page=1
org_medical-school-cooper-medical-school-rowan-unive_f10e9c62a42b,Cooper Medical School of Rowan University,medical_school,Cooper Medical School of Rowan University,ROR,ok,2026-06-02T10:06:05.723600+00:00,3,34067,,https://api.ror.org/organizations?query=Cooper+Medical+School+of+Rowan+University&page=1
org_medical-school-yale-school-medicine_0ff0d4345017,Yale School of Medicine,medical_school,Yale School of Medicine,ROR,ok,2026-06-02T10:06:06.354067+00:00,3,24521,,https://api.ror.org/organizations?query=Yale+School+of+Medicine&page=1
org_medical-school-duke-university-school-medicine_7a7a5aaf58cf,Duke University School of Medicine,medical_school,Duke University School of Medicine,ROR,ok,2026-06-02T10:06:06.937807+00:00,3,31829,,https://api.ror.org/organizations?query=Duke+University+School+of+Medicine&page=1
org_medical-school-lewis-katz-school-medicine-temple_b47ba57d00ca,Lewis Katz School of Medicine at Temple University,medical_school,Lewis Katz School of Medicine at Temple University,ROR,ok,2026-06-02T10:06:07.574899+00:00,3,31974,,https://api.ror.org/organizations?query=Lewis+Katz+School+of+Medicine+at+Temple+University&page=1
org_medical-school-university-pennsylvania-perelman-_dcf10b583d04,University of Pennsylvania Perelman School of Medicine,medical_school,University of Pennsylvania Perelman School of Medicine,ROR,ok,2026-06-02T10:06:08.203875+00:00,3,31854,,https://api.ror.org/organizations?query=University+of+Pennsylvania+Perelman+School+of+Medicine&page=1
org_medical-school-university-pittsburgh-school-medi_45cddfa7361f,University of Pittsburgh School of Medicine,medical_school,University of Pittsburgh School of Medicine,ROR,ok,2026-06-02T10:06:08.805313+00:00,3,31835,,https://api.ror.org/organizations?query=University+of+Pittsburgh+School+of+Medicine&page=1
org_undergraduate-institution-cornell-university_4721eb3082f6,Cornell University,undergraduate_institution,Cornell University,ROR,ok,2026-06-02T10:06:09.586533+00:00,3,13088,,https://api.ror.org/organizations?query=Cornell+University&page=1
org_undergraduate-institution-johns-hopkins-universi_d43828d146d9,Johns Hopkins University,undergraduate_institution,Johns Hopkins University,ROR,ok,2026-06-02T10:06:10.206908+00:00,3,13098,,https://api.ror.org/organizations?query=Johns+Hopkins+University&page=1
org_undergraduate-institution-princeton-university_d8b1aee698a3,Princeton University,undergraduate_institution,Princeton University,ROR,ok,2026-06-02T10:06:10.807473+00:00,3,13098,,https://api.ror.org/organizations?query=Princeton+University&page=1
org_undergraduate-institution-yale-university_9d418787b2cc,Yale University,undergraduate_institution,Yale University,ROR,ok,2026-06-02T10:06:11.353306+00:00,3,13085,,https://api.ror.org/organizations?query=Yale+University&page=1
org_medical-school-columbia-university-vagelos-colle_935ca48ffd5a,Columbia University Vagelos College of Physicians and Surgeons,medical_school,Columbia University Vagelos College of Physicians and Surgeons,ROR,ok,2026-06-02T10:06:11.951213+00:00,3,40044,,https://api.ror.org/organizations?query=Columbia+University+Vagelos+College+of+Physicians+and+Surgeons&page=1
org_medical-school-northwestern-university-feinberg-_334f5ac50097,Northwestern University Feinberg School of Medicine,medical_school,Northwestern University Feinberg School of Medicine,ROR,ok,2026-06-02T10:06:12.531580+00:00,3,31833,,https://api.ror.org/organizations?query=Northwestern+University+Feinberg+School+of+Medicine&page=1
org_medical-school-philadelphia-college-osteopathic-_12abdc4c0be6,Philadelphia College of Osteopathic Medicine,medical_school,Philadelphia College of Osteopathic Medicine,ROR,ok,2026-06-02T10:06:13.109242+00:00,3,27142,,https://api.ror.org/organizations?query=Philadelphia+College+of+Osteopathic+Medicine&page=1
org_medical-school-temple-university-school-podiatri_d3b9b0ad8880,Temple University School of Podiatric Medicine,medical_school,Temple University School of Podiatric Medicine,ROR,ok,2026-06-02T10:06:13.936148+00:00,3,31830,,https://api.ror.org/organizations?query=Temple+University+School+of+Podiatric+Medicine&page=1
org_medical-school-university-maryland-school-medici_64f48763c79b,University of Maryland School of Medicine,medical_school,University of Maryland School of Medicine,ROR,ok,2026-06-02T10:06:14.585844+00:00,3,31855,,https://api.ror.org/organizations?query=University+of+Maryland+School+of+Medicine&page=1
org_medical-school-university-virginia-school-medici_635d9ea4f566,University of Virginia School of Medicine,medical_school,University of Virginia School of Medicine,ROR,ok,2026-06-02T10:06:15.270920+00:00,3,31908,,https://api.ror.org/organizations?query=University+of+Virginia+School+of+Medicine&page=1
org_medical-school-vanderbilt-university-school-medi_526121f2e2da,Vanderbilt University School of Medicine,medical_school,Vanderbilt University School of Medicine,ROR,ok,2026-06-02T10:06:16.041352+00:00,3,31826,,https://api.ror.org/organizations?query=Vanderbilt+University+School+of+Medicine&page=1
org_undergraduate-institution-rutgers-university_6d22c668b4cb,Rutgers University,undergraduate_institution,Rutgers University,ROR,ok,2026-06-02T10:06:16.628549+00:00,3,13080,,https://api.ror.org/organizations?query=Rutgers+University&page=1
org_medical-school-case-western-reserve-university-s_7c819f298fc8,Case Western Reserve University School of Medicine,medical_school,Case Western Reserve University School of Medicine,ROR,ok,2026-06-02T10:06:17.290152+00:00,3,32033,,https://api.ror.org/organizations?query=Case+Western+Reserve+University+School+of+Medicine&page=1
org_medical-school-howard-university-college-medicin_5c0a5014c4e2,Howard University College of Medicine,medical_school,Howard University College of Medicine,ROR,ok,2026-06-02T10:06:17.912833+00:00,3,33856,,https://api.ror.org/organizations?query=Howard+University+College+of+Medicine&page=1
org_medical-school-university-chicago-pritzker-schoo_a5dea490dd63,The University of Chicago Pritzker School of Medicine,medical_school,The University of Chicago Pritzker School of Medicine,ROR,ok,2026-06-02T10:06:18.511246+00:00,3,33423,,https://api.ror.org/organizations?query=The+University+of+Chicago+Pritzker+School+of+Medicine&page=1
