raw_value,event_type,mention_count,resolver_status,canonical_name
Aga Khan University Medical College,medical_school,1,cleaned_label,Aga Khan University Medical College
"Ain Shams University, School of Medicine",medical_school,1,cleaned_label,"Ain Shams University, School of Medicine"
Albert Einstein College of Medicine,medical_school,1,cleaned_label,Albert Einstein College of Medicine
American University of Beirut,medical_school,1,cleaned_label,American University of Beirut
American University of Beirut - Lebanon,medical_school,1,cleaned_label,American University of Beirut - Lebanon
American University of Beirut - Lebanon,undergraduate_school,1,cleaned_label,American University of Beirut - Lebanon
American University of Beirut Faculty of Medicine,medical_school,1,cleaned_label,American University of Beirut Faculty of Medicine
Anne Burnett Mario School of Medicine at TCU,medical_school,1,cleaned_label,Anne Burnett Mario School of Medicine at TCU
Arkansas College of Osteopathic Medicine,medical_school,1,cleaned_label,Arkansas College of Osteopathic Medicine
Baylor College of Medicine,medical_school,1,cleaned_label,Baylor College of Medicine
Baylor College of Medicine,residency_program,1,cleaned_label,Baylor College of Medicine
Baystate Medical Center,residency_program,1,cleaned_label,Baystate Medical Center
Beth Israel Deaconess Medical Center,residency_program,1,cleaned_label,Beth Israel Deaconess Medical Center
Boston College,undergraduate_school,1,cleaned_label,Boston College
Boston Medical Center,residency_program,1,cleaned_label,Boston Medical Center
Boston University School of Medicine,medical_school,1,cleaned_label,Boston University School of Medicine
"Brown Internal Medicine, Providence, RI",residency_program,1,cleaned_label,"Brown Internal Medicine, Providence, RI"
Brown University,medical_school,1,cleaned_label,Brown University
Brown University Health Internal Medicine,residency_program,1,cleaned_label,Brown University Health Internal Medicine
Brown University Internal Medicine,residency_program,1,cleaned_label,Brown University Internal Medicine
Brown University Internal Medicine/Pediatrics,residency_program,1,cleaned_label,Brown University Internal Medicine/Pediatrics
Case Western Reserve University,medical_school,1,cleaned_label,Case Western Reserve University
Case Western Reserve University SOM,medical_school,1,cleaned_label,Case Western Reserve University SOM
Case Western Reserve University School of Medicine,medical_school,1,cleaned_label,Case Western Reserve University School of Medicine
Chicago Medical School,medical_school,1,cleaned_label,Chicago Medical School
Christopher Newport University,undergraduate_school,1,cleaned_label,Christopher Newport University
City College of New York/Sophie Davis School of Biomedical Education,undergraduate_school,1,cleaned_label,City College of New York/Sophie Davis School of Biomedical Education
City University of New York School of Medicine,medical_school,1,cleaned_label,City University of New York School of Medicine
Cleveland Clinic,residency_program,1,cleaned_label,Cleveland Clinic
Cleveland Clinic Foundation,residency_program,1,cleaned_label,Cleveland Clinic Foundation
"Cleveland Clinic Foundation, Cleveland, OH",residency_program,1,cleaned_label,"Cleveland Clinic Foundation, Cleveland, OH"
Cleveland Clinic Lerner College of Medicine,medical_school,1,cleaned_label,Cleveland Clinic Lerner College of Medicine
"Cleveland Clinic, Cleveland Ohio",residency_program,1,cleaned_label,"Cleveland Clinic, Cleveland Ohio"
Colby College,undergraduate_school,1,cleaned_label,Colby College
College of William and Mary,undergraduate_school,1,cleaned_label,College of William and Mary
Columbia Un College of Physicians and Surgeons,medical_school,1,cleaned_label,Columbia Un College of Physicians and Surgeons
Columbia University,medical_school,1,cleaned_label,Columbia University
"Columbia University College of Physicians and Surgeons Residency: Internal Medicine, Weill Cornell Medical School - New York Presbyterian",medical_school,1,cleaned_label,"Columbia University College of Physicians and Surgeons Residency: Internal Medicine, Weill Cornell Medical School - New York Presbyterian"
Columbia University Vagelos College of Physicians and Surgeons,medical_school,1,cleaned_label,Columbia University Vagelos College of Physicians and Surgeons
"Combined Medicine-Pediatrics at Michigan Medicine, University of Michigan",residency_program,1,cleaned_label,"Combined Medicine-Pediatrics at Michigan Medicine, University of Michigan"
Cooper Medical School of Rowan University,medical_school,1,cleaned_label,Cooper Medical School of Rowan University
Cooper University Hospital,residency_program,1,cleaned_label,Cooper University Hospital
"Cooper University Hospital, Camden, NJ",residency_program,1,cleaned_label,"Cooper University Hospital, Camden, NJ"
Cornell University,undergraduate_school,1,cleaned_label,Cornell University
Creighton University School of Medicine,medical_school,1,cleaned_label,Creighton University School of Medicine
Dartmouth College,medical_school,1,cleaned_label,Dartmouth College
Dartmouth College,undergraduate_school,1,cleaned_label,Dartmouth College
Dartmouth Geisel School of Medicine,medical_school,1,cleaned_label,Dartmouth Geisel School of Medicine
Dartmouth Medical School,medical_school,1,cleaned_label,Dartmouth Medical School
Dell Medical School,medical_school,1,cleaned_label,Dell Medical School
Donald and Barbara Zucker School of Medicine at Hofstra/Norhwell,medical_school,1,cleaned_label,Donald and Barbara Zucker School of Medicine at Hofstra/Norhwell
"Donald and Barbara Zucker School of Medicine at Hofstra/Northwell, Hempstead, NY",medical_school,1,cleaned_label,"Donald and Barbara Zucker School of Medicine at Hofstra/Northwell, Hempstead, NY"
Drexel University,medical_school,1,cleaned_label,Drexel University
Drexel University College of Medicine,medical_school,1,cleaned_label,Drexel University College of Medicine
Duke,medical_school,1,cleaned_label,Duke
Duke University,medical_school,1,cleaned_label,Duke University
Duke University,residency_program,1,cleaned_label,Duke University
Duke University,undergraduate_school,1,cleaned_label,Duke University
Duke University School of Medicine,medical_school,1,cleaned_label,Duke University School of Medicine
Eastern Virginia Medical School,medical_school,1,cleaned_label,Eastern Virginia Medical School
"Einstein Medical Center, Philadelphia, PA",residency_program,1,cleaned_label,"Einstein Medical Center, Philadelphia, PA"
"Eisenhower Medical Center, Rancho Mirage, CA",residency_program,1,cleaned_label,"Eisenhower Medical Center, Rancho Mirage, CA"
Emory School of Medicine,medical_school,1,cleaned_label,Emory School of Medicine
Emory University,medical_school,1,cleaned_label,Emory University
Emory University,residency_program,1,cleaned_label,Emory University
Emory University School of Medicine,medical_school,1,cleaned_label,Emory University School of Medicine
Emory University School of Medicine,residency_program,1,cleaned_label,Emory University School of Medicine
"Family Medicine, Carl R Darnall Army Medical Center",residency_program,1,cleaned_label,"Family Medicine, Carl R Darnall Army Medical Center"
First Moscow State Medical University,medical_school,1,cleaned_label,First Moscow State Medical University
Florida International University Herbert Wertheim College of Medicine,medical_school,1,cleaned_label,Florida International University Herbert Wertheim College of Medicine
Geisel School of Medicine at Dartmouth,medical_school,1,cleaned_label,Geisel School of Medicine at Dartmouth
George Washington University,medical_school,1,cleaned_label,George Washington University
George Washington University School of Medicine & Health Sciences,medical_school,1,cleaned_label,George Washington University School of Medicine & Health Sciences
Georgetown University School of Medicine,medical_school,1,cleaned_label,Georgetown University School of Medicine
Georgia Institute of Technology,undergraduate_school,1,cleaned_label,Georgia Institute of Technology
Hackensack Meridian School of Medicine,medical_school,1,cleaned_label,Hackensack Meridian School of Medicine
"Hackensack University Medical Center, Hackensack, NJ",residency_program,1,cleaned_label,"Hackensack University Medical Center, Hackensack, NJ"
Harvard,medical_school,1,cleaned_label,Harvard
Harvard Medical School,medical_school,1,cleaned_label,Harvard Medical School
"Harvard Medical School Residency: Internal Medicine, UMass Chan Medical School",medical_school,1,cleaned_label,"Harvard Medical School Residency: Internal Medicine, UMass Chan Medical School"
Harvard University,undergraduate_school,1,cleaned_label,Harvard University
Hospital of the University of Pennsylvania / Children's Hospital of Philadelphia Internal Medicine-Pediatrics Program,residency_program,1,cleaned_label,Hospital of the University of Pennsylvania / Children's Hospital of Philadelphia Internal Medicine-Pediatrics Program
"Hospital of the University of Pennsylvania, Internal Medicine",residency_program,1,cleaned_label,"Hospital of the University of Pennsylvania, Internal Medicine"
Hospital of the University/Children’s Hospital of Philadelphia,residency_program,1,cleaned_label,Hospital of the University/Children’s Hospital of Philadelphia
Howard University College of Medicine,medical_school,1,cleaned_label,Howard University College of Medicine
"Icahn School of Medicine At Mount Sinai, New York, NY",medical_school,1,cleaned_label,"Icahn School of Medicine At Mount Sinai, New York, NY"
Icahn School of Medicine at Mt. Sinai,medical_school,1,cleaned_label,Icahn School of Medicine at Mt. Sinai
Indiana University,residency_program,1,cleaned_label,Indiana University
Indiana University School of Medicine,medical_school,1,cleaned_label,Indiana University School of Medicine
"Inspira Health Network - Mullica Hill, Internal Medicine",residency_program,1,cleaned_label,"Inspira Health Network - Mullica Hill, Internal Medicine"
"Internal Medicine, UMass Chan Medical School",residency_program,1,cleaned_label,"Internal Medicine, UMass Chan Medical School"
"Internal Medicine, Weill Cornell Medical School - New York Presbyterian",residency_program,1,cleaned_label,"Internal Medicine, Weill Cornell Medical School - New York Presbyterian"
International American University College of Medicine St. Lucia,medical_school,1,cleaned_label,International American University College of Medicine St. Lucia
International American University College of Medicine St. Lucia,undergraduate_school,1,cleaned_label,International American University College of Medicine St. Lucia
Islamic International Medical College,medical_school,1,cleaned_label,Islamic International Medical College
"JS Weill Medical College, Cornell University",medical_school,1,cleaned_label,"JS Weill Medical College, Cornell University"
Jefferson University,medical_school,1,cleaned_label,Jefferson University
John Hopkins University,medical_school,1,cleaned_label,John Hopkins University
John Hopkins University School of Medicine,medical_school,1,cleaned_label,John Hopkins University School of Medicine
Johns Hopkins,residency_program,1,cleaned_label,Johns Hopkins
Johns Hopkins Bayview Medical Center,residency_program,1,cleaned_label,Johns Hopkins Bayview Medical Center
Johns Hopkins Hospital,residency_program,1,cleaned_label,Johns Hopkins Hospital
Johns Hopkins Hospital Osler Medical Residency,residency_program,1,cleaned_label,Johns Hopkins Hospital Osler Medical Residency
Johns Hopkins University,graduate_school,1,cleaned_label,Johns Hopkins University
Johns Hopkins University,residency_program,1,cleaned_label,Johns Hopkins University
Kaiser Permanente,medical_school,1,cleaned_label,Kaiser Permanente
Kirksville College of Osteopathic Medicine,medical_school,1,cleaned_label,Kirksville College of Osteopathic Medicine
"Kwame Nkrumah University of Science & Technology School of Medical Sciences, Tema, Ghana",medical_school,1,cleaned_label,"Kwame Nkrumah University of Science & Technology School of Medical Sciences, Tema, Ghana"
"Kwame Nkrumah of Science and Technology, Kumasi - Ghana",medical_school,1,cleaned_label,"Kwame Nkrumah of Science and Technology, Kumasi - Ghana"
LAU Gilbert and Rose-Marie Chagoury School of Medicine,medical_school,1,cleaned_label,LAU Gilbert and Rose-Marie Chagoury School of Medicine
"LAU Gilbert and Rose-Marie Chagoury School of Medicine, Blat, Lebanon",medical_school,1,cleaned_label,"LAU Gilbert and Rose-Marie Chagoury School of Medicine, Blat, Lebanon"
Lankenau Hospital,residency_program,1,cleaned_label,Lankenau Hospital
"Lankenau Medical Center, Wynnewood, PA",residency_program,1,cleaned_label,"Lankenau Medical Center, Wynnewood, PA"
"Lehigh Valley Health Network, Allentown, PA",residency_program,1,cleaned_label,"Lehigh Valley Health Network, Allentown, PA"
"Lehigh Valley Health Network, Family Medicine",residency_program,1,cleaned_label,"Lehigh Valley Health Network, Family Medicine"
Lewis Katz School of Medicine at Temple University,medical_school,1,cleaned_label,Lewis Katz School of Medicine at Temple University
LewisGale Medical Center,residency_program,1,cleaned_label,LewisGale Medical Center
"Lincoln Memorial University Debusk College of Osteopathic Medicine, Harrogate , TN",medical_school,1,cleaned_label,"Lincoln Memorial University Debusk College of Osteopathic Medicine, Harrogate , TN"
Louisiana State University School of Medicine,medical_school,1,cleaned_label,Louisiana State University School of Medicine
MIT,undergraduate_school,1,cleaned_label,MIT
Main Line Health System/Lankenau Medical Center,residency_program,1,cleaned_label,Main Line Health System/Lankenau Medical Center
Massachusetts General - Brigham and Women's Hospital,residency_program,1,cleaned_label,Massachusetts General - Brigham and Women's Hospital
"Massachusetts General Hospital, Boston",residency_program,1,cleaned_label,"Massachusetts General Hospital, Boston"
Massachusetts Institute of Technology,graduate_school,1,cleaned_label,Massachusetts Institute of Technology
Maulana Azad Medical College (IN),medical_school,1,cleaned_label,Maulana Azad Medical College (IN)
"Maulana Azad Medical College, Delhi",medical_school,1,cleaned_label,"Maulana Azad Medical College, Delhi"
Mayo,residency_program,1,cleaned_label,Mayo
Mayo Clinic Alix School of Medicine,medical_school,1,cleaned_label,Mayo Clinic Alix School of Medicine
McGaw Medical Center at Northwestern University,residency_program,1,cleaned_label,McGaw Medical Center at Northwestern University
McGovern Medical School at the University of Texas,medical_school,1,cleaned_label,McGovern Medical School at the University of Texas
