organization_key,canonical_name,normalized_name,category,parent_name,resolver_status,confidence
org_clinical-training-site-baylor-college-medicine_28a640b580c3,Baylor College of Medicine,baylor college medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-baystate-medical-center_cb4101ae01b4,Baystate Medical Center,baystate medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-beth-israel-deaconess-med_962fc03bb309,Beth Israel Deaconess Medical Center,beth israel deaconess medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-boston-medical-center_0acc9df9b41f,Boston Medical Center,boston medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-brigham-women-s-hospital_568719c55ffa,Brigham and Women's Hospital,brigham women s hospital,clinical_training_site,Mass General Brigham,seeded_alias,0.98
org_clinical-training-site-brown-internal-medicine-p_550bf668bb44,"Brown Internal Medicine, Providence, RI",brown internal medicine providence ri,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-brown-university-health-i_1397092f4e42,Brown University Health Internal Medicine,brown university health internal medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-brown-university-internal_d4f0e83b3f85,Brown University Internal Medicine,brown university internal medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-brown-university-internal_11cf41e7a2c4,Brown University Internal Medicine/Pediatrics,brown university internal medicine pediatrics,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-cleveland-clinic_2bdfb4162c41,Cleveland Clinic,cleveland clinic,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-cleveland-clinic-foundati_815e8180d5dd,Cleveland Clinic Foundation,cleveland clinic foundation,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-cleveland-clinic-foundati_94226fa3d430,"Cleveland Clinic Foundation, Cleveland, OH",cleveland clinic foundation cleveland oh,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-cleveland-clinic-clevelan_8302ce88b03f,"Cleveland Clinic, Cleveland Ohio",cleveland clinic cleveland ohio,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-combined-medicine-pediatr_c723f98b6d79,"Combined Medicine-Pediatrics at Michigan Medicine, University of Michigan",combined medicine pediatrics michigan medicine university michigan,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-cooper-university-hospita_7eba047dd5ab,Cooper University Hospital,cooper university hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-cooper-university-hospita_b138df91c107,"Cooper University Hospital, Camden, NJ",cooper university hospital camden nj,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-duke-university_44996b652787,Duke University,duke university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-einstein-medical-center-p_957a0bf168a7,"Einstein Medical Center, Philadelphia, PA",einstein medical center philadelphia pa,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-eisenhower-medical-center_44ad94f36861,"Eisenhower Medical Center, Rancho Mirage, CA",eisenhower medical center rancho mirage ca,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-emory-university_126c4c9e28e2,Emory University,emory university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-emory-university-school-m_9ea9211b03cd,Emory University School of Medicine,emory university school medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-family-medicine-carl-r-da_b6cac937cb6d,"Family Medicine, Carl R Darnall Army Medical Center",family medicine carl r darnall army medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-hackensack-university-med_f93ab250ff8a,"Hackensack University Medical Center, Hackensack, NJ",hackensack university medical center hackensack nj,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-hospital-university-penns_4c07a77647c0,Hospital of the University of Pennsylvania,hospital university pennsylvania,clinical_training_site,Penn Medicine,seeded_alias,0.98
org_clinical-training-site-hospital-university-penns_6d83668caa2c,Hospital of the University of Pennsylvania / Children's Hospital of Philadelphia Internal Medicine-Pediatrics Program,hospital university pennsylvania children s hospital philadelphia internal medicine pediatrics program,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-hospital-university-penns_def18074dca6,"Hospital of the University of Pennsylvania, Internal Medicine",hospital university pennsylvania internal medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-hospital-university-child_052bde681e19,Hospital of the University/Children’s Hospital of Philadelphia,hospital university children s hospital philadelphia,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-indiana-university_fd19f73e4ec3,Indiana University,indiana university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-inspira-health-network-mu_85a94d47cd14,"Inspira Health Network - Mullica Hill, Internal Medicine",inspira health network mullica hill internal medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-internal-medicine-umass-c_ef6fcd7d1b06,"Internal Medicine, UMass Chan Medical School",internal medicine umass chan medical school,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-internal-medicine-weill-c_c3090a1df717,"Internal Medicine, Weill Cornell Medical School - New York Presbyterian",internal medicine weill cornell medical school new york presbyterian,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-johns-hopkins_84b5c3834062,Johns Hopkins,johns hopkins,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-johns-hopkins-bayview-med_1e311dd5a279,Johns Hopkins Bayview Medical Center,johns hopkins bayview medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-johns-hopkins-hospital_a220512e4fab,Johns Hopkins Hospital,johns hopkins hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-johns-hopkins-hospital-os_25f7bb2ca67a,Johns Hopkins Hospital Osler Medical Residency,johns hopkins hospital osler medical residency,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-johns-hopkins-university_3d3b23ae324e,Johns Hopkins University,johns hopkins university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-lankenau-hospital_f069ee010fab,Lankenau Hospital,lankenau hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-lankenau-medical-center-w_76db691036b7,"Lankenau Medical Center, Wynnewood, PA",lankenau medical center wynnewood pa,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-lehigh-valley-health-netw_f39942dad61d,"Lehigh Valley Health Network, Allentown, PA",lehigh valley health network allentown pa,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-lehigh-valley-health-netw_bb76cd837dc6,"Lehigh Valley Health Network, Family Medicine",lehigh valley health network family medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-lewisgale-medical-center_7d9e45a26401,LewisGale Medical Center,lewisgale medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-main-line-health-system-l_7cc7e9d7ff4f,Main Line Health System/Lankenau Medical Center,main line health system lankenau medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-massachusetts-general-bri_2c807e44cfdc,Massachusetts General - Brigham and Women's Hospital,massachusetts general brigham women s hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-massachusetts-general-hos_550a31df0ca9,Massachusetts General Hospital,massachusetts general hospital,clinical_training_site,Mass General Brigham,seeded_alias,0.98
org_clinical-training-site-massachusetts-general-hos_e1a7e0c7bb5e,"Massachusetts General Hospital, Boston",massachusetts general hospital boston,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-mayo_6e0d3da1ea22,Mayo,mayo,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-mcgaw-medical-center-nort_edd16eaafc1a,McGaw Medical Center at Northwestern University,mcgaw medical center northwestern university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-mcgraw-medical-center-nor_d24190fbb72c,McGraw Medical Center of Northwestern University,mcgraw medical center northwestern university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medical-peds-hospital-uni_aa2d97de5bc3,Med Peds at Hospital of the University of Pennsylvania / Children's Hospital of Philadelphia,medical peds hospital university pennsylvania children s hospital philadelphia,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medical-peds-university-m_568dbc0da8ef,Med-Peds | University of Miami/Jackson Health Systems,medical peds university miami jackson health systems,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medical-peds-university-r_71b221349a45,Med/Peds University of Rochester Medical Center,medical peds university rochester medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medstar-georgetown-univer_25ae3b3b7c79,MedStar Georgetown University Hospital,medstar georgetown university hospital,clinical_training_site,,cleaned_label,0.55
