candidate_key,official_program_key,department,program_type,program_name,coverage_status,source_role,candidate_status,priority,confidence,candidate_title,candidate_url,http_status,roster_term_count,context_term_count,reasons,error
program_source_candidate_hup-gme-residency-radiology-interventional-indep_f5b05f3b1f88,hup_gme_residency_radiology-interventional-independent_951079567585,Radiology,residency,"Radiology - Interventional, Independent",discovered_no_current_roster,linked_candidate,roster_source_candidate,135,0.75,Current Residents,https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/residency-programs/current-residents,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-fellowship-plastic-surgery-b33a31a2ab76-_c302fd74e23e,hup_gme_fellowship_plastic-surgery_b33a31a2ab76,Surgery,fellowship,Plastic Surgery,discovered_no_current_roster,linked_candidate,roster_source_candidate,135,0.75,Meet Our Residents,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/residencies/plastic-surgery/residents,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4f28f2041cce,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,roster_source_candidate,130,0.7,Fellows,https://pathology.med.upenn.edu/department/people/fellows,,0,0,linked_from_gap_page;roster_language;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b7751962e408,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,roster_source_candidate,130,0.7,Residents,https://pathology.med.upenn.edu/department/people/residents,,0,0,linked_from_gap_page;roster_language;program_context_language,
program_source_candidate_hup-gme-residency-neurology-7c1f5f7cae7a-https-n_1c729964a1d5,hup_gme_residency_neurology_7c1f5f7cae7a,Neurology,residency,Neurology,not_discovered,linked_candidate,roster_source_candidate,125,0.55,Class of 2026,https://neuroresidency.uphs.upenn.edu/residents/2026,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-residency-neurology-7c1f5f7cae7a-https-n_61eb92d8a510,hup_gme_residency_neurology_7c1f5f7cae7a,Neurology,residency,Neurology,not_discovered,linked_candidate,roster_source_candidate,125,0.55,Class of 2027,https://neuroresidency.uphs.upenn.edu/residents/2027,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-residency-neurology-7c1f5f7cae7a-https-n_41af12d7c0c0,hup_gme_residency_neurology_7c1f5f7cae7a,Neurology,residency,Neurology,not_discovered,linked_candidate,roster_source_candidate,125,0.55,Class of 2028,https://neuroresidency.uphs.upenn.edu/residents/2028,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-residency-neurology-7c1f5f7cae7a-https-n_4edd26624722,hup_gme_residency_neurology_7c1f5f7cae7a,Neurology,residency,Neurology,not_discovered,linked_candidate,roster_source_candidate,125,0.55,Class of 2029,https://neuroresidency.uphs.upenn.edu/residents/2029,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4a22f3627940,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,roster_source_candidate,125,0.65,Fellows,https://pathology.med.upenn.edu/education/fellowships/fellows,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-residency-radiology-interventional-indep_2260bb403686,hup_gme_residency_radiology-interventional-independent_951079567585,Radiology,residency,"Radiology - Interventional, Independent",discovered_no_current_roster,linked_candidate,roster_source_candidate,125,0.65,Meet our Integrated IR residents,https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/residency-programs/current-residents/ir-integrated-residents,,0,0,linked_from_gap_page;roster_language,
