query_key,official_program_key,department,program_type,program_name,coverage_status,query_kind,query,query_url,priority,generated_at
program_source_query_hup-gme-fellowship-dermatopathology-0b133cf636fb_714628ef1b37,hup_gme_fellowship_dermatopathology_0b133cf636fb,Dermatology,fellowship,Dermatopathology,not_discovered,official_program_current_roster_search,"site:pennmedicine.org ""Dermatopathology"" ""current"" ""fellowship""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22Dermatopathology%22+%22current%22+%22fellowship%22,115,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-fellowship-dermatopathology-0b133cf636fb_799586c1134e,hup_gme_fellowship_dermatopathology_0b133cf636fb,Dermatology,fellowship,Dermatopathology,not_discovered,upenn_current_roster_search,"site:upenn.edu ""Dermatopathology"" ""current"" ""fellowship"" ""Penn""",https://html.duckduckgo.com/html/?q=site%3Aupenn.edu+%22Dermatopathology%22+%22current%22+%22fellowship%22+%22Penn%22,105,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-fellowship-dermatopathology-0b133cf636fb_037f1a259164,hup_gme_fellowship_dermatopathology_0b133cf636fb,Dermatology,fellowship,Dermatopathology,not_discovered,department_current_roster_search,"""Penn"" ""Dermatology"" ""Dermatopathology"" ""current"" ""fellows"" ""residents""",https://html.duckduckgo.com/html/?q=%22Penn%22+%22Dermatology%22+%22Dermatopathology%22+%22current%22+%22fellows%22+%22residents%22,95,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-fellowship-micrographic-surgery-and-derm_40357545a13a,hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d,Dermatology,fellowship,Micrographic Surgery and Dermatologic Oncology,not_discovered,official_program_current_roster_search,"site:pennmedicine.org ""Micrographic Surgery and Dermatologic Oncology"" ""current"" ""fellowship""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22Micrographic+Surgery+and+Dermatologic+Oncology%22+%22current%22+%22fellowship%22,115,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-fellowship-micrographic-surgery-and-derm_a41ce18628e1,hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d,Dermatology,fellowship,Micrographic Surgery and Dermatologic Oncology,not_discovered,upenn_current_roster_search,"site:upenn.edu ""Micrographic Surgery and Dermatologic Oncology"" ""current"" ""fellowship"" ""Penn""",https://html.duckduckgo.com/html/?q=site%3Aupenn.edu+%22Micrographic+Surgery+and+Dermatologic+Oncology%22+%22current%22+%22fellowship%22+%22Penn%22,105,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-fellowship-micrographic-surgery-and-derm_29431ee9c905,hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d,Dermatology,fellowship,Micrographic Surgery and Dermatologic Oncology,not_discovered,department_current_roster_search,"""Penn"" ""Dermatology"" ""Micrographic Surgery and Dermatologic Oncology"" ""current"" ""fellows"" ""residents""",https://html.duckduckgo.com/html/?q=%22Penn%22+%22Dermatology%22+%22Micrographic+Surgery+and+Dermatologic+Oncology%22+%22current%22+%22fellows%22+%22residents%22,95,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-residency-occupational-and-environmental_83041ae82f03,hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885,Emergency Medicine,residency,Occupational and Environmental Medicine (Preventative Medicine),not_discovered,official_program_current_roster_search,"site:pennmedicine.org ""Occupational and Environmental Medicine (Preventative Medicine)"" ""current"" ""residency""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22Occupational+and+Environmental+Medicine+%28Preventative+Medicine%29%22+%22current%22+%22residency%22,115,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-residency-occupational-and-environmental_f18f860d9eb9,hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885,Emergency Medicine,residency,Occupational and Environmental Medicine (Preventative Medicine),not_discovered,upenn_current_roster_search,"site:upenn.edu ""Occupational and Environmental Medicine (Preventative Medicine)"" ""current"" ""residency"" ""Penn""",https://html.duckduckgo.com/html/?q=site%3Aupenn.edu+%22Occupational+and+Environmental+Medicine+%28Preventative+Medicine%29%22+%22current%22+%22residency%22+%22Penn%22,105,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-residency-occupational-and-environmental_330fa479bda9,hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885,Emergency Medicine,residency,Occupational and Environmental Medicine (Preventative Medicine),not_discovered,department_current_roster_search,"""Penn"" ""Emergency Medicine"" ""Occupational and Environmental Medicine (Preventative Medicine)"" ""current"" ""fellows"" ""residents""",https://html.duckduckgo.com/html/?q=%22Penn%22+%22Emergency+Medicine%22+%22Occupational+and+Environmental+Medicine+%28Preventative+Medicine%29%22+%22current%22+%22fellows%22+%22residents%22,95,2026-06-02T14:57:29.599559+00:00
program_source_query_hup-gme-fellowship-clinical-neurophysiology-8096_b9f71b664634,hup_gme_fellowship_clinical-neurophysiology_809610fb6bad,Neurology,fellowship,Clinical Neurophysiology,not_discovered,official_program_current_roster_search,"site:pennmedicine.org ""Clinical Neurophysiology"" ""current"" ""fellowship""",https://html.duckduckgo.com/html/?q=site%3Apennmedicine.org+%22Clinical+Neurophysiology%22+%22current%22+%22fellowship%22,115,2026-06-02T14:57:29.599559+00:00
