entry_key,sponsoring_institution,department,program_type,program_name,program_url,coverage_status,matched_program_name,captured_people_count,match_method,match_confidence,discovery_classification,discovery_title,discovery_url,notes
hup_gme_residency_anesthesiology_594ed9d7c592,Hospital of the University of Pennsylvania,Anesthesiology,residency,Anesthesiology,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program,covered_current_roster,Anesthesiology Residency,97,normalized_name,0.95,alumni_or_outcome_candidate,Anesthesiology and Critical Care Residency and Fellowships,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training,Official HUP GME program with current roster capture.
hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e,Hospital of the University of Pennsylvania,Anesthesiology,fellowship,Adult Cardiothoracic Anesthesiology,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs,discovered_no_current_roster,,0,source_discovery,0.55,alumni_or_outcome_candidate,Department of Anesthesiology and Critical Care | Fellowships,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs,Official HUP GME program discovered as a page but no current roster people captured.
hup_gme_fellowship_critical-care-medicine_a51acc5c27ee,Hospital of the University of Pennsylvania,Anesthesiology,fellowship,Critical Care Medicine,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs,discovered_no_current_roster,,0,source_discovery,0.55,alumni_or_outcome_candidate,Department of Anesthesiology and Critical Care | Fellowships,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs,Official HUP GME program discovered as a page but no current roster people captured.
hup_gme_fellowship_pain-medicine_384642e8f0d1,Hospital of the University of Pennsylvania,Anesthesiology,fellowship,Pain Medicine,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs,discovered_no_current_roster,,0,source_discovery,0.55,alumni_or_outcome_candidate,Department of Anesthesiology and Critical Care | Fellowships,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs,Official HUP GME program discovered as a page but no current roster people captured.
hup_gme_residency_dermatology_cabc25fcd11c,Hospital of the University of Pennsylvania,Dermatology,residency,Dermatology,,discovered_no_current_roster,,0,source_discovery,0.55,context,Combined Internal Medicine Dermatology Program - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program,Official HUP GME program discovered as a page but no current roster people captured.
hup_gme_fellowship_dermatopathology_0b133cf636fb,Hospital of the University of Pennsylvania,Dermatology,fellowship,Dermatopathology,https://dermatology.upenn.edu/education/fellowship-training/dermatopathology/,not_discovered,,0,none,0.2,,,,Official HUP GME program not yet discovered/captured by current Penn source strategy.
hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d,Hospital of the University of Pennsylvania,Dermatology,fellowship,Micrographic Surgery and Dermatologic Oncology,https://dermatology.upenn.edu/education/fellowship-training/micrographic-oncology-fellowship/,not_discovered,,0,none,0.2,,,,Official HUP GME program not yet discovered/captured by current Penn source strategy.
hup_gme_residency_emergency-medicine_844b6b007cf3,Hospital of the University of Pennsylvania,Emergency Medicine,residency,Emergency Medicine,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine,discovered_no_current_roster,,0,source_discovery,0.55,program_context,Emergency Medicine: Education and Training | Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training,Official HUP GME program discovered as a page but no current roster people captured.
hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885,Hospital of the University of Pennsylvania,Emergency Medicine,residency,Occupational and Environmental Medicine (Preventative Medicine),https://www.med.upenn.edu/oem/residency.shtml,not_discovered,,0,none,0.2,,,,Official HUP GME program not yet discovered/captured by current Penn source strategy.
hup_gme_fellowship_undersea-and-hyperbaric-medicine_141573b3b9af,Hospital of the University of Pennsylvania,Emergency Medicine,fellowship,Undersea and Hyperbaric Medicine,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/fellowship-program/hyperbaric-medicine,discovered_no_current_roster,,0,source_discovery,0.55,program_context,Hyperbaric Medicine - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/fellowship-program/hyperbaric-medicine,Official HUP GME program discovered as a page but no current roster people captured.
hup_gme_residency_family-medicine_3364df227181,Hospital of the University of Pennsylvania,Family Medicine,residency,Family Medicine,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/residency,covered_current_roster,Family Medicine Residency,35,normalized_name,0.95,,,,Official HUP GME program with current roster capture.
hup_gme_fellowship_addiction-medicine_98c979053614,Hospital of the University of Pennsylvania,Family Medicine,fellowship,Addiction Medicine,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/fellowship,discovered_no_current_roster,,0,source_discovery,0.55,program_context,Addiction Medicine Fellowship - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/fellowship-program/addiction-medicine-fellowship,Official HUP GME program discovered as a page but no current roster people captured.
hup_gme_fellowship_sports-medicine_44f544a38b94,Hospital of the University of Pennsylvania,Family Medicine,fellowship,Sports Medicine,https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/fellowship,covered_current_roster,Sports Medicine Fellowship,2,normalized_name,0.95,,,,Official HUP GME program with current roster capture.
hup_gme_residency_internal-medicine-categorical_9138b3db3c42,Hospital of the University of Pennsylvania,Internal Medicine,residency,Internal Medicine - Categorical,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/categorical,covered_current_roster,Internal Medicine Residency,173,alias,0.88,context,Categorical Program - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/categorical,Official HUP GME program with current roster capture.
