claim_value,confidence,display_name,event_type,match_features,program_context,quality_notes,source_key,source_type,source_url,status
"Alumni Spotlights Graduates of the Penn Ophthalmology residency and fellowship programs become leaders in research, patient care, and teaching.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",Alumni Spotlights - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_cb38c6bd51ff,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights,candidate
"alumni! Myron Yanoff, MD Scheie Vision Summer 2020: Former Chairman of the Department, Dr.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",Alumni Spotlights - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_cb38c6bd51ff,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights,candidate
Skip to main content News Resources Intranet Login Home Department Education Research Clinical Services Patient Care Residency Fellowships Graduate Studies Postdocs Medical School Case Studies Search Home Department Welcome About the Department Overview Leadership Department Videos History Job Opportunities Contacts Wellness People Faculty Administration Residents Fellows Student Fellows Recent Graduates Affiliated Hospitals Giving Newsletter Education Residency Overview Application Programs AP/CP AP CP AP/Neuropathology Physician-Scientist Pathway Curriculum Conferences Logistics Teaching Opportunities Salary & Benefits Living in Philly Residents Current Placement Awards Fellowships Overvie,0.25,,penn_alumni_outcome_candidate,"['official_penn_page', 'weak_outcome_context', 'source_level_not_person_resolved']",Graduate Studies | University of Pennsylvania | Pathology and Laboratory Medicine,['no_structured_outcome_phrase_found'],penn_outcome_8610e1794b15,official_outcome_context,https://pathology.med.upenn.edu/education/graduate-studies,candidate
Graduates You can view the fellowship match lists by clicking the links below.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",Internal Medicine Graduates - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_dfa1e124d18d,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/application-information/internal-medicine-graduates,candidate
graduates who choose to do diverse non-fellowship work after finishing our program.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",Internal Medicine Graduates - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_dfa1e124d18d,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/application-information/internal-medicine-graduates,candidate
"Alumni If you are an alumni or know someone who is, please reach out to [REDACTED_EMAIL] and let us know what you’re up to! We will be launching an annual newsletter that we’d like all alumni to receive so you can stay current with everything that’s happening here.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",Alumni - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_426ab7252001,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/residency-program/alumni,candidate
"Occupational and Environmental Medicine Alumni Blythe Mansfield, MD, MPH Medical School: University of Colorado Health Sciences Center Residency Program: Family Medicine, University of Texas; Memorial Family Practice Program/Specialty: Graduate Program: MPH, George Washington University Candace Koney-Laryea, MD, MHA Medical School: The Ohio State University College of Medicine Undergraduate School: MHA, The Ohio State University Charles Wenzel, JD, DO, MPH Medical School: New York College of Osteopathic Medicine Program/Specialty: Graduate Program: JD, Notre Dame Law School Chinyere Omeogu, MD, MPH Medical School: University of Nigeria Residency Program: Internal Medicine, Morehouse School o",0.25,,penn_alumni_outcome_candidate,"['official_penn_page', 'weak_outcome_context', 'source_level_not_person_resolved']",Alumni - Penn Medicine,['no_structured_outcome_phrase_found'],penn_outcome_b30bd4cae8ea,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/oem-residency-program/alumni,candidate
Graduates Our Graduates go on to practice or complete fellowships all over the country.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",About our Graduates - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_db7d66d05261,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,candidate
graduates extends to all fifty states.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",About our Graduates - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_db7d66d05261,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,candidate
"graduates pursue fellowships, 24% pursue private practice jobs and 16% pursue academic anesthesia.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",About our Graduates - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_db7d66d05261,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,candidate
"Position - Academia/Private Practice American Anesthesiology of New Jersey (NJ) Cottage Health (CA) Inova Health System (VA) Kaiser Permanente, San Francisco (CA) Oregon Health and Sciences University (OR) St.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",About our Graduates - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_db7d66d05261,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,candidate
"Position - Academia/Private Practice Allentown Anesthesia associates, Inc.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']",About our Graduates - Penn Medicine,['source_level_outcome_phrase_not_person_linked'],penn_outcome_db7d66d05261,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,candidate
became interested in ophthalmology.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Myron Yanoff, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_60c64193841a,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/myron-yanoff,candidate
"Alumni Spotlight: Myron Yanoff, MD Dr.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Myron Yanoff, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_60c64193841a,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/myron-yanoff,candidate
Alumni Spotlight: Jennifer E.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Jennifer E. Thorne, MD, PhD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_483cb9a8578e,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/jennifer-thorne,candidate
Alumni Meeting to celebrate the Department’s 145th Anniversary.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Jennifer E. Thorne, MD, PhD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_483cb9a8578e,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/jennifer-thorne,candidate
"joined NJ Retina, a 20-doctor private practice specializing in retina.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Jonathan Prenner, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_00d58f2dceeb,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/jonathan-prenner,candidate
joined the Jules Stein faculty for five years before becoming an adjunct professor at the University of Michigan’s Kellogg Eye Center.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Raymond Douglas, MD, PhD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_0e011bcf68a3,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/raymond-douglas,candidate
position at Cedars-Sinai Hospital.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Raymond Douglas, MD, PhD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_0e011bcf68a3,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/raymond-douglas,candidate
"joined the University Children’s Eye Center, a private practice in East Brunswick, NJ, affiliated with Robert Wood Johnson University Hospital (RWJUH) and Saint Peter’s Hospital.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Sepideh Tara Rousta, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_af03308e6294,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/sepideh-tara-rousta,candidate
"became inspired to consider a future in pediatric ophthalmology,” she said.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Sepideh Tara Rousta, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_af03308e6294,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/sepideh-tara-rousta,candidate
Alumni Meeting in the spring.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Steve Rubin, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_7ba016dac584,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/steve-rubin,candidate
appointed patient at the Veterans Hospital in 1994 with bilateral macular holes.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","William Trattler, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_94444048245b,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/william-trattler,candidate
Alumni Anniversary Meeting in 2016.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","William Trattler, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_94444048245b,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/william-trattler,candidate
"Daniel Gombos, MD By Vikas Natesh Scheie Vision Spring 2015 Dr. Daniel Gombos is a Professor and Chief of Ophthalmology at MD Anderson Cancer Center, with joint appointments at Baylor College of Medicine and the University of Texas Medical Branch, Galveston. After completing fellowships at University of California San Francisco (with Dr. Joan O’Brien) and St. Bartholomew’s Hospital in London, Dr. Gombos was recruited by MD Anderson as an ocular oncologist. At MD Anderson, Dr. Gombos focuses on retinoblastoma and uveal melanoma. He helped to create the Retinoblastoma Center of Houston, a center wide program that brings in resources of major healthcare institutions in Houston. As the clinical ",0.25,,penn_alumni_outcome_candidate,"['official_penn_page', 'weak_outcome_context', 'source_level_not_person_resolved']","Daniel Gombos, MD - Penn Medicine",['no_structured_outcome_phrase_found'],penn_outcome_8fa49015c5d6,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/daniel-gombos,candidate
"Donald Budenz, MD, MPH By Vikas Natesh Scheie Vision Winter 2015 Donald Budenz, MD, MPH, Scheie alumnus and Chairman of the UNC Chapel Hill Department of Ophthalmology, was recently awarded the 2014 Outstanding Humanitarian Service Award. The American Academy of Ophthalmology (AAO) presented Dr. Budenz with this award at the 2014 AAO Annual Meeting in Chicago. Coincidently, another Scheie alumnus, Dr. Alan Crandall, was also awarded the 2014 Outstanding Humanitarian Service Award. The AAO consists of over 23,000 US and 9,000 international members, making the award an enormous honor for both physicians. Dr. Budenz’s visits to Ghana inspired his receipt of this humanitarian award. Ever since h",0.25,,penn_alumni_outcome_candidate,"['official_penn_page', 'weak_outcome_context', 'source_level_not_person_resolved']","Donald Budenz, MD, MPH - Penn Medicine",['no_structured_outcome_phrase_found'],penn_outcome_4e51edb85819,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/donald-budenz,candidate
"accepted today), and Joan O’Brien is an excellent Chairman and leader,” he said.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Robert Weisenthal, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_67e68621abd9,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,candidate
"currently serves as the committee chairman editing the Basic Clinical and Science Curriculum (BCSC) textbook Book 8 on Cornea and External Disease, recently joined by Dr.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Robert Weisenthal, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_67e68621abd9,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,candidate
"currently works at the National Institute of Health (NIH), is applying to medical school.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Robert Weisenthal, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_67e68621abd9,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,candidate
"Alumni who lead interesting, full lives.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Robert Weisenthal, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_67e68621abd9,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,candidate
"joined his practice in 2002, and together they launched Bala Eye Care, a free-standing office in Bala Cynwyd.",0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Marvin Greenbaum, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_126a793a29f6,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/marvin-greenbaum,candidate
Alumni that make their work and life something we can all look to for inspiration.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Marvin Greenbaum, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_126a793a29f6,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/marvin-greenbaum,candidate
became the third ophthalmologist (after Drs.,0.45,,penn_alumni_outcome_candidate,"['official_penn_page', 'outcome_language', 'source_level_not_person_resolved']","Richard Prince, MD - Penn Medicine",['source_level_outcome_phrase_not_person_linked'],penn_outcome_d82dca1e92b6,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/richard-prince,candidate
"Physical Medicine & Rehabilitation Residency Training Program Alumni Class of 2025 Erica Blanchard, DO Fellow, Sports Medicine, University of Pennsylvania Health System (Philadelphia, PA) Mike DeCapua, MD Fellow, Interventional Spine and MSK Medicine, University of Pennsylvania Health System (Philadelphia, PA) Mackinzie McDaniel, MD Attending Physiatrist, Mercy Hospital (Springfield, MO) Neil Patel, MD Attending Physiatrist, Penn State Health (Lancaster, PA) Palak Patel, MD Fellow, Brain Injury Medicine, Rutgers NJMS/Kessler (West Orange, NJ) David Weinberg, MD Fellow, Sports Medicine, NYU Langone Health (New York, NY) Class of 2024 Gurtej Bajaj, MD Fellow, Interventional Pain Medicine, Univ",0.25,,penn_alumni_outcome_candidate,"['official_penn_page', 'weak_outcome_context', 'source_level_not_person_resolved']",Alumni - Penn Medicine,['no_structured_outcome_phrase_found'],penn_outcome_91061df13303,official_outcome_context,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/alumni,candidate
