person_key,display_name,role,current_status,institution,profile_url,headshot_url,quality_tier
aardra rajendran,"Aardra Rajendran, MD",fellow,current,University of Pennsylvania / Penn Medicine,,https://www3.pennmedicine.org/-/media/academic%20departments/department%20of%20medicine/education/ay%2025%20cardio%20fellowship/fellow%20headshots/rajendran_%20aardra2.ashx?mw=120&mh=161,high
aaron cheng,"Aaron Cheng, MD",fellow,current,University of Pennsylvania / Penn Medicine,,https://www3.pennmedicine.org/-/media/academic%20departments/hematology/2026%20fellows/cheng%20a.ashx?mw=120&mh=161,high
abhishek gami,"Abhishek Gami, MD",fellow,current,University of Pennsylvania / Penn Medicine,,https://www3.pennmedicine.org/-/media/academic%20departments/department%20of%20medicine/education/ay26%20cardio%20fellows/gami%20abhishek.ashx?mw=120&mh=161,high
adam tuchinsky,"Adam Tuchinsky, DO",fellow,current,University of Pennsylvania / Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/renal-electrolyte-and-hypertension-division/education-and-training/fellowship-programs/nephrology-fellows/second-year-fellows/adam-tuchinsky,https://www3.pennmedicine.org/-/media/academic%20departments/renal%20electrolyte%20and%20hypertension%20division/headshots/class%20of%202026/tuchinsky_adam.ashx?mw=120&mh=161,high
adrian alonzo,"Adrian Alonzo, MD",fellow,current,University of Pennsylvania / Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/rheumatology/education-and-training/fellowship-programs/current-fellows/first-year-fellows/alonzo-adrian,https://www3.pennmedicine.org/-/media/academic%20departments/rheumatology/fellows/2026%20fellows/alonso_adrian.ashx?mw=120&mh=161,high
aili klein,"Aili Klein, MD, PhD",fellow,current,University of Pennsylvania / Penn Medicine,,https://www3.pennmedicine.org/-/media/academic%20departments/hematology/2027%20fellows/klein.ashx?mw=120&mh=161,high
alan tang,"Alan Tang, MD, PhD",fellow,current,University of Pennsylvania / Penn Medicine,,https://www3.pennmedicine.org/-/media/academic%20departments/cardiovascular%20division/fellowships/tang3.ashx?mw=120&mh=161,high
alexa tabackman,"Alexa Tabackman, MD",fellow,current,University of Pennsylvania / Penn Medicine,,https://www3.pennmedicine.org/-/media/academic%20departments/infectious%20diseases/fellows/2028%20fellows/alexa_tabackman.ashx?mw=120&mh=161,high
alexander ortiz,"Alexander Ortiz, MD",fellow,current,University of Pennsylvania / Penn Medicine,,https://www3.pennmedicine.org/-/media/academic%20departments/pulmonology%20allergy%20and%20critical%20care/headshots/2026%20fellows/alexander_ortiz.ashx?mw=120&mh=161,high
alexandra leto,"Alexandra Leto, MD",fellow,current,University of Pennsylvania / Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/gastroenterology/education-and-training/fellowship-programs/gastroenterology-and-hepatology-fellow-profiles/first-year-gastroenterology-fellows/leto,https://www3.pennmedicine.org/-/media/academic%20departments/gastroenterology%20division/headshots/fellows/fy26/a%20leto.ashx?mw=120&mh=161,high
