query_key,person_key,display_name,role,program_name,task_key,task_type,query_kind,query,query_url,priority,priority_band,searched_at,search_http_status,result_count,error
prior_training_query_person-enrichment-task-46d7b042b6ca15e29942-adam_6ef81b2055204435,person_adam-s-vesole-m-d_a346c49d1bae,"Adam S. Vesole, M.D.",fellow,Neurotology Fellowship,person_enrichment_task_46d7b042b6ca15e29942,source_residency_background,queue_query,"""Adam S. Vesole, M.D."" ""Neurotology Fellowship"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Adam+S.+Vesole%2C+M.D.%22+%22Neurotology+Fellowship%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:35.931962+00:00,200,0,
prior_training_query_person-enrichment-task-46d7b042b6ca15e29942-adam_1f276774d01961d9,person_adam-s-vesole-m-d_a346c49d1bae,"Adam S. Vesole, M.D.",fellow,Neurotology Fellowship,person_enrichment_task_46d7b042b6ca15e29942,source_residency_background,prior_training_background_search,"""Adam S Vesole M D"" residency",https://html.duckduckgo.com/html/?q=%22Adam+S+Vesole+M+D%22+residency,89,high,2026-06-02T19:10:37.014887+00:00,200,0,
prior_training_query_person-enrichment-task-a7f50a5a37a36ad1d789-ahme_66349c95eba0e459,person_ahmed-alsayed-mbbs_3239f630984d,"Ahmed Alsayed, MBBS",fellow,Hand Surgery Fellowship,person_enrichment_task_a7f50a5a37a36ad1d789,source_residency_background,queue_query,"""Ahmed Alsayed, MBBS"" ""Hand Surgery Fellowship"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Ahmed+Alsayed%2C+MBBS%22+%22Hand+Surgery+Fellowship%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:37.939931+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-a7f50a5a37a36ad1d789-ahme_cd03c704d30856e2,person_ahmed-alsayed-mbbs_3239f630984d,"Ahmed Alsayed, MBBS",fellow,Hand Surgery Fellowship,person_enrichment_task_a7f50a5a37a36ad1d789,source_residency_background,prior_training_background_search,"""Ahmed Alsayed"" residency",https://html.duckduckgo.com/html/?q=%22Ahmed+Alsayed%22+residency,89,high,2026-06-02T19:10:38.232210+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-cd0486d3e0a64de5c2f7-ahme_3f316ed7db2e2b1f,person_ahmed-beydoun-m-d_965cf0589988,"Ahmed Beydoun, M.D.",fellow,Sleep Medicine and Surgery Fellowship,person_enrichment_task_cd0486d3e0a64de5c2f7,source_residency_background,queue_query,"""Ahmed Beydoun, M.D."" ""Sleep Medicine and Surgery Fellowship"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Ahmed+Beydoun%2C+M.D.%22+%22Sleep+Medicine+and+Surgery+Fellowship%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:38.519445+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-cd0486d3e0a64de5c2f7-ahme_457dc172534860fa,person_ahmed-beydoun-m-d_965cf0589988,"Ahmed Beydoun, M.D.",fellow,Sleep Medicine and Surgery Fellowship,person_enrichment_task_cd0486d3e0a64de5c2f7,source_residency_background,prior_training_background_search,"""Ahmed Beydoun M D"" residency",https://html.duckduckgo.com/html/?q=%22Ahmed+Beydoun+M+D%22+residency,89,high,2026-06-02T19:10:38.824048+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-0a91a7492589bc3a6208-ahme_8dfbe4fd1f174057,person_ahmed-beydoun-md_6277a752d76f,"Ahmed Beydoun, MD",fellow,Sleep Medicine Fellowship,person_enrichment_task_0a91a7492589bc3a6208,source_residency_background,queue_query,"""Ahmed Beydoun, MD"" ""Sleep Medicine Fellowship"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Ahmed+Beydoun%2C+MD%22+%22Sleep+Medicine+Fellowship%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:39.116241+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-0a91a7492589bc3a6208-ahme_9dee7ca96f144ce3,person_ahmed-beydoun-md_6277a752d76f,"Ahmed Beydoun, MD",fellow,Sleep Medicine Fellowship,person_enrichment_task_0a91a7492589bc3a6208,source_residency_background,prior_training_background_search,"""Ahmed Beydoun"" residency",https://html.duckduckgo.com/html/?q=%22Ahmed+Beydoun%22+residency,89,high,2026-06-02T19:10:39.404402+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-7f7760974ab6ff740e2e-ali-_f9381c115b2d89f1,person_ali-nabavizadeh-md_a5de64836416,"Ali Nabavizadeh, MD",fellow,ABR Alternate Pathway to Certification,person_enrichment_task_7f7760974ab6ff740e2e,source_residency_background,queue_query,"""Ali Nabavizadeh, MD"" ""ABR Alternate Pathway to Certification"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Ali+Nabavizadeh%2C+MD%22+%22ABR+Alternate+Pathway+to+Certification%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:39.687393+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-7f7760974ab6ff740e2e-ali-_ea820b41e3bc0a52,person_ali-nabavizadeh-md_a5de64836416,"Ali Nabavizadeh, MD",fellow,ABR Alternate Pathway to Certification,person_enrichment_task_7f7760974ab6ff740e2e,source_residency_background,prior_training_background_search,"""Ali Nabavizadeh"" residency",https://html.duckduckgo.com/html/?q=%22Ali+Nabavizadeh%22+residency,89,high,2026-06-02T19:10:39.986501+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-b39b4517d3199f1f5c2f-alla_8cb779951a4b5b41,person_allan-huang-md_8ad007f09368,"Allan Huang, MD",fellow,Gynecologic Oncology Fellowship,person_enrichment_task_b39b4517d3199f1f5c2f,source_residency_background,queue_query,"""Allan Huang, MD"" ""Gynecologic Oncology Fellowship"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Allan+Huang%2C+MD%22+%22Gynecologic+Oncology+Fellowship%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:40.275288+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-b39b4517d3199f1f5c2f-alla_14ca04ce73cd57a5,person_allan-huang-md_8ad007f09368,"Allan Huang, MD",fellow,Gynecologic Oncology Fellowship,person_enrichment_task_b39b4517d3199f1f5c2f,source_residency_background,prior_training_background_search,"""Allan Huang"" residency",https://html.duckduckgo.com/html/?q=%22Allan+Huang%22+residency,89,high,2026-06-02T19:10:40.562022+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-3160e93766fddbe2f043-alla_eb045f4fb3874cdb,person_allan-stolarski-md-ms_bb615dd872ac,"Allan Stolarski, MD, MS",fellow,Trauma and Surgical Critical Care Fellowship,person_enrichment_task_3160e93766fddbe2f043,source_residency_background,queue_query,"""Allan Stolarski, MD, MS"" ""Trauma and Surgical Critical Care Fellowship"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Allan+Stolarski%2C+MD%2C+MS%22+%22Trauma+and+Surgical+Critical+Care+Fellowship%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:40.849009+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-3160e93766fddbe2f043-alla_9ddb0e519784b519,person_allan-stolarski-md-ms_bb615dd872ac,"Allan Stolarski, MD, MS",fellow,Trauma and Surgical Critical Care Fellowship,person_enrichment_task_3160e93766fddbe2f043,source_residency_background,prior_training_background_search,"""Allan Stolarski"" residency",https://html.duckduckgo.com/html/?q=%22Allan+Stolarski%22+residency,89,high,2026-06-02T19:10:41.124837+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-e0e1ba81f95dcf855933-alli_6366c1df15e5288b,person_allison-reeder-m-d_b5a2fca0dfa2,"Allison Reeder, M.D.",fellow,CHOP Otolaryngology Fellowship,person_enrichment_task_e0e1ba81f95dcf855933,source_residency_background,queue_query,"""Allison Reeder, M.D."" ""CHOP Otolaryngology Fellowship"" residency prior training bio CV",https://html.duckduckgo.com/html/?q=%22Allison+Reeder%2C+M.D.%22+%22CHOP+Otolaryngology+Fellowship%22+residency+prior+training+bio+CV,89,high,2026-06-02T19:10:41.414955+00:00,202,0,search_endpoint_non_200
prior_training_query_person-enrichment-task-e0e1ba81f95dcf855933-alli_848639ea08939be5,person_allison-reeder-m-d_b5a2fca0dfa2,"Allison Reeder, M.D.",fellow,CHOP Otolaryngology Fellowship,person_enrichment_task_e0e1ba81f95dcf855933,source_residency_background,prior_training_background_search,"""Allison Reeder M D"" residency",https://html.duckduckgo.com/html/?q=%22Allison+Reeder+M+D%22+residency,89,high,2026-06-02T19:10:41.702734+00:00,202,0,search_endpoint_non_200
