program_name,role,person_count,avg_coverage_score,broad_enrichment_surface_count,moderate_enrichment_surface_count,thin_enrichment_surface_count,profile_coverage_rate,contact_coverage_rate,medical_school_coverage_rate,residency_coverage_rate,article_candidate_coverage_rate,npi_candidate_coverage_rate,npi_needs_review_coverage_rate,cleaned_org_review_count,reconciliation_queue_count,top_recommended_next_action
Clinical Microbiology Fellowship,fellow,2,20.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,official_profile_search
GI/Hepatic Pathology Fellowship,fellow,2,20.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,official_profile_search
Soft Tissue/Bone Pathology Fellowship,fellow,1,20.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,official_profile_search
Psychiatry Residency,resident,52,20.0,0,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,official_profile_search
Gynecologic Oncology Fellowship,fellow,6,20.67,0,0,6,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0,1,official_profile_search
Hematopathology Fellowship,fellow,4,21.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0,1,official_profile_search
Maternal Fetal Medicine Fellowship,fellow,8,21.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0,2,official_profile_search
Surgical Pathology Fellowship,fellow,6,21.67,0,0,6,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0,5,official_profile_search
Clinical Chemistry Fellowship,fellow,2,22.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,1,official_profile_search
Cytopathology Fellowship,fellow,2,22.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,1,official_profile_search
Molecular Genetic Pathology Fellowship,fellow,2,23.0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,2,official_profile_search
Breast Pathology Fellowship,fellow,1,24.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,official_profile_search
Neuropathology Fellowship,fellow,2,24.0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,official_profile_search
Transfusion Medicine/Blood Bank Fellowship,fellow,1,24.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,official_profile_search
CHOP Otolaryngology Fellowship,fellow,4,25.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,official_profile_search
Facial Plastic and Reconstructive Surgery Fellowship,fellow,1,25.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,official_profile_search
Foot and Ankle Fellowship,fellow,2,25.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,official_profile_search
"Head and Neck Surgical Oncology, Microvascular Reconstruction, and Robotic Surgery Fellowship",fellow,2,25.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,official_profile_search
Neurotology Fellowship,fellow,1,25.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,official_profile_search
Rhinology and Skull Base Surgery Fellowship,fellow,2,25.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,official_profile_search
Shoulder and Elbow Fellowship,fellow,1,25.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,official_profile_search
Sleep Medicine and Surgery Fellowship,fellow,2,25.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,official_profile_search
Spine Fellowship,fellow,1,25.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,official_profile_search
Oral Medicine Residency,resident,8,25.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,official_profile_search
Otorhinolaryngology Residency,resident,31,26.42,0,0,31,0.0,0.0,0.0,0.0,0.065,0.194,0.194,0,57,official_profile_search
Adult Reconstructive Orthopedics Fellowship,fellow,3,27.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.667,0.333,0,5,official_profile_search
Sleep Medicine Fellowship,fellow,7,27.29,0,0,7,0.0,0.0,0.0,0.0,0.143,0.429,0.0,0,12,official_profile_search
ABR Alternate Pathway to Certification,fellow,1,30.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,official_profile_search
Radiation Oncology Residency,resident,17,31.12,0,0,17,0.0,0.0,0.0,0.0,0.235,0.941,0.941,0,69,official_profile_search
Hand Surgery Fellowship,fellow,2,32.0,0,0,2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0,10,official_profile_search
Sports Medicine Fellowship,fellow,2,32.0,0,0,2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0,13,official_profile_search
Urogynecology and Reconstructive Pelvic Surgery Fellowship,fellow,4,37.5,0,0,4,0.0,0.0,0.0,1.0,0.0,0.25,0.25,2,1,official_profile_search
Thoracic Surgery - Thoracic Track Fellowship,fellow,1,40.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,official_profile_search
