candidate_key,official_program_key,official_program_type,official_program_name,official_department,identifier_type,identifier_value,identifier_source,source_program_specialty,source_program_name,source_city,source_state,source_status_json,source_url,candidate_status,confidence,match_reasons_json,evidence_json,observed_at
program_identifier_candidate_hup-gme-fellowship-abdominal-radiology-46b381e34_32a728851d052c90,hup_gme_fellowship_abdominal-radiology_46b381e34efc,fellowship,Abdominal Radiology,Radiology,acgme_program_code,4214113008,acgme_public_program_search,Abdominal radiology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4214113008,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""8451"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/fellowships/fellowship-programs/accredited-fellowships/abdominal-imaging-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-addiction-medicine-98c9790536_a208aa71891e892f,hup_gme_fellowship_addiction-medicine_98c979053614,fellowship,Addiction Medicine,Family Medicine,acgme_program_code,4044140008,acgme_public_program_search,Addiction medicine (multidisciplinary),University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4044140008,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""51538"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-addiction-psychiatry-1e5ea7fd_958311775e3e0661,hup_gme_fellowship_addiction-psychiatry_1e5ea7fd48a3,fellowship,Addiction Psychiatry,Psychiatry,acgme_program_code,4014121011,acgme_public_program_search,Addiction psychiatry,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4014121011,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""6215"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.med.upenn.edu/psychiatry/formalfellowships.html#addictions""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-adult-cardiothoracic-anesthes_a3a0dad98c168497,hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e,fellowship,Adult Cardiothoracic Anesthesiology,Anesthesiology,acgme_program_code,0414131008,acgme_public_program_search,Adult cardiothoracic anesthesiology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0414131008,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""9435"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-adult-congenital-heart-diseas_58f0aa29bfe2fe1d,hup_gme_fellowship_adult-congenital-heart-disease_8eef191db90c,fellowship,Adult Congenital Heart Disease,Internal Medicine,acgme_program_code,1534114001,acgme_public_program_search,Adult congenital heart disease,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1534114001,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""38823"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/adult-congenital-heart-disease-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-adult-reconstructive-orthoped_f089ee241ada66b1,hup_gme_fellowship_adult-reconstructive-orthopedics_ba6a91e2425b,fellowship,Adult Reconstructive Orthopedics,Orthopedic Surgery,acgme_program_code,2614121001,acgme_public_program_search,Adult reconstructive orthopaedics,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2614121001,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""3853"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-advanced-heart-failure-transp_e3121d129afc4c0e,hup_gme_fellowship_advanced-heart-failure-transplant-cardiology_bfd3646f95c3,fellowship,Advanced Heart Failure Transplant Cardiology,Internal Medicine,acgme_program_code,1594114003,acgme_public_program_search,Advanced heart failure and transplant cardiology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1594114003,review_acgme_identifier_candidate,0.8,"[""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""11114"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/advanced-heart-failure-transplant-cardiology-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-allergy-and-immunology-b48c99_05762c19367f58ec,hup_gme_fellowship_allergy-and-immunology_b48c99ddb29d,fellowship,Allergy and Immunology,Internal Medicine,acgme_program_code,0204121075,acgme_public_program_search,Allergy and immunology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0204121075,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""64"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-immunology-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-allergy-and-immunology-b48c99_de1bb58aac56b8ea,hup_gme_fellowship_allergy-and-immunology_b48c99ddb29d,fellowship,Allergy and Immunology,Internal Medicine,acgme_program_code,0204131123,acgme_public_program_search,Allergy and immunology,Children's Hospital of Philadelphia Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0204131123,review_acgme_identifier_candidate,0.71,"[""exact_specialty_name_match"", ""acgme_name_matches_chop_affiliate_context"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""8444"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-immunology-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-blood-banking-and-transfusion_86f2264ec3dc6d98,hup_gme_fellowship_blood-banking-and-transfusion-medicine_0e0d40e44a08,fellowship,Blood Banking and Transfusion Medicine,Pathology and Laboratory Medicine,acgme_program_code,3054121007,acgme_public_program_search,Blood banking/transfusion medicine,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3054121007,review_acgme_identifier_candidate,0.8,"[""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""4427"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/clinical-chemistry-fellowship""}",2026-06-02T10:06:52.674352+00:00
