reconciliation_key,candidate_key,official_program_key,official_program_type,official_program_name,identifier_type,identifier_value,identifier_source,source_program_specialty,source_program_name,source_city,candidate_status,reconciliation_status,recommended_action,reconciliation_confidence,rank_in_official_program,candidate_count_for_program,close_candidate_count,rationale,evidence_json,reconciled_at
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_0828927342ed9db1,program_identifier_candidate_hup-gme-fellowship-abdominal-radiology-46b381e34_32a728851d052c90,hup_gme_fellowship_abdominal-radiology_46b381e34efc,fellowship,Abdominal Radiology,acgme_program_code,4214113008,acgme_public_program_search,Abdominal radiology,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""8451"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/fellowships/fellowship-programs/accredited-fellowships/abdominal-imaging-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_8af7a900733652c8,program_identifier_candidate_hup-gme-fellowship-addiction-medicine-98c9790536_a208aa71891e892f,hup_gme_fellowship_addiction-medicine_98c979053614,fellowship,Addiction Medicine,acgme_program_code,4044140008,acgme_public_program_search,Addiction medicine (multidisciplinary),University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""51538"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_a0ee8c9e3392091c,program_identifier_candidate_hup-gme-fellowship-addiction-psychiatry-1e5ea7fd_958311775e3e0661,hup_gme_fellowship_addiction-psychiatry_1e5ea7fd48a3,fellowship,Addiction Psychiatry,acgme_program_code,4014121011,acgme_public_program_search,Addiction psychiatry,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""6215"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.med.upenn.edu/psychiatry/formalfellowships.html#addictions""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_16f8a371596985ae,program_identifier_candidate_hup-gme-fellowship-adult-cardiothoracic-anesthes_a3a0dad98c168497,hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e,fellowship,Adult Cardiothoracic Anesthesiology,acgme_program_code,0414131008,acgme_public_program_search,Adult cardiothoracic anesthesiology,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""9435"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_5ed4a5446a1017e2,program_identifier_candidate_hup-gme-fellowship-adult-congenital-heart-diseas_58f0aa29bfe2fe1d,hup_gme_fellowship_adult-congenital-heart-disease_8eef191db90c,fellowship,Adult Congenital Heart Disease,acgme_program_code,1534114001,acgme_public_program_search,Adult congenital heart disease,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""38823"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/adult-congenital-heart-disease-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_8992bda0434dd546,program_identifier_candidate_hup-gme-fellowship-adult-reconstructive-orthoped_f089ee241ada66b1,hup_gme_fellowship_adult-reconstructive-orthopedics_ba6a91e2425b,fellowship,Adult Reconstructive Orthopedics,acgme_program_code,2614121001,acgme_public_program_search,Adult reconstructive orthopaedics,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""3853"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_4b89c56970ea378e,program_identifier_candidate_hup-gme-fellowship-advanced-heart-failure-transp_e3121d129afc4c0e,hup_gme_fellowship_advanced-heart-failure-transplant-cardiology_bfd3646f95c3,fellowship,Advanced Heart Failure Transplant Cardiology,acgme_program_code,1594114003,acgme_public_program_search,Advanced heart failure and transplant cardiology,University of Pennsylvania Health System Program,Philadelphia,review_acgme_identifier_candidate,review_affiliate_or_specialty_alias_identifier,review_affiliate_specialty_alias_or_chop_context_before_accepting,0.62,1,1,1,Candidate has useful ACGME evidence but needs source review before accepted identifier use.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""11114"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/advanced-heart-failure-transplant-cardiology-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.8}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_b82792284b638aa0,program_identifier_candidate_hup-gme-fellowship-allergy-and-immunology-b48c99_05762c19367f58ec,hup_gme_fellowship_allergy-and-immunology_b48c99ddb29d,fellowship,Allergy and Immunology,acgme_program_code,0204121075,acgme_public_program_search,Allergy and immunology,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,2,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 2, ""candidate_evidence"": {""acgme_data_item_key"": ""64"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-immunology-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_a65e9bdf7f55cd1b,program_identifier_candidate_hup-gme-fellowship-allergy-and-immunology-b48c99_de1bb58aac56b8ea,hup_gme_fellowship_allergy-and-immunology_b48c99ddb29d,fellowship,Allergy and Immunology,acgme_program_code,0204131123,acgme_public_program_search,Allergy and immunology,Children's Hospital of Philadelphia Program,Philadelphia,review_acgme_identifier_candidate,review_affiliate_or_specialty_alias_identifier,review_affiliate_specialty_alias_or_chop_context_before_accepting,0.62,2,2,1,Candidate has useful ACGME evidence but needs source review before accepted identifier use.,"{""candidate_count_for_program"": 2, ""candidate_evidence"": {""acgme_data_item_key"": ""8444"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-immunology-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_chop_affiliate_context"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-a_f7b3d909e4d66749,program_identifier_candidate_hup-gme-residency-anesthesiology-594ed9d7c592-ac_b50499bf9b0237d4,hup_gme_residency_anesthesiology_594ed9d7c592,residency,Anesthesiology,acgme_program_code,0404121134,acgme_public_program_search,Anesthesiology,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""331"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
