audit_key,official_program_key,matched_program_key,identifier_key,official_program_type,official_program_name,matched_program_name,identifier_type,identifier_value,source_program_specialty,coverage_status,lifecycle_status,recommended_action,lifecycle_confidence,state_row_count,coded_state_row_count,unclassified_state_row_count,lifecycle_code_count,lifecycle_codes_json,rule_keys_json,rationale,evidence_json,audited_at
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_32edd278dc8161e7,hup_gme_fellowship_abdominal-radiology_46b381e34efc,program_fellow-abdominal-imaging-fellowship_1b82f23e68ea,official_program_identifier_hup-gme-fellowship-abdominal-radiology-46b381e34_e57f8dbb8d772f65,fellowship,Abdominal Radiology,Abdominal Imaging Fellowship,acgme_program_code,4214113008,Abdominal radiology,covered_current_roster,accepted_identifier_lifecycle_consistent,use_for_program_level_normalization_and_state_machine_rollups,0.84,9,9,0,1,"[""US_GME_FELLOWSHIP_1Y""]","[""fellowship_one_year_common""]","Accepted ACGME identifier, official coverage mapping, and single non-default lifecycle code agree.","{""coverage"": {""coverage_status"": ""covered_current_roster"", ""match_confidence"": 0.88, ""match_method"": ""alias"", ""matched_program_key"": ""program_fellow-abdominal-imaging-fellowship_1b82f23e68ea"", ""matched_program_name"": ""Abdominal Imaging Fellowship""}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""8451"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/fellowships/fellowship-programs/accredited-fellowships/abdominal-imaging-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4214113008""}, ""training_state_summary"": {""coded_state_rows"": 9, ""expected_transition_types"": [""source_refresh_required""], ""lifecycle_codes"": [""US_GME_FELLOWSHIP_1Y""], ""normalized_stages"": [""FELLOWSHIP_CURRENT_YEAR_UNKNOWN""], ""refresh_policies"": [""source_refresh_required""], ""rule_keys"": [""fellowship_one_year_common""], ""stage_families"": [""fellowship""], ""state_rows"": 9, ""state_summary_rows"": [{""count"": 9, ""expected_transition_type"": ""source_refresh_required"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_1Y"", ""lifecycle_rule_key"": ""fellowship_one_year_common"", ""normalized_stage"": ""FELLOWSHIP_CURRENT_YEAR_UNKNOWN"", ""refresh_policy"": ""source_refresh_required"", ""stage_family"": ""fellowship""}], ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_e2a18fe3d97d1a22,hup_gme_fellowship_addiction-medicine_98c979053614,,official_program_identifier_hup-gme-fellowship-addiction-medicine-98c9790536_45b7e792d57f89ad,fellowship,Addiction Medicine,,acgme_program_code,4044140008,Addiction medicine (multidisciplinary),discovered_no_current_roster,identifier_accepted_no_current_roster_validation,find_or_refresh_current_roster_before_using_lifecycle_for_diff_mutation,0.42,0,0,0,0,[],[],"Accepted ACGME identifier exists, but there is no captured current roster program row to validate lifecycle states.","{""coverage"": {""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": """", ""matched_program_name"": """"}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""51538"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/family-medicine-and-community-health/education-and-training/fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4044140008""}, ""training_state_summary"": {""coded_state_rows"": 0, ""expected_transition_types"": [], ""lifecycle_codes"": [], ""normalized_stages"": [], ""refresh_policies"": [], ""rule_keys"": [], ""stage_families"": [], ""state_rows"": 0, ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_e51d16beeade61b7,hup_gme_fellowship_addiction-psychiatry_1e5ea7fd48a3,,official_program_identifier_hup-gme-fellowship-addiction-psychiatry-1e5ea7fd_4c1545eed3694b40,fellowship,Addiction Psychiatry,,acgme_program_code,4014121011,Addiction psychiatry,not_discovered,identifier_accepted_no_current_roster_validation,find_or_refresh_current_roster_before_using_lifecycle_for_diff_mutation,0.42,0,0,0,0,[],[],"Accepted ACGME identifier exists, but there is no captured current roster program row to validate lifecycle states.","{""coverage"": {""coverage_status"": ""not_discovered"", ""match_confidence"": 0.2, ""match_method"": ""none"", ""matched_program_key"": """", ""matched_program_name"": """"}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""6215"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.med.upenn.edu/psychiatry/formalfellowships.html#addictions""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4014121011""}, ""training_state_summary"": {""coded_state_rows"": 0, ""expected_transition_types"": [], ""lifecycle_codes"": [], ""normalized_stages"": [], ""refresh_policies"": [], ""rule_keys"": [], ""stage_families"": [], ""state_rows"": 0, ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_c6975315adb337c0,hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e,,official_program_identifier_hup-gme-fellowship-adult-cardiothoracic-anesthes_4b49e78d780af67c,fellowship,Adult Cardiothoracic Anesthesiology,,acgme_program_code,0414131008,Adult cardiothoracic anesthesiology,discovered_no_current_roster,identifier_accepted_no_current_roster_validation,find_or_refresh_current_roster_before_using_lifecycle_for_diff_mutation,0.42,0,0,0,0,[],[],"Accepted ACGME identifier exists, but there is no captured current roster program row to validate lifecycle states.","{""coverage"": {""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": """", ""matched_program_name"": """"}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""9435"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0414131008""}, ""training_state_summary"": {""coded_state_rows"": 0, ""expected_transition_types"": [], ""lifecycle_codes"": [], ""normalized_stages"": [], ""refresh_policies"": [], ""rule_keys"": [], ""stage_families"": [], ""state_rows"": 0, ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_515e7a76ca9b91e0,hup_gme_fellowship_adult-congenital-heart-disease_8eef191db90c,program_fellow-adult-congenital-heart-disease-fellowship_8175dbe5999b,official_program_identifier_hup-gme-fellowship-adult-congenital-heart-diseas_c14d0f065c8b1ed1,fellowship,Adult Congenital Heart Disease,Adult Congenital Heart Disease Fellowship,acgme_program_code,1534114001,Adult congenital heart disease,covered_current_roster,accepted_identifier_lifecycle_consistent,use_for_program_level_normalization_and_state_machine_rollups,0.84,2,2,0,1,"[""US_GME_FELLOWSHIP_2Y""]","[""fellowship_two_year_common""]","Accepted ACGME identifier, official coverage mapping, and single non-default lifecycle code agree.","{""coverage"": {""coverage_status"": ""covered_current_roster"", ""match_confidence"": 0.95, ""match_method"": ""normalized_name"", ""matched_program_key"": ""program_fellow-adult-congenital-heart-disease-fellowship_8175dbe5999b"", ""matched_program_name"": ""Adult Congenital Heart Disease Fellowship""}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""38823"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/adult-congenital-heart-disease-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1534114001""}, ""training_state_summary"": {""coded_state_rows"": 2, ""expected_transition_types"": [""source_refresh_required""], ""lifecycle_codes"": [""US_GME_FELLOWSHIP_2Y""], ""normalized_stages"": [""FELLOWSHIP_CURRENT_YEAR_UNKNOWN""], ""refresh_policies"": [""source_refresh_required""], ""rule_keys"": [""fellowship_two_year_common""], ""stage_families"": [""fellowship""], ""state_rows"": 2, ""state_summary_rows"": [{""count"": 2, ""expected_transition_type"": ""source_refresh_required"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_2Y"", ""lifecycle_rule_key"": ""fellowship_two_year_common"", ""normalized_stage"": ""FELLOWSHIP_CURRENT_YEAR_UNKNOWN"", ""refresh_policy"": ""source_refresh_required"", ""stage_family"": ""fellowship""}], ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_1d6c738ac24ffd44,hup_gme_fellowship_adult-reconstructive-orthopedics_ba6a91e2425b,program_fellow-adult-reconstructive-orthopedics-fellowsh_28e2575107ca,official_program_identifier_hup-gme-fellowship-adult-reconstructive-orthoped_fd36cd24d1e28bb8,fellowship,Adult Reconstructive Orthopedics,Adult Reconstructive Orthopedics Fellowship,acgme_program_code,2614121001,Adult reconstructive orthopaedics,covered_current_roster,accepted_identifier_with_default_or_unknown_lifecycle,source_duration_or_specialty_rule_before_auto_advancing_program_rollups,0.58,3,3,0,1,"[""US_GME_FELLOWSHIP_DURATION_UNKNOWN""]","[""default_fellowship_annual""]","Accepted ACGME identifier anchors the program, but lifecycle duration is still default or unknown.","{""coverage"": {""coverage_status"": ""covered_current_roster"", ""match_confidence"": 0.95, ""match_method"": ""normalized_name"", ""matched_program_key"": ""program_fellow-adult-reconstructive-orthopedics-fellowsh_28e2575107ca"", ""matched_program_name"": ""Adult Reconstructive Orthopedics Fellowship""}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""3853"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2614121001""}, ""training_state_summary"": {""coded_state_rows"": 3, ""expected_transition_types"": [""source_refresh_required""], ""lifecycle_codes"": [""US_GME_FELLOWSHIP_DURATION_UNKNOWN""], ""normalized_stages"": [""FELLOWSHIP_CURRENT_YEAR_UNKNOWN""], ""refresh_policies"": [""source_refresh_required""], ""rule_keys"": [""default_fellowship_annual""], ""stage_families"": [""fellowship""], ""state_rows"": 3, ""state_summary_rows"": [{""count"": 3, ""expected_transition_type"": ""source_refresh_required"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_DURATION_UNKNOWN"", ""lifecycle_rule_key"": ""default_fellowship_annual"", ""normalized_stage"": ""FELLOWSHIP_CURRENT_YEAR_UNKNOWN"", ""refresh_policy"": ""source_refresh_required"", ""stage_family"": ""fellowship""}], ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_13ed21c67b51c6a8,hup_gme_fellowship_allergy-and-immunology_b48c99ddb29d,program_fellow-allergy-immunology-fellowship_9c9bebbae6f1,official_program_identifier_hup-gme-fellowship-allergy-and-immunology-b48c99_fe341185091777f6,fellowship,Allergy and Immunology,Allergy and Immunology Fellowship,acgme_program_code,0204121075,Allergy and immunology,covered_current_roster,accepted_identifier_lifecycle_consistent,use_for_program_level_normalization_and_state_machine_rollups,0.84,4,4,0,1,"[""US_GME_FELLOWSHIP_2Y""]","[""fellowship_two_year_common""]","Accepted ACGME identifier, official coverage mapping, and single non-default lifecycle code agree.","{""coverage"": {""coverage_status"": ""covered_current_roster"", ""match_confidence"": 0.95, ""match_method"": ""normalized_name"", ""matched_program_key"": ""program_fellow-allergy-immunology-fellowship_9c9bebbae6f1"", ""matched_program_name"": ""Allergy and Immunology Fellowship""}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 2, ""candidate_evidence"": {""acgme_data_item_key"": ""64"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-immunology-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0204121075""}, ""training_state_summary"": {""coded_state_rows"": 4, ""expected_transition_types"": [""expected_annual_advancement"", ""expected_completion""], ""lifecycle_codes"": [""US_GME_FELLOWSHIP_2Y""], ""normalized_stages"": [""FELLOWSHIP_YEAR_1"", ""FELLOWSHIP_YEAR_2""], ""refresh_policies"": [""annual_clock""], ""rule_keys"": [""fellowship_two_year_common""], ""stage_families"": [""fellowship""], ""state_rows"": 4, ""state_summary_rows"": [{""count"": 2, ""expected_transition_type"": ""expected_annual_advancement"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_2Y"", ""lifecycle_rule_key"": ""fellowship_two_year_common"", ""normalized_stage"": ""FELLOWSHIP_YEAR_1"", ""refresh_policy"": ""annual_clock"", ""stage_family"": ""fellowship""}, {""count"": 2, ""expected_transition_type"": ""expected_completion"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_2Y"", ""lifecycle_rule_key"": ""fellowship_two_year_common"", ""normalized_stage"": ""FELLOWSHIP_YEAR_2"", ""refresh_policy"": ""annual_clock"", ""stage_family"": ""fellowship""}], ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-b_2daf4cde5e1e7bcf,hup_gme_fellowship_brain-injury-medicine_0f5a49f6e439,,official_program_identifier_hup-gme-fellowship-brain-injury-medicine-0f5a49f_1a2424b4ca0c6ca8,fellowship,Brain Injury Medicine,,acgme_program_code,3474134002,Brain injury medicine (Physical medicine and rehabilitation),discovered_no_current_roster,identifier_accepted_no_current_roster_validation,find_or_refresh_current_roster_before_using_lifecycle_for_diff_mutation,0.42,0,0,0,0,[],[],"Accepted ACGME identifier exists, but there is no captured current roster program row to validate lifecycle states.","{""coverage"": {""coverage_status"": ""discovered_no_current_roster"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": """", ""matched_program_name"": """"}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""31649"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/physical-medicine-and-rehabilitation-fellowship-programs/traumatic-brain-injury-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3474134002""}, ""training_state_summary"": {""coded_state_rows"": 0, ""expected_transition_types"": [], ""lifecycle_codes"": [], ""normalized_stages"": [], ""refresh_policies"": [], ""rule_keys"": [], ""stage_families"": [], ""state_rows"": 0, ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-c_1bb90e8cc298ff17,hup_gme_fellowship_cardiovascular-disease_191ae40b3626,program_fellow-cardiovascular-disease-fellowship_0e20a1fe7b45,official_program_identifier_hup-gme-fellowship-cardiovascular-disease-191ae4_a74db5f83aafdb16,fellowship,Cardiovascular Disease,Cardiovascular Disease Fellowship,acgme_program_code,1414121023,Cardiovascular disease,covered_current_roster,accepted_identifier_lifecycle_consistent,use_for_program_level_normalization_and_state_machine_rollups,0.84,33,33,0,1,"[""US_GME_FELLOWSHIP_3Y""]","[""fellowship_three_year_common""]","Accepted ACGME identifier, official coverage mapping, and single non-default lifecycle code agree.","{""coverage"": {""coverage_status"": ""covered_current_roster"", ""match_confidence"": 0.95, ""match_method"": ""normalized_name"", ""matched_program_key"": ""program_fellow-cardiovascular-disease-fellowship_0e20a1fe7b45"", ""matched_program_name"": ""Cardiovascular Disease Fellowship""}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""1204"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/cardiovascular-disease-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1414121023""}, ""training_state_summary"": {""coded_state_rows"": 33, ""expected_transition_types"": [""expected_annual_advancement"", ""expected_completion"", ""stage_outside_nominal_duration_review""], ""lifecycle_codes"": [""US_GME_FELLOWSHIP_3Y""], ""normalized_stages"": [""FELLOWSHIP_YEAR_1"", ""FELLOWSHIP_YEAR_2"", ""FELLOWSHIP_YEAR_3"", ""FELLOWSHIP_YEAR_4""], ""refresh_policies"": [""annual_clock"", ""review_required""], ""rule_keys"": [""fellowship_three_year_common""], ""stage_families"": [""fellowship""], ""state_rows"": 33, ""state_summary_rows"": [{""count"": 12, ""expected_transition_type"": ""expected_annual_advancement"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_3Y"", ""lifecycle_rule_key"": ""fellowship_three_year_common"", ""normalized_stage"": ""FELLOWSHIP_YEAR_1"", ""refresh_policy"": ""annual_clock"", ""stage_family"": ""fellowship""}, {""count"": 10, ""expected_transition_type"": ""expected_annual_advancement"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_3Y"", ""lifecycle_rule_key"": ""fellowship_three_year_common"", ""normalized_stage"": ""FELLOWSHIP_YEAR_2"", ""refresh_policy"": ""annual_clock"", ""stage_family"": ""fellowship""}, {""count"": 10, ""expected_transition_type"": ""expected_completion"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_3Y"", ""lifecycle_rule_key"": ""fellowship_three_year_common"", ""normalized_stage"": ""FELLOWSHIP_YEAR_3"", ""refresh_policy"": ""annual_clock"", ""stage_family"": ""fellowship""}, {""count"": 1, ""expected_transition_type"": ""stage_outside_nominal_duration_review"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_3Y"", ""lifecycle_rule_key"": ""fellowship_three_year_common"", ""normalized_stage"": ""FELLOWSHIP_YEAR_4"", ""refresh_policy"": ""review_required"", ""stage_family"": ""fellowship""}], ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-c_149e078c6bd12d99,hup_gme_fellowship_clinical-cardiac-electrophysiology_34e302d05ade,program_fellow-clinical-cardiac-electrophysiology-fellow_b15e02d5315a,official_program_identifier_hup-gme-fellowship-clinical-cardiac-electrophysi_8b3ab3c8faa1b589,fellowship,Clinical Cardiac Electrophysiology,Clinical Cardiac Electrophysiology Fellowship,acgme_program_code,1544122065,Clinical cardiac electrophysiology,covered_current_roster,accepted_identifier_lifecycle_consistent,use_for_program_level_normalization_and_state_machine_rollups,0.84,12,12,0,1,"[""US_GME_FELLOWSHIP_2Y""]","[""fellowship_two_year_common""]","Accepted ACGME identifier, official coverage mapping, and single non-default lifecycle code agree.","{""coverage"": {""coverage_status"": ""covered_current_roster"", ""match_confidence"": 0.95, ""match_method"": ""normalized_name"", ""matched_program_key"": ""program_fellow-clinical-cardiac-electrophysiology-fellow_b15e02d5315a"", ""matched_program_name"": ""Clinical Cardiac Electrophysiology Fellowship""}, ""identifier"": {""identifier_confidence"": 0.91, ""identifier_source"": ""acgme_public_program_search"", ""reconciliation_evidence"": {""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""2554"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/electrophysiology-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T10:06:52.674352+00:00"", ""top_confidence"": 0.91}, ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1544122065""}, ""training_state_summary"": {""coded_state_rows"": 12, ""expected_transition_types"": [""source_refresh_required""], ""lifecycle_codes"": [""US_GME_FELLOWSHIP_2Y""], ""normalized_stages"": [""FELLOWSHIP_CURRENT_YEAR_UNKNOWN""], ""refresh_policies"": [""source_refresh_required""], ""rule_keys"": [""fellowship_two_year_common""], ""stage_families"": [""fellowship""], ""state_rows"": 12, ""state_summary_rows"": [{""count"": 12, ""expected_transition_type"": ""source_refresh_required"", ""lifecycle_code"": ""US_GME_FELLOWSHIP_2Y"", ""lifecycle_rule_key"": ""fellowship_two_year_common"", ""normalized_stage"": ""FELLOWSHIP_CURRENT_YEAR_UNKNOWN"", ""refresh_policy"": ""source_refresh_required"", ""stage_family"": ""fellowship""}], ""unclassified_state_rows"": 0}}",2026-06-02T10:06:56.508061+00:00
