observation_key,audit_key,official_program_key,official_program_name,identifier_value,source_program_specialty,source_url,effective_url,http_status,page_title,page_text_sha256,text_length,duration_phrase_count,explicit_duration_years_json,source_status,error_text,evidence_json,observed_at
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_b3f9f8998e227a8e,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_1d6c738ac24ffd44,hup_gme_fellowship_adult-reconstructive-orthopedics_ba6a91e2425b,Adult Reconstructive Orthopedics,2614121001,Adult reconstructive orthopaedics,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction,200,Adult Reconstructive Surgery Fellowship - Penn Medicine,5cdce7f1d04972e208232e332346433e7b96d63d51447662de2d8e5b181d997c,5002,0,[],ok,,"{""duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2614121001""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_7e7fac2477147965,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-c_9bcbcda830493d31,hup_gme_fellowship_cytopathology_c3e8c941b7d0,Cytopathology,3074121004,Cytopathology,https://pathology.med.upenn.edu/education/fellowships/programs/cytopathology,https://pathology.med.upenn.edu/education/fellowships/programs/cytopathology,200,Cytopathology Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,91454dd8c28626e434f20414c40ddab185eb8a2b485126bdbcd7ffc7e05da632,6158,0,[],ok,,"{""duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3074121004""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_af7a794bc745bac0,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-g_3e4081866f8b92b5,hup_gme_fellowship_gynecologic-oncology_59b3af566d85,Gynecologic Oncology,2254122005,Gynecologic oncology,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/gynecologic-oncology,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/gynecologic-oncology,200,Gynecologic Oncology - Penn Medicine,db23da4c26a283b948b4e091523f985bfd7e69e97eac201dda69d481ec83fa52,7989,1,[2],ok,,"{""duration_mentions"": [{""context"": ""ty for development and preparation of the thesis required for board certification. We expect that all fellows will complete between one and three projects leading to publication during this research year. The subsequent two years of the training program will be an intensive experience in the clinical care of gynecologic oncology patients, with an emphasis on radical pelvic surgery, chemotherapy, and radiotherapy. Fellows will also spend a significant portion of their time in clinical"", ""negative_context"": false, ""phrase"": ""two year"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2254122005""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_c4ecc8e04a074bae,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-h_328ab0ba50a0ce91,hup_gme_fellowship_hematopathology_07d280563504,Hematopathology,3114121069,Hematopathology,https://pathology.med.upenn.edu/education/fellowships/programs/clinical-chemistry-fellowship,https://pathology.med.upenn.edu/education/fellowships/programs/clinical-chemistry-fellowship,200,Clinical Chemistry Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,c6ba7ec8292ed9497141e09f65b9a68028e7d9940411cf43c1782612a88f1987,9339,1,[2],ok,,"{""duration_mentions"": [{""context"": ""cal Pathology Transfusion Medicine Student Fellowship Fellows Clinical Chemistry Fellowship Fellowship Overview A clinical chemistry postdoctoral fellowship position is available at University of Pennsylvania. This is a two-year fellowship position , available starting July 1. The Clinical Chemistry fellow will rotate through various laboratories at Hospital of University of Pennsylvania (HUP) and Children\u2019s Hospital of Philadelphia (CHOP) in the Department of Pathology and Laboratory Medicin"", ""negative_context"": false, ""phrase"": ""two-year fellowship"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3114121069""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_cb89bc6be9a4d477,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-m_316cfbc1bd40fd23,hup_gme_fellowship_maternal-fetal-medicine_fa13cced70c8,Maternal Fetal Medicine,2304122004,Maternal-fetal medicine,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/maternal-fetal-medicine,https://www.med.upenn.edu/academic-departments/department-of-obstetrics-and-gynecology/education-and-training/fellowship-programs/maternal-fetal-medicine-fellowship?redirect=1&referrer=pennmed&source=fsu,200,Page Not Found | Perelman School of Medicine | Perelman School of Medicine at the University of Pennsylvania,b2180ad3671d80d2475841091b407e764cd543ef8611d8bc777c794a5e1af50e,2075,0,[],ok,,"{""duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2304122004""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_83c2af66ff15748e,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-m_672c34825c84cc17,hup_gme_fellowship_molecular-genetic-pathology_d07dc958c36e,Molecular Genetic Pathology,1904121001,Molecular genetic pathology (multidisciplinary),https://pathology.med.upenn.edu/education/fellowships/programs/molecular-genetic-pathology-fellowship,https://pathology.med.upenn.edu/education/fellowships/programs/molecular-genetic-pathology-fellowship,200,Molecular Genetic Pathology Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,97f7b063be5d11a0db6a76b651beb5617ae7edbf40818b590e04a9818f0f332f,9932,3,"[1, 2]",ok,,"{""duration_mentions"": [{""context"": ""of Pennsylvania is to train fellows in the practice of molecular genetic pathology, the application and interpretation of molecular laboratory techniques, and diagnostic laboratory administration. Over the course of the one-year ACGME-accredited fellowship, the fellow gains experience in the application of molecular genetic pathology through service work, didactic lectures, resident teaching, involvement in laboratory administration, and hands-on test development and/or research projects through rotations at th"", ""negative_context"": true, ""phrase"": ""one-year ACGME-accredited fellowship"", ""positive_context"": true, ""years"": 1}, {""context"": ""gy Esther Baranov, MD Microbiology Kyle Rodino, PhD Laurel Glaser, MD, PhD CHOP Jill Murrell, PhD Minjie Luo, PhD Program Requirements Prior to the start of the program, fellows must have successfully completed at least two years of pathology residency or successfully complete a residency in medical genetics and genomics or be a physician certified by the American Board of Medical Genetics and Genomics (ABMGG). Fellows must also be licensed or eligible for licensure in Pennsylvania."", ""negative_context"": true, ""phrase"": ""two year"", ""positive_context"": true, ""years"": 2}, {""context"": ""in Pennsylvania. Prior experience in genetics and/or molecular biology is recommended. Application Process for 2027-2028 Fellowship Available Positions : Up to three MGP fellowship positions are available each year. The duration of the fellowship is one year. Timeline : The program at the Hospital of the University of Pennsylvania is planning to participate in the Match for the 2027-2028 Fellowship. An FAQ document on the Match process for applicants is available from the Association of Molecular Pathology . The"", ""negative_context"": false, ""phrase"": ""duration of the fellowship is one year"", ""positive_context"": true, ""years"": 1}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1904121001""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_69a2d17b7e0e9652,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-n_000fcbdda6697fcd,hup_gme_fellowship_neuropathology_91745daad371,Neuropathology,3154121041,Neuropathology,https://pathology.med.upenn.edu/education/fellowships/programs/neuropathology-fellowship,https://pathology.med.upenn.edu/education/fellowships/programs/neuropathology-fellowship,200,Neuropathology Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,1e10dcf7c708704c40911c8f1980dd0134406c731b610361f8c57329f61cf5f0,6027,2,[2],ok,,"{""duration_mentions"": [{""context"": ""/Hepatic Pathology Hematopathology Molecular Genetic Pathology Neuropathology Soft Tissue/Bone Pathology Surgical Pathology Transfusion Medicine Student Fellowship Fellows Neuropathology Fellowship Fellowship Overview A two-year ACGME \u2013accredited clinical training program is offered to qualified candidates. Fellows are responsible for approximately 220 brain autopsies and over 1,100 surgical cases, nerve, and muscle biopsies and consults. Rotations at the Children\u2019s Hospital of Phila"", ""negative_context"": false, ""phrase"": ""two-year"", ""positive_context"": true, ""years"": 2}, {""context"": ""fied trainees interested in pursuing a research-intensive career. The program has an 100% success rate for its AP/NP residents who have applied for K08 career development award from the NIH. Requirements MD degree and a 2-year background in Anatomic Pathology (as part of the AP/NP program) or completion of AP or AP/CP residency. The candidate must be able to obtain a Pennsylvania Medical License. Faculty Mentorship is provided by 10 highly experienced diagnostic neuropathologists,"", ""negative_context"": true, ""phrase"": ""2-year"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3154121041""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_d6da2b70875224dc,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-t_e671ba4810306574,hup_gme_fellowship_trauma-and-surgical-critical-care_5fa0f17c1f74,Trauma and Surgical Critical Care,4424121056,Surgical critical care,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/trauma-and-surgical-critical-care-fellowship,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/trauma-and-surgical-critical-care-fellowship,200,Trauma and Surgical Critical Care Fellowship - Penn Medicine,8d3171a3def98f80739231d74c732d5ff5e782fd18122d4d2ea24441ad89986b,9780,3,"[1, 2]",ok,,"{""duration_mentions"": [{""context"": ""s game, delivering top notch care, and also maximizing educational assimilation. Performance improvement processes, research, and leadership training round out our fellowship experience. We have several tracks including one-year Surgical Critical Care, two-year Acute Care Surgery, and a dedicated two-year Emergency Medicine/Surgical Critical Care track. Niels D. Martin, MD Program Director, Trauma and Surgical Critical Care Fellowship Professor of Surgery Follow us on Twitter Surgi"", ""negative_context"": false, ""phrase"": ""one-year"", ""positive_context"": true, ""years"": 1}, {""context"": "", and also maximizing educational assimilation. Performance improvement processes, research, and leadership training round out our fellowship experience. We have several tracks including one-year Surgical Critical Care, two-year Acute Care Surgery, and a dedicated two-year Emergency Medicine/Surgical Critical Care track. Niels D. Martin, MD Program Director, Trauma and Surgical Critical Care Fellowship Professor of Surgery Follow us on Twitter Surgical Critical Care - SCC Emergency"", ""negative_context"": false, ""phrase"": ""two-year"", ""positive_context"": true, ""years"": 2}, {""context"": ""n. Performance improvement processes, research, and leadership training round out our fellowship experience. We have several tracks including one-year Surgical Critical Care, two-year Acute Care Surgery, and a dedicated two-year Emergency Medicine/Surgical Critical Care track. Niels D. Martin, MD Program Director, Trauma and Surgical Critical Care Fellowship Professor of Surgery Follow us on Twitter Surgical Critical Care - SCC Emergency Surgery - ESS INTRANET The University of Pen"", ""negative_context"": false, ""phrase"": ""two-year"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4424121056""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_7f5249ad527b080c,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-u_16f51e6359bbcfdc,hup_gme_fellowship_urogynecology-and-reconstructive-pelvic-surgery_cd33cc4131ec,Urogynecology and Reconstructive Pelvic Surgery,2214122002,Urogynecology and Reconstructive Pelvic Surgery (OBGYN),https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/urogynecology,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/urogynecology,200,Urogynecology - Penn Medicine,1685e2c32d2d759d67be6e65b7603143ab4ad7994c6d0af6ae087ae0580de568,11153,3,"[2, 3]",ok,,"{""duration_mentions"": [{""context"": ""Medicine and Reconstructive Surgery at Penn (FPM/RS) fellowship program is to provide high quality comprehensive education in urogynecology and pelvic floor disorders for obstetrician-gynecologists and urologists. This three year (two year for urology trained candidates) ACGME approved program will provide clinical, surgical and research training in the field of FPM/RS. The Division of Urogynecology and Pelvic Reconstructive Surgery serves as a major referral center for the diagnosis"", ""negative_context"": false, ""phrase"": ""three year"", ""positive_context"": true, ""years"": 3}, {""context"": ""d Reconstructive Surgery at Penn (FPM/RS) fellowship program is to provide high quality comprehensive education in urogynecology and pelvic floor disorders for obstetrician-gynecologists and urologists. This three year (two year for urology trained candidates) ACGME approved program will provide clinical, surgical and research training in the field of FPM/RS. The Division of Urogynecology and Pelvic Reconstructive Surgery serves as a major referral center for the diagnosis and treatm"", ""negative_context"": false, ""phrase"": ""two year"", ""positive_context"": true, ""years"": 2}, {""context"": "", cystoscopy, anal physiological testing, and endoanal ultrasound. Research The division has well-equipped clinical and translational research facilities. Twelve months of dedicated research time is distributed over the three-year period. We anticipate that all fellows will complete peer projects leading to presentations at national meetings and publications by the third year. Education The Division of Urogynecology and Pelvic Reconstructive Surgery maintains an active teaching schedul"", ""negative_context"": false, ""phrase"": ""three-year"", ""positive_context"": false, ""years"": 3}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2214122002""}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_90ec95310831ec1a,program_lifecycle_consistency_official-program-identifier-hup-gme-residency-pa_383bf4403e9edc24,hup_gme_residency_pathology-anatomic-and-clinical_611fe58e800d,Pathology - Anatomic and Clinical,3004121314,Pathology-anatomic and clinical,https://pathology.med.upenn.edu/education/residency/overview,https://pathology.med.upenn.edu/education/residency/overview,200,Pathology Residency Program Overview | University of Pennsylvania | Pathology and Laboratory Medicine,de05037b91afd8b4425644d79131ce0bd27df09d812910792f04fe59a5ccb85a,6514,0,[],ok,,"{""duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3004121314""}",2026-06-02T17:51:43.570877+00:00
