career_event_id,person_key,display_name,event_type,role_title,organization_name,department,program_context,event_year,source_url,confidence,status
42,,"Alana Sagin, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
3,,"Alison Wakoff Loren, MD, MSCE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
22,,"Anar A. Dossumbekova, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate
20,,"Andrea J. Apter, MD, MA, MSc",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate
44,,"Ann Soliman, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
47,,Barbara A. Carr,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
33,,"Bridget Durkin, MD, MBE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
4,,"Christine Ciunci, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
16,,"Christopher A. D'Avella, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
10,,"Daniel J. Landsburg, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
17,,"David M. Mintzer, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
36,,"Denis Hadjiliadis, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
7,,"Douglas Eric Guggenheim, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
14,,"Edward A. Stadtmauer, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
30,,"Emily Chan, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
1,,"Emily Gordon, MD, MSEd",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership,0.55,candidate
12,,"Erin O. Aakhus, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
27,,"Geeta Ravi Patel, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate
48,,Janet Long,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
2,,Jesse Kiefer MD MSEd,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership,0.55,candidate
31,,"Katherine Courtright, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
39,,"Kathryn A. McGrath, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
32,,"Laura Dingfield, MD, MSEd",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
37,,"Lindsay Haines, MD, MSHP",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
40,,"Matthew Mendlik, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
18,,"Maureen R. Hewitt, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
5,,"Michael Costello, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
41,,"Miguel A Paniagua, MD, FACP, FAAHPM",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
15,,"Nevena Damjanov, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
34,,"Nicholas Woods Freedman, DO",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
29,,"Niharika Ganta, MD, MPH",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
23,,"Olajumoke O. Fadugba, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate
38,,"Pallavi Kumar, MD, MPH",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
25,,"Patrick Kevin Gleeson, MD, MSCE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate
26,,"Pavle S. Milutinovic, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate
8,,"Peter S. Klein, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
6,,"Priya P. Gor, MD, MSCE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
28,,"Priya Patel, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate
49,,Rachael Lutgen,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate
11,,"Rebecca L. Hirsh, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate
