slice_index_key,execution_order,school_gap_resolution_batch_key,school_name,sponsoring_institution,next_operator_lane,resolution_category,batch_status,gap_count,program_count,slice_output_path,slice_command,verification_command,target_artifact,required_next_evidence,approval_required_for,prohibited_mutations,source_batch_rows,source_packet_rows,accepted_person_rows,person_ingestion_allowed,denominator_closure_allowed,school_verification_allowed,url_rewrite_allowed,identity_collapse_allowed,private_artifact_paths_committed,evidence_json,mutation_policy,generated_at
school_gap_resolution_batch_slice_index_561d3829c40da75c1751,1,school_gap_resolution_batch_e81d6de09bb3a988757d,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,gap_resolution_batch_ready,9,9,/tmp/school_gap_resolution_batch_order_1.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 1 --output /tmp/school_gap_resolution_batch_order_1.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/school_gap_resolution_manifest.csv,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":9,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_12d1a72e7f7fb7660704,2,school_gap_resolution_batch_75872a4a947713732895,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,manual_rendered_review_or_targeted_source_discovery,negative_route_evidence_recorded_manual_or_source_discovery_needed,gap_resolution_batch_ready,18,18,/tmp/school_gap_resolution_batch_order_2.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 2 --output /tmp/school_gap_resolution_batch_order_2.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/school_gap_resolution_manifest.csv,"Perform rendered/manual review, hidden-route discovery, or broader official search before any closure packet.",person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":18,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_5a60f73ccb70013eb098,3,school_gap_resolution_batch_b6fd195cf126548f4670,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,linked_route_inspection_after_related_scope_source_discovery,open_gap_linked_route_inspection_after_related_scope_source_discovery,linked_route_inspection_after_related_scope_source_discovery_batch_ready,2,2,/tmp/school_gap_resolution_batch_order_3.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 3 --output /tmp/school_gap_resolution_batch_order_3.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/vanderbilt_related_scope_source_discovery_disposition_packet.csv,Run route inspection on the linked roster candidate; keep outputs non-mutating until an exact packet is approved.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":2,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_d856539f54fb1f8e982f,4,school_gap_resolution_batch_715e34b498d3873311fb,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,manual_rendered_review_or_targeted_source_discovery,open_gap_manual_rendered_review_or_targeted_source_discovery_needed,gap_resolution_batch_ready,1,1,/tmp/school_gap_resolution_batch_order_4.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 4 --output /tmp/school_gap_resolution_batch_order_4.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/school_gap_resolution_manifest.csv,Preserve official current-fellows context as non-mutating evidence; continue rendered review or targeted source discovery.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":1,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_78d771f303bc414a39bb,5,school_gap_resolution_batch_329bacd0349de0a4a8bc,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,rendered_parser_manual_review_after_related_scope_source_discovery,open_gap_rendered_parser_review_after_related_scope_source_discovery,rendered_parser_manual_after_related_scope_source_discovery_batch_ready,7,7,/tmp/school_gap_resolution_batch_order_5.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 5 --output /tmp/school_gap_resolution_batch_order_5.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/vanderbilt_related_scope_source_discovery_disposition_packet.csv,Run rendered/parser review on the target candidate URL; packetize only target-scope current trainee rows for later exact GBrain approval.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":7,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_06f277b4275b8d6c313a,6,school_gap_resolution_batch_1bbaab42286f12e8ffd2,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,shared_source_program_scope_review_packet,shared_or_related_program_scope_review_needed,gap_resolution_batch_ready,5,5,/tmp/school_gap_resolution_batch_order_6.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 6 --output /tmp/school_gap_resolution_batch_order_6.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/school_gap_resolution_manifest.csv,Review section-to-program scope manually before any person acceptance; do not reuse shared-source names without exact section mapping.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":5,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_6b95d239e942fe152cae,7,school_gap_resolution_batch_0ca7632e63b1a42db117,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,target_program_source_discovery_after_exclusion,faculty_leadership_exclusion_recorded_source_discovery_needed,gap_resolution_batch_ready,16,16,/tmp/school_gap_resolution_batch_order_7.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 7 --output /tmp/school_gap_resolution_batch_order_7.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/school_gap_resolution_manifest.csv,Keep faculty/leadership pages out of trainee truth and continue target-program source discovery.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":16,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_9408cc07a8753a451869,8,school_gap_resolution_batch_421beff8f12a27747f0d,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,targeted_source_discovery_or_no_public_roster_closure_after_related_scope_source_discovery,open_gap_source_discovery_or_no_public_roster_closure_after_related_scope_source_discovery,source_discovery_or_closure_after_related_scope_source_discovery_batch_ready,2,2,/tmp/school_gap_resolution_batch_order_8.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 8 --output /tmp/school_gap_resolution_batch_order_8.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/vanderbilt_related_scope_source_discovery_disposition_packet.csv,Continue targeted source discovery or build a no-public-current-roster closure packet; do not infer people from context/faculty text.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":2,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_788ea7870b1db0fe43cb,9,school_gap_resolution_batch_5e5fa6effeb38a9bf3c4,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,program_page_probe,first_hop_program_probe_needed,program_page_probe_batch_ready,9,9,/tmp/school_gap_resolution_batch_order_9.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 9 --output /tmp/school_gap_resolution_batch_order_9.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/school_gap_resolution_manifest.csv,Probe the linked official Vanderbilt program URL for current roster routes before person ingestion or closure.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":9,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
school_gap_resolution_batch_slice_index_add3bbe5627e92ed88ab,10,school_gap_resolution_batch_872d8f909094562bd647,VANDERBILT UNIVERSITY SCH OF MEDICINE,Vanderbilt University Medical Center,target_program_source_discovery_after_parser_exclusion,faculty_leadership_parser_exclusion_recorded_source_discovery_needed,gap_resolution_batch_ready,7,7,/tmp/school_gap_resolution_batch_order_10.csv,python3 scripts/slice_school_gap_resolution_batch_packets.py --execution-order 10 --output /tmp/school_gap_resolution_batch_order_10.csv,python3 scripts/materialize_school_gap_resolution_batches.py && python3 scripts/materialize_school_gap_resolution_batch_packets.py && python3 scripts/materialize_school_gap_resolution_batch_slice_index.py,artifacts/data/school_gap_resolution_manifest.csv,Record faculty/leadership parser hits as exclusions and continue target-program source discovery.,person_ingestion; denominator_closure; school_verification; parser_acceptance; scope_closure; url_rewrite; identity_collapse,person_ingestion; parser_output_as_accepted_people; training_state_mutation; denominator_closure; school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; raw_dump_publication; unique_person_identity_collapse,21,113,0,false,false,false,false,false,false,"{""packet_rows_in_slice"":7,""private_artifact_paths_committed"":false,""public_urls_may_be_present_in_packet_slice"":true,""slice_output_policy"":""tmp_only_default""}","Non-mutating school gap-resolution batch slice index. It lists one bounded /tmp slice command per committed Vanderbilt gap-resolution batch. It may reference public official-source URLs already committed in gap packets, but it does not fetch web pages, fill reviewer decisions, approve people, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:14:00.900260+00:00
