review_template_key,school_gap_resolution_batch_packet_key,school_gap_resolution_batch_key,execution_order,batch_packet_order,gap_key,school_name,program_key,program_name,program_type,department_or_group,next_operator_lane,resolution_category,packet_status,support_status,denominator_url,best_evidence_url,best_evidence_title,best_evidence_status,recommended_packet_action,required_next_evidence,target_artifact,allowed_review_actions,proposed_non_mutating_review_action,proposed_source_discovery_query,proposed_candidate_official_url,proposed_evidence_summary,proposed_output_artifact,confirm_no_person_ingestion,confirm_no_denominator_closure,confirm_no_school_verification,confirm_no_url_rewrite,confirm_no_identity_collapse,confirm_candidate_evidence_only,template_row_status,accepted_person_rows,person_ingestion_allowed,denominator_closure_allowed,school_verification_allowed,url_rewrite_allowed,identity_collapse_allowed,private_artifact_paths_committed,evidence_json,mutation_policy,generated_at
school_gap_resolution_review_template_e0e5e182fa05b5b3dd1d,school_gap_resolution_batch_packet_4dd646037795b78ecafb,school_gap_resolution_batch_e81d6de09bb3a988757d,1,1,school_gap_resolution_b78b691c12dd8f4a7e53,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_residency-plastic-surgery-integrated-https-www-vumc-org-plas_79cf74826980,Plastic Surgery-Integrated,residency,VUMC GME Residencies,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_supported_person_structure_but_mutation_blocked,https://www.vumc.org/plasticsurgdept/integrated-residency-program,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,2025-2026 Residents and Fellows | Department of Plastic Surgery,manual_scope_review,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_4dd646037795b78ecafb"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_7417c9f0278099b59867,school_gap_resolution_batch_packet_93abd98eed78f35d0ad0,school_gap_resolution_batch_e81d6de09bb3a988757d,1,2,school_gap_resolution_8b38cca477ffd3c78fb5,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-adult-and-pediatric-craniofacial-https-www-vumc-o_d95dd3b28074,Adult and Pediatric Craniofacial,fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_supported_person_structure_but_mutation_blocked,https://www.vumc.org/plasticsurgdept/pediatric-adult-craniofacial-fellowship,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,2025-2026 Residents and Fellows | Department of Plastic Surgery,manual_scope_review,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_93abd98eed78f35d0ad0"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_da7ad7d7009a59b3596c,school_gap_resolution_batch_packet_2862fcaa779dabf4d987,school_gap_resolution_batch_e81d6de09bb3a988757d,1,3,school_gap_resolution_0b44b65fe4b5db3557a9,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-hand-surgery-plastic-surgery-https-www-vumc-org-p_737250a0e0f9,Hand Surgery (Plastic Surgery),fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_supported_person_structure_but_mutation_blocked,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,https://www.vumc.org/plasticsurgdept/person/facial-aesthetic-surgery-team,Facial Aesthetic Surgery Team | Department of Plastic Surgery,manual_scope_review,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_2862fcaa779dabf4d987"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_3835b6018179a2a95e73,school_gap_resolution_batch_packet_994f85e7f13fc314daef,school_gap_resolution_batch_e81d6de09bb3a988757d,1,4,school_gap_resolution_bf2245ea811ffe549128,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-plastic-surgery-https-www-vumc-org-plasticsurgdep_563db0d8d563,Plastic Surgery,fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_supported_person_structure_but_mutation_blocked,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,2025-2026 Residents and Fellows | Department of Plastic Surgery,manual_scope_review,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_994f85e7f13fc314daef"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_ae44f56f05bd04f98662,school_gap_resolution_batch_packet_95f39b9caacf22ea1d84,school_gap_resolution_batch_e81d6de09bb3a988757d,1,5,school_gap_resolution_017265de49ee7b8a272c,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-emergency-medical-services-https-www-vanderbiltem_71c2d78aefa0,Emergency Medical Services,fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_candidate_source_needs_probe_or_review,https://www.vanderbiltem.com/ems1,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,Where do our trainees work after graduation? | Department of Emergency Medicine,secondary_source_search_needed,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_95f39b9caacf22ea1d84"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_d633c038c5af7809400c,school_gap_resolution_batch_packet_c2df79db379f0c5e7159,school_gap_resolution_batch_e81d6de09bb3a988757d,1,6,school_gap_resolution_24184b46be0b07f10daf,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-emergency-medicine-simulation-https-www-vanderbil_b0fff3506a71,Emergency Medicine Simulation,fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_candidate_source_needs_probe_or_review,https://www.vanderbiltem.com/simulation,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,Where do our trainees work after graduation? | Department of Emergency Medicine,secondary_source_search_needed,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_c2df79db379f0c5e7159"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_65444699a43ec2138b8b,school_gap_resolution_batch_packet_aa6cdfe53c50a65d515c,school_gap_resolution_batch_e81d6de09bb3a988757d,1,7,school_gap_resolution_59cc68e5c6e74b8e573a,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-emergency-medicine-ultrasound-https-www-vanderbil_63f60e0a2eab,Emergency Medicine Ultrasound,fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_candidate_source_needs_probe_or_review,https://www.vanderbiltem.com/us-f,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,Where do our trainees work after graduation? | Department of Emergency Medicine,secondary_source_search_needed,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_aa6cdfe53c50a65d515c"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_8721f1b4335b7bebc354,school_gap_resolution_batch_packet_028f26e069e2f03f3ccb,school_gap_resolution_batch_e81d6de09bb3a988757d,1,8,school_gap_resolution_ae3ff0962cb458f51943,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-genitourinary-reconstruction-and-trauma-https-www_0929d89d36a2,Genitourinary Reconstruction and Trauma,fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_supported_person_structure_but_mutation_blocked,https://www.vumc.org/urology/education-genitourinary-reconstruction-and-trauma-fellowship,https://www.vumc.org/urology/person/education-residency-our-residents,Education: Residency: Our Residents | Department of Urology,manual_scope_review,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_028f26e069e2f03f3ccb"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_20ddf691ce681d8b2b2f,school_gap_resolution_batch_packet_5aa96a8e7deeb5b886a5,school_gap_resolution_batch_e81d6de09bb3a988757d,1,9,school_gap_resolution_6b579c08efe2b486c880,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_fellowship-global-emergency-medicine-https-www-vanderbiltem-_f9046fdc61e8,Global Emergency Medicine,fellowship,VUMC GME Fellowships,target_program_source_discovery_after_mixed_negative_evidence,mixed_negative_route_evidence_recorded_source_discovery_needed,source_discovery_gap_packet,has_candidate_source_needs_probe_or_review,https://www.vanderbiltem.com/global-em,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,Where do our trainees work after graduation? | Department of Emergency Medicine,secondary_source_search_needed,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,Retain related-scope/faculty/context evidence as exclusions and continue target-program source discovery.,artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,,,,,,,,,,,,blank_pending_non_mutating_review_input,0,false,false,false,false,false,false,"{""blank_template_row"":true,""private_artifact_paths_committed"":false,""public_urls_may_be_present"":true,""source_packet_key"":""school_gap_resolution_batch_packet_5aa96a8e7deeb5b886a5"",""source_slice_index_rowset_sha256"":""2442accacb8ff67df1d2df3915c737af70e0186f11b9750c0d52c6b819c2cb75""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
school_gap_resolution_review_template_2417a236bdaf4aa6ee65,school_gap_resolution_batch_packet_cefb93ea06b6a75e6435,school_gap_resolution_batch_75872a4a947713732895,2,1,school_gap_resolution_db2a979fb7295562bc15,VANDERBILT UNIVERSITY SCH OF MEDICINE,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,residency,VUMC GME Residencies,manual_rendered_review_or_targeted_source_discovery,negative_route_evidence_recorded_manual_or_source_discovery_needed,source_discovery_gap_packet,has_supported_person_structure_but_mutation_blocked,https://www.vumc.org/ortho/residency-program,https://www.vumc.org/ortho/node/193,Current Residents | Department of Orthopaedic Surgery,secondary_source_search_needed,"Perform rendered/manual review, hidden-route discovery, or broader official search before any closure packet.","Perform rendered/manual review, hidden-route discovery, or broader official search before any closure packet.",artifacts/data/school_gap_resolution_manifest.csv,candidate_official_source_for_later_probe; source_discovery_query_only; route_inspection_needed; rendered_or_manual_review_needed; scope_disposition_packet_needed; no_public_roster_closure_packet_needed; defer_needs_more_context,route_inspection_needed,Review official Vanderbilt candidate source for Orthopaedic Surgery current roster scope.,https://www.vumc.org/ortho/node/193,Official-domain candidate with current-roster signals; confidence=high; roster_signals=8; person_signals=24; candidate evidence only.,/tmp/vanderbilt_gap_review_orthopaedic_surgery.csv,true,true,true,true,true,true,targeted_candidate_evidence_ready_for_non_mutating_review,0,false,false,false,false,false,false,"{""candidate_confidence"":""high"",""candidate_evidence_only"":true,""candidate_status"":""official_candidate_current_roster_signal_needs_parser_review"",""candidate_url"":""https://www.vumc.org/ortho/node/193"",""content_sha256"":""8e9feb84b562e5e1092f3e4efcded50d633c6fa4f250847d6bd43925b06de55e"",""effective_url"":""https://www.vumc.org/ortho/node/193"",""fetch_status"":""fetched"",""http_status"":""200"",""person_signal_count"":""24"",""roster_signal_count"":""8"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_a182ee07501d324bbe91"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71""}","Non-mutating school gap-resolution review template. It gives public contributors blank fields for source-discovery planning and packet-prep notes over committed Vanderbilt gap packets. It does not fetch pages, accept candidate URLs as official truth, ingest people, close denominators, verify schools, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:40:20.307140+00:00
