target_rank,school_name,school_key,target_basis,brimr_2024_total_funding,award_rows,city,state_or_country,institution_type,gbrain_readiness_status,school_expansion_status,target_source_url,source_workbook,generated_at
1,UNIV OF CALIFORNIA SAN FRAN SCH OF MED,brimr_2024_school_001,BRIMR 2024 NIH funding - Schools of Medicine,726020299.0,1280,SAN FRANCISCO,CALIFORNIA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
2,WASHINGTON UNIVERSITY SCH OF MEDICINE,brimr_2024_school_002,BRIMR 2024 NIH funding - Schools of Medicine,683318054.0,1076,SAINT LOUIS,MISSOURI,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
3,YALE UNIVERSITY SCH OF MEDICINE,brimr_2024_school_003,BRIMR 2024 NIH funding - Schools of Medicine,597930763.0,1093,NEW HAVEN,CONNECTICUT,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
4,UNIV OF PENNSYLVANIA SCH OF MEDICINE,brimr_2024_school_004,BRIMR 2024 NIH funding - Schools of Medicine,587526359.0,1030,PHILADELPHIA,PENNSYLVANIA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
5,VANDERBILT UNIVERSITY SCH OF MEDICINE,brimr_2024_school_005,BRIMR 2024 NIH funding - Schools of Medicine,586273695.0,858,NASHVILLE,TENNESSEE,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
6,JOHNS HOPKINS UNIVERSITY SCH OF MEDICINE,brimr_2024_school_006,BRIMR 2024 NIH funding - Schools of Medicine,571755774.0,1037,BALTIMORE,MARYLAND,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
7,STANFORD UNIVERSITY SCH OF MEDICINE,brimr_2024_school_007,BRIMR 2024 NIH funding - Schools of Medicine,548681085.0,1020,STANFORD,CALIFORNIA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
8,UNIV OF PITTSBURGH SCH OF MEDICINE,brimr_2024_school_008,BRIMR 2024 NIH funding - Schools of Medicine,535038697.0,978,PITTSBURGH,PENNSYLVANIA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
9,COLUMBIA U COL OF PHYSICIANS & SURGEONS,brimr_2024_school_009,BRIMR 2024 NIH funding - Schools of Medicine,527236660.0,872,NEW YORK,NEW YORK,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
10,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,brimr_2024_school_010,BRIMR 2024 NIH funding - Schools of Medicine,510493010.0,1005,ANN ARBOR,MICHIGAN,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
