rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,projected_refresh_date,stage_state_count,canonical_person_program_count,person_count,program_count,deterministic_advancement_count,deterministic_completion_count,source_refresh_required_count,manual_review_required_count,carry_forward_count,duplicate_contract_count,stale_by_refresh_count,fresh_observation_required_count,auto_classifiable_transition_count,dominant_stage_state_status,dominant_staleness_bucket,dominant_policy_lane,dominant_diff_readiness_status,recommended_operator_action,stale_information_policy,evidence_json
training_stage_state_rollup_c74b319ce78dcb063eff,corpus,all_penn_affiliated_medical_trainees,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1682,1610,1535,95,659,252,627,131,13,144,1669,1669,911,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 131, ""diff_source_refresh_bound"": 627}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252, ""manual_review_required"": 131, ""source_refresh_required"": 627}, ""stage_state_status_counts"": {""carry_forward_until_fresh_source_contradiction"": 13, ""expected_to_advance_if_fresh_next_stage_observed"": 659, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 252, ""manual_review_required_before_any_stage_mutation"": 131, ""must_refresh_source_before_retention_or_change"": 627}, ""staleness_bucket_counts"": {""fresh_contradiction_only"": 13, ""review_bound_not_time_classifiable"": 131, ""stale_by_projected_refresh"": 1538}}"
training_stage_state_rollup_560299be899c8eb26ecd,country,US,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1682,1610,1535,95,659,252,627,131,13,144,1669,1669,911,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 131, ""diff_source_refresh_bound"": 627}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252, ""manual_review_required"": 131, ""source_refresh_required"": 627}, ""stage_state_status_counts"": {""carry_forward_until_fresh_source_contradiction"": 13, ""expected_to_advance_if_fresh_next_stage_observed"": 659, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 252, ""manual_review_required_before_any_stage_mutation"": 131, ""must_refresh_source_before_retention_or_change"": 627}, ""staleness_bucket_counts"": {""fresh_contradiction_only"": 13, ""review_bound_not_time_classifiable"": 131, ""stale_by_projected_refresh"": 1538}}"
training_stage_state_rollup_faec629ce6b369e48492,diff_readiness_status,diff_expected_change_classifiable,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,911,847,775,32,659,252,0,0,0,133,911,911,911,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,reconcile_expected_advancements_and_completion_absences,classify_completion_absence_only_after_fresh_refresh,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 659, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 252}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 911}}"
training_stage_state_rollup_d087c950694d5a27219a,diff_readiness_status,diff_no_change_expected,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,none,2027-08-15,13,13,13,1,0,0,0,0,13,0,0,0,0,carry_forward_until_fresh_source_contradiction,fresh_contradiction_only,carry_forward_no_change,diff_no_change_expected,carry_forward_until_fresh_source_contradiction,retain_until_fresh_public_source_contradiction,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_no_change_expected"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13}, ""stage_state_status_counts"": {""carry_forward_until_fresh_source_contradiction"": 13}, ""staleness_bucket_counts"": {""fresh_contradiction_only"": 13}}"
training_stage_state_rollup_fce70d5ded7b221733d3,diff_readiness_status,diff_review_bound,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_DURATION_UNKNOWN,2027-08-15,131,128,126,11,0,0,0,131,0,11,131,131,0,manual_review_required_before_any_stage_mutation,review_bound_not_time_classifiable,manual_review_required,diff_review_bound,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_review_bound"": 131}, ""policy_lane_counts"": {""manual_review_required"": 131}, ""stage_state_status_counts"": {""manual_review_required_before_any_stage_mutation"": 131}, ""staleness_bucket_counts"": {""review_bound_not_time_classifiable"": 131}}"
training_stage_state_rollup_31c23712917c872c8fe0,diff_readiness_status,diff_source_refresh_bound,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,,US_MD_PHD_MSTP_VARIABLE,2027-08-15,627,627,627,74,0,0,627,0,0,0,627,627,0,must_refresh_source_before_retention_or_change,stale_by_projected_refresh,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_retaining_or_diffing_this_scope,do_not_carry_forward_stale_stage_states_without_fresh_source,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 627}, ""policy_lane_counts"": {""source_refresh_required"": 627}, ""stage_state_status_counts"": {""must_refresh_source_before_retention_or_change"": 627}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 627}}"
training_stage_state_rollup_6c8a4d51704a14b7aa19,institution,University of Pennsylvania Health System / Perelman School of Medicine,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1682,1610,1535,95,659,252,627,131,13,144,1669,1669,911,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 131, ""diff_source_refresh_bound"": 627}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 659, ""deterministic_expected_completion"": 252, ""manual_review_required"": 131, ""source_refresh_required"": 627}, ""stage_state_status_counts"": {""carry_forward_until_fresh_source_contradiction"": 13, ""expected_to_advance_if_fresh_next_stage_observed"": 659, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 252, ""manual_review_required_before_any_stage_mutation"": 131, ""must_refresh_source_before_retention_or_change"": 627}, ""staleness_bucket_counts"": {""fresh_contradiction_only"": 13, ""review_bound_not_time_classifiable"": 131, ""stale_by_projected_refresh"": 1538}}"
training_stage_state_rollup_d312670ba0723cb55996,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::fellow,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_3Y,2027-08-15,391,387,385,66,100,61,192,25,13,8,378,378,161,must_refresh_source_before_retention_or_change,stale_by_projected_refresh,source_refresh_required,diff_source_refresh_bound,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 161, ""diff_no_change_expected"": 13, ""diff_review_bound"": 25, ""diff_source_refresh_bound"": 192}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 100, ""deterministic_expected_completion"": 61, ""manual_review_required"": 25, ""source_refresh_required"": 192}, ""stage_state_status_counts"": {""carry_forward_until_fresh_source_contradiction"": 13, ""expected_to_advance_if_fresh_next_stage_observed"": 100, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 61, ""manual_review_required_before_any_stage_mutation"": 25, ""must_refresh_source_before_retention_or_change"": 192}, ""staleness_bucket_counts"": {""fresh_contradiction_only"": 13, ""review_bound_not_time_classifiable"": 25, ""stale_by_projected_refresh"": 353}}"
training_stage_state_rollup_aeafbbed1a774fc65fa1,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::medical_student,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,,US_MD_PHD_MSTP_VARIABLE,2027-08-15,225,225,225,1,0,0,225,0,0,0,225,225,0,must_refresh_source_before_retention_or_change,stale_by_projected_refresh,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_retaining_or_diffing_this_scope,do_not_carry_forward_stale_stage_states_without_fresh_source,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 225}, ""policy_lane_counts"": {""source_refresh_required"": 225}, ""stage_state_status_counts"": {""must_refresh_source_before_retention_or_change"": 225}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 225}}"
training_stage_state_rollup_14891ad3ed8216a30385,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::resident,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1066,998,925,29,559,191,210,106,0,136,1066,1066,750,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 750, ""diff_review_bound"": 106, ""diff_source_refresh_bound"": 210}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 559, ""deterministic_expected_completion"": 191, ""manual_review_required"": 106, ""source_refresh_required"": 210}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 559, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 191, ""manual_review_required_before_any_stage_mutation"": 106, ""must_refresh_source_before_retention_or_change"": 210}, ""staleness_bucket_counts"": {""review_bound_not_time_classifiable"": 106, ""stale_by_projected_refresh"": 960}}"
