program_name,role,lifecycle_code,temporal_policy_lane,change_type,count
ABR Alternate Pathway to Certification,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Abdominal Imaging Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,9
Adult Congenital Heart Disease Fellowship,fellow,US_GME_FELLOWSHIP_2Y,source_refresh_required,unchanged,2
Adult Reconstructive Orthopedics Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,3
Advanced Gastroenterology and Hepatology Fellowship,fellow,US_GME_FELLOWSHIP_3Y,source_refresh_required,unchanged,2
Advanced Heart Failure Transplant Cardiology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Advanced Musculoskeletal Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,3
Advanced Noninvasive Cardiac Imaging Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Advanced Nuclear Radiology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Allergy and Immunology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,unchanged,2
Allergy and Immunology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_completion,unchanged,2
Anesthesiology Residency,resident,US_GME_ANESTHESIA_CA_PHASE_3Y,deterministic_expected_advancement,unchanged,52
Anesthesiology Residency,resident,US_GME_ANESTHESIA_CA_PHASE_3Y,deterministic_expected_completion,unchanged,23
Anesthesiology Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_advancement,unchanged,19
Anesthesiology Residency,resident,US_GME_RESIDENCY_4Y,source_refresh_required,unchanged,3
Aortic Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Breast Pathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,1
CHOP Otolaryngology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,4
Cardio-Oncology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Cardiothoracic Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,1
Cardiothoracic Surgery Residency,resident,US_GME_RESIDENCY_6Y,deterministic_expected_advancement,unchanged,8
Cardiothoracic Surgery Residency,resident,US_GME_RESIDENCY_6Y,deterministic_expected_completion,unchanged,2
Cardiothoracic Surgery Residency,resident,US_GME_RESIDENCY_6Y,source_refresh_required,unchanged,5
Cardiothoracic Transplantation Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Cardiovascular Disease Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_advancement,unchanged,22
Cardiovascular Disease Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_completion,unchanged,10
Cardiovascular Disease Fellowship,fellow,US_GME_FELLOWSHIP_3Y,manual_review_required,unchanged,1
Clinical Cardiac Electrophysiology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,source_refresh_required,unchanged,12
Clinical Chemistry Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,2
Clinical Microbiology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,2
Colon and Rectal Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Combined Internal Medicine-Dermatology Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_advancement,unchanged,4
Combined Internal Medicine-Dermatology Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_completion,unchanged,1
Craniofacial Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Cytopathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,2
Diagnostic Radiology Residency,resident,US_GME_RESIDENCY_5Y,source_refresh_required,unchanged,54
"Endocrinology, Diabetes and Metabolism Fellowship",fellow,,carry_forward_no_change,unchanged,13
"Endocrinology, Diabetes and Metabolism Fellowship",fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,unchanged,4
"Endocrinology, Diabetes and Metabolism Fellowship",fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_completion,unchanged,4
Facial Plastic and Reconstructive Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Family Medicine Residency,resident,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,unchanged,23
Family Medicine Residency,resident,US_GME_RESIDENCY_3Y,deterministic_expected_completion,unchanged,12
Foot and Ankle Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
GI/Hepatic Pathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,2
Gastroenterology and Hepatology Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_advancement,unchanged,16
Gastroenterology and Hepatology Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_completion,unchanged,7
General Surgery Residency,resident,US_GME_PRELIMINARY_1Y,deterministic_expected_completion,unchanged,13
General Surgery Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_advancement,unchanged,36
General Surgery Residency,resident,US_GME_RESIDENCY_5Y,source_refresh_required,unchanged,26
Geriatric Medicine Fellowship,fellow,US_GME_FELLOWSHIP_1Y,manual_review_required,unchanged,1
Geriatric Medicine Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Gynecologic Oncology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,6
Hand Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
"Head and Neck Surgical Oncology, Microvascular Reconstruction, and Robotic Surgery Fellowship",fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Hematology/Oncology Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_advancement,unchanged,18
Hematology/Oncology Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_completion,unchanged,9
Hematology/Oncology Fellowship,fellow,US_GME_FELLOWSHIP_3Y,source_refresh_required,unchanged,5
Hematopathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,4
