rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,projected_refresh_date,contract_count,person_count,program_count,expected_advancement_contract_count,expected_completion_contract_count,source_refresh_contract_count,manual_review_contract_count,carry_forward_contract_count,stale_by_refresh_count,fresh_observation_required_count,auto_classifiable_transition_count,dominant_next_refresh_contract,dominant_diff_readiness_status,guardrail_status,stale_information_policy,recommended_operator_action,evidence_json
training_temporal_contract_rollup_c74b319ce78dcb063eff,corpus,all_penn_affiliated_medical_trainees,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1630,1483,94,659,252,627,79,13,1617,1617,911,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 79, ""diff_source_refresh_bound"": 627}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 659, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 252, ""do_not_mutate_without_review"": 79, ""retain_only_if_fresh_source_reobserves"": 627, ""retain_until_fresh_source_contradiction"": 13}}"
training_temporal_contract_rollup_560299be899c8eb26ecd,country,US,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1630,1483,94,659,252,627,79,13,1617,1617,911,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 79, ""diff_source_refresh_bound"": 627}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 659, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 252, ""do_not_mutate_without_review"": 79, ""retain_only_if_fresh_source_reobserves"": 627, ""retain_until_fresh_source_contradiction"": 13}}"
training_temporal_contract_rollup_faec629ce6b369e48492,diff_readiness_status,diff_expected_change_classifiable,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,911,775,32,659,252,0,0,0,911,911,911,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,deterministic_with_fresh_evidence,completion_absence_is_classifiable_after_stale_after_with_fresh_refresh,reconcile_expected_advancements_and_completion_absences,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 659, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 252}}"
training_temporal_contract_rollup_d087c950694d5a27219a,diff_readiness_status,diff_no_change_expected,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,none,2027-08-15,13,13,1,0,0,0,0,13,0,0,0,retain_until_fresh_source_contradiction,diff_no_change_expected,carry_forward_until_contradicted,retain_until_fresh_public_source_contradiction,monitor_for_fresh_source_contradictions,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_no_change_expected"": 13}, ""next_refresh_contract_counts"": {""retain_until_fresh_source_contradiction"": 13}}"
training_temporal_contract_rollup_fce70d5ded7b221733d3,diff_readiness_status,diff_review_bound,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_DURATION_UNKNOWN,2027-08-15,79,74,10,0,0,0,79,0,79,79,0,do_not_mutate_without_review,diff_review_bound,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_review_bound"": 79}, ""next_refresh_contract_counts"": {""do_not_mutate_without_review"": 79}}"
training_temporal_contract_rollup_31c23712917c872c8fe0,diff_readiness_status,diff_source_refresh_bound,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,,US_MD_PHD_MSTP_VARIABLE,2027-08-15,627,627,74,0,0,627,0,0,627,627,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 627}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 627}}"
training_temporal_contract_rollup_6c8a4d51704a14b7aa19,institution,University of Pennsylvania Health System / Perelman School of Medicine,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1630,1483,94,659,252,627,79,13,1617,1617,911,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 911, ""diff_no_change_expected"": 13, ""diff_review_bound"": 79, ""diff_source_refresh_bound"": 627}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 659, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 252, ""do_not_mutate_without_review"": 79, ""retain_only_if_fresh_source_reobserves"": 627, ""retain_until_fresh_source_contradiction"": 13}}"
training_temporal_contract_rollup_d312670ba0723cb55996,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::fellow,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_3Y,2027-08-15,391,385,66,100,61,192,25,13,378,378,161,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 161, ""diff_no_change_expected"": 13, ""diff_review_bound"": 25, ""diff_source_refresh_bound"": 192}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 100, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 61, ""do_not_mutate_without_review"": 25, ""retain_only_if_fresh_source_reobserves"": 192, ""retain_until_fresh_source_contradiction"": 13}}"
training_temporal_contract_rollup_aeafbbed1a774fc65fa1,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::medical_student,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,,US_MD_PHD_MSTP_VARIABLE,2027-08-15,225,225,1,0,0,225,0,0,225,225,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 225}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 225}}"
training_temporal_contract_rollup_14891ad3ed8216a30385,institution_role,University of Pennsylvania Health System / Perelman School of Medicine::resident,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,1014,873,28,559,191,210,54,0,1014,1014,750,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 750, ""diff_review_bound"": 54, ""diff_source_refresh_bound"": 210}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 559, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 191, ""do_not_mutate_without_review"": 54, ""retain_only_if_fresh_source_reobserves"": 210}}"
training_temporal_contract_rollup_d3d14d76fe48a9ec7b93,lifecycle_code,US_GME_ANESTHESIA_CA_PHASE_3Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_ANESTHESIA_CA_PHASE_3Y,2027-08-15,75,75,1,52,23,0,0,0,75,75,75,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,deterministic_with_fresh_evidence,completion_absence_is_classifiable_after_stale_after_with_fresh_refresh,reconcile_expected_advancements_and_completion_absences,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 75}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 52, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 23}}"
