parser_output_key,source_approval_packet_key,program_key,program_name,fetch_url,output_kind,parser_family,parser_status,candidate_index,candidate_fingerprint_sha256,candidate_label_sha256,candidate_label_token_count,candidate_label_char_count,candidate_source_kind,candidate_href_sha256,candidate_href_domain,candidate_href_path_bucket,content_sha256,visible_text_sha256,scope_metadata_status,recourse_status,accepted_person_row,person_ingestion_allowed,denominator_closure_allowed,evidence_json,mutation_policy,generated_at
vanderbilt_candidate_only_parser_output_b4a0116d2d244ba64cd7,vanderbilt_parser_scope_implementation_approval_b86253e9d5b0157a5f53,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/node/1106,candidate_fingerprint,vumc_pediatrics_node_listing_page,candidate_only_parser_emitted_fingerprint,1,bfd3b336853a266f8b8461b492c4307fecf329ac85517226efedc07d90dd9fba,917710b888ddfee26068b25a863677838237047a54af88441d786afc3b1e6247,5,43,heading_signal,,,,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_57b600c02a2c2941fee2,vanderbilt_parser_scope_implementation_approval_b86253e9d5b0157a5f53,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/node/1106,candidate_fingerprint,vumc_pediatrics_node_listing_page,candidate_only_parser_emitted_fingerprint,2,9413f8f9667b01753069523b004ec63afd5745b0838d7f4507ae4ca3b11d7b52,c2adc5692d3d18bd0dc41f257a2eef7a902199269827e2bf70a46b5abe102752,4,38,heading_signal,,,,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_9253986e462148cf0ff2,vanderbilt_parser_scope_implementation_approval_b86253e9d5b0157a5f53,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/node/1106,candidate_fingerprint,vumc_pediatrics_node_listing_page,candidate_only_parser_emitted_fingerprint,3,b2c4c9d2511d60ea194a565b0f92b8fa559af461ce1d89cb0933559a009aa6c8,e9b0cfa6bf2608f8348637b3d960141e9d1c4691c63f04de4b005e25ed6b2341,2,13,heading_signal,,,,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_5ebfd927ef176f46cd66,vanderbilt_parser_scope_implementation_approval_b86253e9d5b0157a5f53,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/node/1106,candidate_fingerprint,vumc_pediatrics_node_listing_page,candidate_only_parser_emitted_fingerprint,4,cffc8a0949dafa93401ad77b8864864cd4d6ef01a8e34229d445723d7dacdfa2,ebae63f98417377bb09c917e8c2eff34de17d5d507c2d19a4f42d5f84766fb8b,2,17,profile_anchor,0b952e6be84848cd73d0086c1094982ad52e8ca0e1442947d550c0640548d490,pediatrics.vumc.org,person_path,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_b3e00d104b64c0458551,vanderbilt_parser_scope_implementation_approval_b61a431ed016f9001b35,vanderbilt_program_fellowship-advanced-endoscopy-https-medicine-vumc-org-advanc_20ef397616c3,Advanced Endoscopy,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,scope_metadata,vumc_medicine_division_fellows_shared_page,scope_metadata_recorded_no_parser_output,0,,,0,0,none,,,,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,accepted_non_mutating_scope_routing_metadata,,false,false,false,"{""approval_scope_requested"":""Allow non-mutating acceptance of linked-route scope dispositions as routing metadata only."",""raw_names_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_5fc2dcd1136a1f785c85,vanderbilt_parser_scope_implementation_approval_749b64d60bb21bba8bd3,vanderbilt_program_fellowship-advanced-inflammatory-bowel-disease-https-medicin_4a3960c8c48c,Advanced Inflammatory Bowel Disease,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,scope_metadata,vumc_medicine_division_fellows_shared_page,scope_metadata_recorded_no_parser_output,0,,,0,0,none,,,,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,accepted_non_mutating_scope_routing_metadata,,false,false,false,"{""approval_scope_requested"":""Allow non-mutating acceptance of linked-route scope dispositions as routing metadata only."",""raw_names_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_04fdc0c276b9eebe9e5a,vanderbilt_parser_scope_implementation_approval_1330ba3c270c297d9f18,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,candidate_fingerprint,vumc_pediatrics_person_listing_page,candidate_only_parser_emitted_fingerprint,1,aefc12bcf889977f47e9ef721c8eddd30523ea47e16db4a816c6a735e494eabb,79cbce21ed62e7960c8e54b2949edafda0dfee58008a7bfffdd0b5da43a67c0e,4,54,heading_signal,,,,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_22b21040ba3fb37af5be,vanderbilt_parser_scope_implementation_approval_1330ba3c270c297d9f18,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,candidate_fingerprint,vumc_pediatrics_person_listing_page,candidate_only_parser_emitted_fingerprint,2,edd3519f44c5f34c44a9666232ee5c39884a386a894532e8afd1eb7e38846bb7,c1d53edbc7c6ab462cc57e28d17c6b822abed305851096de789d27d01aa7d344,3,17,profile_anchor,d70cd6a73f3592e20425b4ba37008f16d998b9c7291bcfd10f1f2974d5a54a08,pediatrics.vumc.org,person_path,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_3cac5d2793417125d4bb,vanderbilt_parser_scope_implementation_approval_1330ba3c270c297d9f18,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,candidate_fingerprint,vumc_pediatrics_person_listing_page,candidate_only_parser_emitted_fingerprint,3,a586af110aea183dfb007ee3ff081776575523fbf51e05be823d4e2d9d3de572,ebae63f98417377bb09c917e8c2eff34de17d5d507c2d19a4f42d5f84766fb8b,2,17,profile_anchor,0b952e6be84848cd73d0086c1094982ad52e8ca0e1442947d550c0640548d490,pediatrics.vumc.org,person_path,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
vanderbilt_candidate_only_parser_output_1020a5a6cb05c5c193c6,vanderbilt_parser_scope_implementation_approval_1330ba3c270c297d9f18,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,candidate_fingerprint,vumc_pediatrics_person_listing_page,candidate_only_parser_emitted_fingerprint,4,c0731fa30fa011c9b10db952b16fee10185ef8e010cdd2f924d8a367a9775e12,ac411e5eb5e6f35647992abbe2f1f03529fcea133f63c12128440dd56828bfee,3,20,profile_anchor,3a2d01fc4ab5bca86f9413d4a2faa162657c49a1c5191e062cc9da77e20b676a,pediatrics.vumc.org,person_path,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,,,false,false,false,"{""fetch_status"":""fetched"",""http_status"":200,""raw_candidate_href_committed"":false,""raw_candidate_label_committed"":false,""source_approval_rowset_sha256"":""0ce935b64a7eb2153b4fb4b5a8cca47034bab839aa932c8951c29d3bda363b40""}","Approved Vanderbilt candidate-only parser diagnostics. This artifact may contain candidate fingerprints, counts, href hashes, route hashes, scope metadata, and recourse rows only. It contains no raw candidate names, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:13:25.136724+00:00
