review_queue_key,source_approval_packet_key,review_queue_lane,queue_status,review_priority,program_key,program_name,candidate_fingerprint_sha256,candidate_source_kind,content_sha256,visible_text_sha256,review_prompt,allowed_reviewer_actions,prohibited_reviewer_actions,accepted_person_row,person_ingestion_allowed,denominator_closure_allowed,evidence_json,mutation_policy,generated_at
vanderbilt_candidate_review_queue_6a529298e81243d451f5,vanderbilt_candidate_review_queue_approval_32ee5094b57453cd82a5,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,b2c4c9d2511d60ea194a565b0f92b8fa559af461ce1d89cb0933559a009aa6c8,heading_signal,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_32ee5094b57453cd82a5"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_b68ae64ea968e43e5d29,vanderbilt_candidate_review_queue_approval_4475d54b6401e3e4d987,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,cffc8a0949dafa93401ad77b8864864cd4d6ef01a8e34229d445723d7dacdfa2,profile_anchor,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_4475d54b6401e3e4d987"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_dc77df6842d8f57b5ba4,vanderbilt_candidate_review_queue_approval_e553e345201e4e4df351,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,bfd3b336853a266f8b8461b492c4307fecf329ac85517226efedc07d90dd9fba,heading_signal,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_e553e345201e4e4df351"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_ff550714c05e72e379cd,vanderbilt_candidate_review_queue_approval_85e5b97079fe2a2c08bc,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,9413f8f9667b01753069523b004ec63afd5745b0838d7f4507ae4ca3b11d7b52,heading_signal,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_85e5b97079fe2a2c08bc"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_54ab98d9742910acfde7,vanderbilt_candidate_review_queue_approval_30f4762d01838a14f886,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,edd3519f44c5f34c44a9666232ee5c39884a386a894532e8afd1eb7e38846bb7,profile_anchor,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_30f4762d01838a14f886"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_593280c3e1b047082bfd,vanderbilt_candidate_review_queue_approval_b14e266ca0b437442afe,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,a586af110aea183dfb007ee3ff081776575523fbf51e05be823d4e2d9d3de572,profile_anchor,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_b14e266ca0b437442afe"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_9e1fd28fa6b84a0a3452,vanderbilt_candidate_review_queue_approval_0cbe9ea9d1d1ba8684da,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,aefc12bcf889977f47e9ef721c8eddd30523ea47e16db4a816c6a735e494eabb,heading_signal,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_0cbe9ea9d1d1ba8684da"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_d50ee432bf2134332cbf,vanderbilt_candidate_review_queue_approval_cf1f771a1171b81d9431,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,c0731fa30fa011c9b10db952b16fee10185ef8e010cdd2f924d8a367a9775e12,profile_anchor,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_cf1f771a1171b81d9431"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_3efed8aa0a8a659c98d8,vanderbilt_candidate_review_queue_approval_1758298e917e9dac65a3,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,2748313ba886275c8033dc34605ddec4319b0d6e9c79169b3524aa72603cb791,heading_signal,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_1758298e917e9dac65a3"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
vanderbilt_candidate_review_queue_4f88969e552a2a1e69f3,vanderbilt_candidate_review_queue_approval_02730111ade16449cb54,candidate_fingerprint_review,ready_for_human_candidate_identity_review_no_ingestion,90,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,cb0b1a3ab6f7e0c21f5e104f28782c8a147cd0cd7b59ee6429cde2a562388f74,heading_signal,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,Review hashed candidate fingerprint context against official source evidence; request exact person-ingestion approval separately if warranted.,mark_for_later_exact_person_review; mark_duplicate_hash_for_reconciliation; reject_candidate_hash_as_parser_noise,accept_person; ingest_person; close_denominator; rewrite_url; accept_enrichment; publish_raw_name; publish_raw_person_url; collapse_identity,false,false,false,"{""next_artifact_if_approved"":""vanderbilt_candidate_fingerprint_review_queue"",""raw_candidate_labels_committed"":false,""raw_person_urls_committed"":false,""source_approval_packet_key"":""vanderbilt_candidate_review_queue_approval_02730111ade16449cb54"",""source_review_queue_approval_rowset_sha256"":""a62defd685b64560a138cfaeb82956254f49341ce982bb549fe1846b25dd5bd5""}","Approved non-mutating Vanderbilt candidate review queues. Queue rows contain candidate/program/source hashes, source kind, route hashes, scope status, and recourse status only. They contain no raw candidate labels, raw person URLs, accepted person rows, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:26:28.566876+00:00
