audit_key,manual_decision_row_key,decision_scaffold_key,review_batch_key,review_queue_lane,program_key,program_name,audit_status,decision_state,reviewer_action,allowed_action_match,decision_fingerprint_match,required_confirmations_present,accepted_person_row,person_ingestion_allowed,denominator_closure_allowed,audit_blocker,evidence_json,mutation_policy,generated_at
vanderbilt_candidate_reviewer_decision_audit_12f468ae4ed23c405423,vanderbilt_candidate_manual_decision_4064b8c50348aa1e8f9a,vanderbilt_candidate_review_decision_9ccf11ed9a91097d5203,vanderbilt_candidate_review_batch_b9cb4995fb8af6415e7a,candidate_fingerprint_review,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_8ec13b9fa36c8e4ce1ff,vanderbilt_candidate_manual_decision_64720c5a5f44fe7cc522,vanderbilt_candidate_review_decision_c424218711ce671508e9,vanderbilt_candidate_review_batch_b9cb4995fb8af6415e7a,candidate_fingerprint_review,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_1a9d669e2d43ab873786,vanderbilt_candidate_manual_decision_bdc4f62970c7eb142413,vanderbilt_candidate_review_decision_8f8ee877e667b690701e,vanderbilt_candidate_review_batch_b9cb4995fb8af6415e7a,candidate_fingerprint_review,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_f8cda70ca19eeb61301e,vanderbilt_candidate_manual_decision_cd36852868ed255dffa3,vanderbilt_candidate_review_decision_a3bf440c1358a12d7dff,vanderbilt_candidate_review_batch_b9cb4995fb8af6415e7a,candidate_fingerprint_review,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_6cf998a9806e9de089ca,vanderbilt_candidate_manual_decision_34f010a0ce64ef87824d,vanderbilt_candidate_review_decision_a5393a6d70b4a5d93844,vanderbilt_candidate_review_batch_d7657494af8e65d626f9,linked_scope_metadata_review,vanderbilt_program_fellowship-advanced-endoscopy-https-medicine-vumc-org-advanc_20ef397616c3,Advanced Endoscopy,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_same_program_scope_candidate"",""mark_scope_recourse_needed"",""mark_shared_source_context""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_scope_metadata_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_6440a70769eb1bd4483f,vanderbilt_candidate_manual_decision_b53a5a74cba16b597dcf,vanderbilt_candidate_review_decision_74e5670bafc68feccdf7,vanderbilt_candidate_review_batch_cd1e0d50aaad57b508c4,linked_scope_metadata_review,vanderbilt_program_fellowship-advanced-inflammatory-bowel-disease-https-medicin_4a3960c8c48c,Advanced Inflammatory Bowel Disease,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_same_program_scope_candidate"",""mark_scope_recourse_needed"",""mark_shared_source_context""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_scope_metadata_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_d1d22760ae22ad28f7df,vanderbilt_candidate_manual_decision_2241afa21e19e80a60b3,vanderbilt_candidate_review_decision_dcab8d29fc841356eb52,vanderbilt_candidate_review_batch_e5a6faacb1e926c3e5a1,candidate_fingerprint_review,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_ebc4dd64fb6d2dea6e76,vanderbilt_candidate_manual_decision_5bc100b3c28e5ca6a39f,vanderbilt_candidate_review_decision_213df7181f9598e2a1c9,vanderbilt_candidate_review_batch_e5a6faacb1e926c3e5a1,candidate_fingerprint_review,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_53d333239eed2fe72f86,vanderbilt_candidate_manual_decision_9e40693f7538a38d1491,vanderbilt_candidate_review_decision_7efa7a2815b937230c56,vanderbilt_candidate_review_batch_e5a6faacb1e926c3e5a1,candidate_fingerprint_review,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
vanderbilt_candidate_reviewer_decision_audit_645803a1b413d411a0f1,vanderbilt_candidate_manual_decision_f71f5ec5c86da430c633,vanderbilt_candidate_review_decision_4d4d5b0cf3e051244856,vanderbilt_candidate_review_batch_e5a6faacb1e926c3e5a1,candidate_fingerprint_review,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,pending,pending_blank_decision,,,,,false,false,false,,"{""allowed_actions"":[""mark_duplicate_hash_for_reconciliation"",""mark_for_later_exact_person_review"",""reject_candidate_hash_as_parser_noise""],""missing_confirmation_fields"":[],""note_hash"":"""",""raw_note_hit"":false,""required_confirmation_fields"":[""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only""],""source_scaffold_rowset_sha256"":""29f91bd14647f1d9ee3eaa82dda6326e2b2d78f30c10041f31ac781f05353938""}","Non-mutating Vanderbilt candidate reviewer decision audit. It checks manual reviewer decisions against the verified scaffold, confirmation fields, allowed action lists, and acceptance prohibitions. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T09:55:07.278125+00:00
