decision_packet_key,source_execution_evidence_key,program_key,program_name,fetch_url,parser_family,approved_followup_artifact,decision_lane,decision_status,parser_spec_family,parser_spec_contract,scope_decision,recourse_decision,candidate_entity_count,candidate_group_count,content_sha256,visible_text_sha256,parser_implementation_allowed,parser_acceptance_allowed,person_ingestion_allowed,denominator_closure_allowed,next_required_approval,evidence_json,mutation_policy,generated_at
vanderbilt_parser_scope_decision_38d5373835ae3a8dc076,vanderbilt_parser_scope_execution_evidence_bbcfad81aa32ea34772e,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,https://www.vumc.org/generalsurgeryresidency/current-residents,vumc_general_surgery_current_residents_rendered_review,general_surgery_rendered_parser_scope_packet,general_surgery_rendered_decision,rendered_current_residents_parser_scope_ready,vumc_general_surgery_current_residents_rendered_review,Rendered-review parser spec: inspect current-residents route for resident cards/sections and preserve candidate-only counts/hashes.,general_surgery_current_residents_route_has_current_resident_signal,not_recourse,5,2,756ae4b5a46a46ede155495eb784a276609a514badced0928fff4d79578755b6,13b4a3f82ad1affe8a931768b67bfc4c587e53f31f9e440a5241a5d857eee0f8,false,false,false,false,exact_general_surgery_parser_build_or_candidate_extraction_approval_required,"{""current_signal_count"":21,""fellow_signal_count"":4,""parser_probe_status"":""rendered_review_ready_current_resident_signal"",""pgy_signal_count"":0,""resident_signal_count"":21,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_bbcfad81aa32ea34772e"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_f39754b4b48e85bebb5d,vanderbilt_parser_scope_execution_evidence_38b4d59990c0ead572ed,vanderbilt_program_fellowship-advanced-endoscopy-https-medicine-vumc-org-advanc_20ef397616c3,Advanced Endoscopy,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,vumc_medicine_division_fellows_shared_page,linked_route_scope_disposition_packet,linked_route_scope_decision,shared_source_scope_disposition_ready,vumc_medicine_division_fellows_shared_page,Shared-page parser spec: separate GI/Hepatology/Nutrition fellow sections from subspecialty scope before any source-specific parser implementation.,shared_gastroenterology_fellows_route_requires_subscope_before_parser_build,not_recourse,10,8,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,false,false,false,false,exact_scope_disposition_acceptance_or_parser_build_approval_required,"{""current_signal_count"":26,""fellow_signal_count"":24,""parser_probe_status"":""scope_disposition_ready_current_roster_context"",""pgy_signal_count"":0,""resident_signal_count"":6,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_38b4d59990c0ead572ed"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_540a2b5ce8eba37206b1,vanderbilt_parser_scope_execution_evidence_b670e35d5bb7446883b8,vanderbilt_program_fellowship-advanced-inflammatory-bowel-disease-https-medicin_4a3960c8c48c,Advanced Inflammatory Bowel Disease,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,vumc_medicine_division_fellows_shared_page,linked_route_scope_disposition_packet,linked_route_scope_decision,shared_source_scope_disposition_ready,vumc_medicine_division_fellows_shared_page,Shared-page parser spec: separate GI/Hepatology/Nutrition fellow sections from subspecialty scope before any source-specific parser implementation.,shared_gastroenterology_fellows_route_requires_subscope_before_parser_build,not_recourse,10,8,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,false,false,false,false,exact_scope_disposition_acceptance_or_parser_build_approval_required,"{""current_signal_count"":26,""fellow_signal_count"":24,""parser_probe_status"":""scope_disposition_ready_current_roster_context"",""pgy_signal_count"":0,""resident_signal_count"":6,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_b670e35d5bb7446883b8"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_50f347623a8515ca8920,vanderbilt_parser_scope_execution_evidence_38671ad37f387c68faf4,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,https://www.vumc.org/ortho/node/193,vumc_orthopaedics_current_residents_page,linked_route_scope_disposition_packet,linked_route_scope_decision,same_program_scope_disposition_ready,vumc_orthopaedics_current_residents_page,Scope-disposition parser spec: confirm Orthopaedic current-residents same-program scope before parser-build review.,same_program_current_residents_route_candidate_for_parser_build_review,not_recourse,16,6,8e9feb84b562e5e1092f3e4efcded50d633c6fa4f250847d6bd43925b06de55e,17419ec92e52a4a55a689aa5a417e5d632d820a14877ea75d8e996d0f2728e27,false,false,false,false,exact_scope_disposition_acceptance_or_parser_build_approval_required,"{""current_signal_count"":15,""fellow_signal_count"":2,""parser_probe_status"":""scope_disposition_ready_current_roster_context"",""pgy_signal_count"":5,""resident_signal_count"":15,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_38671ad37f387c68faf4"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_583566464d67107730d2,vanderbilt_parser_scope_execution_evidence_d0b8866e53debf2c163d,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/node/1106,vumc_pediatrics_node_listing_page,source_specific_parser_build_review_packet,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,vumc_pediatrics_node_listing_page,Candidate-only parser spec: parse VUMC Pediatrics node roster region by current/fellow signals and profile anchors; emit counts/hashes only.,same_program_current_roster_signal_for_parser_spec,not_recourse,6,2,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,false,false,false,false,exact_parser_implementation_or_candidate_extraction_approval_required,"{""current_signal_count"":10,""fellow_signal_count"":7,""parser_probe_status"":""parser_build_review_ready_candidate_entity_counts"",""pgy_signal_count"":0,""resident_signal_count"":0,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_d0b8866e53debf2c163d"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_35b1c52a8dfb05ec6e70,vanderbilt_parser_scope_execution_evidence_d101b5d3a6e7ad4eec49,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,vumc_pediatrics_person_listing_page,source_specific_parser_build_review_packet,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,vumc_pediatrics_person_listing_page,Candidate-only parser spec: count /person/ anchors and current/fellow signal sections; emit hashed candidate fingerprints only until person-ingestion approval.,same_program_current_roster_signal_for_parser_spec,not_recourse,12,1,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,false,false,false,false,exact_parser_implementation_or_candidate_extraction_approval_required,"{""current_signal_count"":8,""fellow_signal_count"":8,""parser_probe_status"":""parser_build_review_ready_candidate_entity_counts"",""pgy_signal_count"":0,""resident_signal_count"":2,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_d101b5d3a6e7ad4eec49"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_4a4cc6e881fab111a56b,vanderbilt_parser_scope_execution_evidence_4f44765ec5cbaf43853e,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,vumc_medicine_division_fellows_shared_page,source_specific_parser_build_review_packet,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,vumc_medicine_division_fellows_shared_page,Shared-page parser spec: separate GI/Hepatology/Nutrition fellow sections from subspecialty scope before any source-specific parser implementation.,same_program_current_roster_signal_for_parser_spec,not_recourse,10,8,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,false,false,false,false,exact_parser_implementation_or_candidate_extraction_approval_required,"{""current_signal_count"":26,""fellow_signal_count"":24,""parser_probe_status"":""parser_build_review_ready_candidate_entity_counts"",""pgy_signal_count"":0,""resident_signal_count"":6,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_4f44765ec5cbaf43853e"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_2516a0417c7b15f791fe,vanderbilt_parser_scope_execution_evidence_8406a625540979bb4832,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,https://pediatrics.vumc.org/person/current-neonatal-perinatal-medicine-fellows,vumc_pediatrics_person_listing_page,source_specific_parser_build_review_packet,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,vumc_pediatrics_person_listing_page,Candidate-only parser spec: count /person/ anchors and current/fellow signal sections; emit hashed candidate fingerprints only until person-ingestion approval.,same_program_current_roster_signal_for_parser_spec,not_recourse,34,4,5336a24f18e59835e3645d83e164f4e414482384b0937a8aaae69afb5bb5b97d,61a0ca96010c2fa85a49b72e847931e786a54ca71d531e2c44d6c09b3e35f548,false,false,false,false,exact_parser_implementation_or_candidate_extraction_approval_required,"{""current_signal_count"":25,""fellow_signal_count"":23,""parser_probe_status"":""parser_build_review_ready_candidate_entity_counts"",""pgy_signal_count"":0,""resident_signal_count"":13,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_8406a625540979bb4832"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_ce98bd6e6f9248a7f63b,vanderbilt_parser_scope_execution_evidence_ef9af10ce3b2a98fd105,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,https://pediatrics.vumc.org/person/current-pediatric-critical-care-fellows,vumc_pediatrics_person_listing_page,source_specific_parser_build_review_packet,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,vumc_pediatrics_person_listing_page,Candidate-only parser spec: count /person/ anchors and current/fellow signal sections; emit hashed candidate fingerprints only until person-ingestion approval.,same_program_current_roster_signal_for_parser_spec,not_recourse,26,4,e67bb95152b928d1ade234b95bd7d2cfd767b27126c80e7c85b4f19a810e8971,c66c70455b63c3e027f0bb4280796eff49f4eb649d3ba5bc35994081e2e83dcb,false,false,false,false,exact_parser_implementation_or_candidate_extraction_approval_required,"{""current_signal_count"":23,""fellow_signal_count"":24,""parser_probe_status"":""parser_build_review_ready_candidate_entity_counts"",""pgy_signal_count"":0,""resident_signal_count"":12,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_ef9af10ce3b2a98fd105"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
vanderbilt_parser_scope_decision_bd16972b2d84cbc98a35,vanderbilt_parser_scope_execution_evidence_4ee86feef24b88638d8e,vanderbilt_program_fellowship-pediatric-emergency-medicine-https-pediatrics-vum_a6784ae6290b,Pediatric Emergency Medicine,https://pediatrics.vumc.org/person/emergency-medicine-fellows,vumc_pediatrics_person_listing_page,source_specific_parser_build_review_packet,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,vumc_pediatrics_person_listing_page,Candidate-only parser spec: count /person/ anchors and current/fellow signal sections; emit hashed candidate fingerprints only until person-ingestion approval.,same_program_current_roster_signal_for_parser_spec,not_recourse,30,4,e8ef4dd8749afeddce65b4ff566821cad355599356989d26b21ca49e9289934d,691f271ffd623ebc9cb0817f2ecbfb9dfaba7297bbcf2fd39cbfd45a8d756e5e,false,false,false,false,exact_parser_implementation_or_candidate_extraction_approval_required,"{""current_signal_count"":22,""fellow_signal_count"":22,""parser_probe_status"":""parser_build_review_ready_candidate_entity_counts"",""pgy_signal_count"":0,""resident_signal_count"":12,""route_hash_matches_prior_observation"":""true"",""source_execution_evidence_key"":""vanderbilt_parser_scope_execution_evidence_4ee86feef24b88638d8e"",""source_execution_evidence_rowset_sha256"":""db7e7c7b03c31c20a6b3b9c2a17da2d24cbf0c725f97872452db63a2e5942812""}","Non-mutating Vanderbilt parser-family spec and scope/recourse decision packet. It turns approved execution evidence into parser-family specifications, scope dispositions, General Surgery rendered-review disposition, and route recourse decisions. It does not approve parser implementation as accepted people, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:59:54.749106+00:00
