execution_evidence_key,source_next_packet_key,program_key,program_name,approved_next_artifact_lane,fetch_url,fetch_status,http_status,final_url,content_sha256,visible_text_sha256,route_hash_matches_prior_observation,parser_family,parser_probe_status,candidate_entity_count,candidate_group_count,person_anchor_count,profile_like_anchor_count,current_signal_count,resident_signal_count,fellow_signal_count,pgy_signal_count,scope_disposition_status,recourse_status,approved_followup_artifact,parser_acceptance_allowed,person_ingestion_allowed,denominator_closure_allowed,required_next_action,evidence_json,mutation_policy,generated_at
vanderbilt_parser_scope_execution_evidence_bbcfad81aa32ea34772e,vanderbilt_approved_parser_scope_next_5b2ab556018d5c107e2c,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,general_surgery_rendered_parser_scope_packet,https://www.vumc.org/generalsurgeryresidency/current-residents,fetched,200,https://www.vumc.org/generalsurgeryresidency/current-residents,756ae4b5a46a46ede155495eb784a276609a514badced0928fff4d79578755b6,13b4a3f82ad1affe8a931768b67bfc4c587e53f31f9e440a5241a5d857eee0f8,true,vumc_general_surgery_current_residents_rendered_review,rendered_review_ready_current_resident_signal,5,2,4,4,21,21,4,0,rendered_review_ready_current_resident_signal,not_recourse,general_surgery_rendered_parser_scope_packet,false,false,false,Build rendered parser/scope evidence for General Surgery current-residents route without accepting people.,"{""class_name_counts_top"":{""else"":49,""mc__nav__link"":56,""mc__nav__menu__item"":57,""module__1ljditu36femzz4vek_1vw"":64,""module__3ogvziruounlr32noqnijx"":64,""no-submenu"":49,""standard-inline-menu__item"":51,""standard-inline-menu__link"":51},""fetch_error"":"""",""prior_route_observation_content_sha256"":""756ae4b5a46a46ede155495eb784a276609a514badced0928fff4d79578755b6"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_5b2ab556018d5c107e2c"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_38b4d59990c0ead572ed,vanderbilt_approved_parser_scope_next_345a9b42bfba1cfd5032,vanderbilt_program_fellowship-advanced-endoscopy-https-medicine-vumc-org-advanc_20ef397616c3,Advanced Endoscopy,linked_route_scope_disposition_packet,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,fetched,200,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,true,vumc_medicine_division_fellows_shared_page,scope_disposition_ready_current_roster_context,10,8,0,2,26,6,24,0,scope_disposition_ready_current_roster_context,not_recourse,linked_route_scope_disposition_packet,false,false,false,"Decide same-program, shared-source, or context-only scope using counts and hashes; do not rewrite URLs or close denominators.","{""class_name_counts_top"":{""clearfix"":39,""dropdown"":43,""expanded"":43,""field"":35,""field--label-hidden"":27,""form-check"":21,""form-check-input"":21,""parent_link"":37},""fetch_error"":"""",""prior_route_observation_content_sha256"":""1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_345a9b42bfba1cfd5032"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_b670e35d5bb7446883b8,vanderbilt_approved_parser_scope_next_485063f0342dda59f0a1,vanderbilt_program_fellowship-advanced-inflammatory-bowel-disease-https-medicin_4a3960c8c48c,Advanced Inflammatory Bowel Disease,linked_route_scope_disposition_packet,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,fetched,200,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,true,vumc_medicine_division_fellows_shared_page,scope_disposition_ready_current_roster_context,10,8,0,2,26,6,24,0,scope_disposition_ready_current_roster_context,not_recourse,linked_route_scope_disposition_packet,false,false,false,"Decide same-program, shared-source, or context-only scope using counts and hashes; do not rewrite URLs or close denominators.","{""class_name_counts_top"":{""clearfix"":39,""dropdown"":43,""expanded"":43,""field"":35,""field--label-hidden"":27,""form-check"":21,""form-check-input"":21,""parent_link"":37},""fetch_error"":"""",""prior_route_observation_content_sha256"":""1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_485063f0342dda59f0a1"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_38671ad37f387c68faf4,vanderbilt_approved_parser_scope_next_142ea1bb52d7677985f4,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,linked_route_scope_disposition_packet,https://www.vumc.org/ortho/node/193,fetched,200,https://www.vumc.org/ortho/node/193,8e9feb84b562e5e1092f3e4efcded50d633c6fa4f250847d6bd43925b06de55e,17419ec92e52a4a55a689aa5a417e5d632d820a14877ea75d8e996d0f2728e27,true,vumc_orthopaedics_current_residents_page,scope_disposition_ready_current_roster_context,16,6,16,16,15,15,2,5,scope_disposition_ready_current_roster_context,not_recourse,linked_route_scope_disposition_packet,false,false,false,"Decide same-program, shared-source, or context-only scope using counts and hashes; do not rewrite URLs or close denominators.","{""class_name_counts_top"":{""else"":35,""mc__nav__link"":42,""mc__nav__menu__item"":43,""module__1ljditu36femzz4vek_1vw"":50,""module__3ogvziruounlr32noqnijx"":50,""no-submenu"":35,""standard-inline-menu__item"":37,""standard-inline-menu__link"":37},""fetch_error"":"""",""prior_route_observation_content_sha256"":""8e9feb84b562e5e1092f3e4efcded50d633c6fa4f250847d6bd43925b06de55e"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_142ea1bb52d7677985f4"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_2d98c4b50c12bb5cb91c,vanderbilt_approved_parser_scope_next_2649a0a8383c19d63739,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,route_retry_or_recourse_packet,https://www.vumc.org/ortho/2022-residency-match,fetched,404,https://www.vumc.org/ortho/2022-residency-match,c62fb4641db7ef61acdb65346cb477329f938619067e0028f3b9f6855ec6dce2,93ae3274bfdfceca4e002ae0223df581c75ecc635c877e76e35469403fcda531,true,http_error_recourse,recourse_http_route_retry_or_replace_source,16,0,16,16,2,9,2,0,,http_error_recourse_needed,route_retry_or_source_discovery_recourse_packet,false,false,false,Record retry/final route evidence and seek a stronger official current roster source before parser acceptance.,"{""class_name_counts_top"":{""else"":35,""mc__nav__link"":42,""mc__nav__menu__item"":43,""module__1ljditu36femzz4vek_1vw"":50,""module__3ogvziruounlr32noqnijx"":50,""no-submenu"":35,""standard-inline-menu__item"":37,""standard-inline-menu__link"":37},""fetch_error"":"""",""prior_route_observation_content_sha256"":""c62fb4641db7ef61acdb65346cb477329f938619067e0028f3b9f6855ec6dce2"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_2649a0a8383c19d63739"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_d0b8866e53debf2c163d,vanderbilt_approved_parser_scope_next_df4824f4355cc2b150e6,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,source_specific_parser_build_review_packet,https://pediatrics.vumc.org/node/1106,fetched,200,https://pediatrics.vumc.org/node/1106,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,true,vumc_pediatrics_node_listing_page,parser_build_review_ready_candidate_entity_counts,6,2,6,6,10,0,7,0,,not_recourse,source_specific_parser_build_review_packet,false,false,false,Build source-specific parser tests and candidate-only extraction count evidence; do not publish raw names or ingest people.,"{""class_name_counts_top"":{""item-level--2"":10,""mc__nav__link"":29,""mc__nav__link--2"":15,""mc__nav__menu__item"":24,""mc__nav__menu__item--2"":15,""no-submenu"":20,""standard-inline-menu__item"":18,""standard-inline-menu__link"":18},""fetch_error"":"""",""prior_route_observation_content_sha256"":""415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_df4824f4355cc2b150e6"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_d101b5d3a6e7ad4eec49,vanderbilt_approved_parser_scope_next_cf1ad343990273ea3605,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,source_specific_parser_build_review_packet,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,fetched,200,https://pediatrics.vumc.org/person/developmental-behavioral-pediatrics-fellowship/fellows,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,true,vumc_pediatrics_person_listing_page,parser_build_review_ready_candidate_entity_counts,12,1,12,12,8,2,8,0,,not_recourse,source_specific_parser_build_review_packet,false,false,false,Build source-specific parser tests and candidate-only extraction count evidence; do not publish raw names or ingest people.,"{""class_name_counts_top"":{""field"":12,""mc__nav__link"":29,""mc__nav__link--2"":15,""mc__nav__menu__item"":24,""mc__nav__menu__item--2"":15,""no-submenu"":20,""standard-inline-menu__item"":18,""standard-inline-menu__link"":18},""fetch_error"":"""",""prior_route_observation_content_sha256"":""6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_cf1ad343990273ea3605"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_4f44765ec5cbaf43853e,vanderbilt_approved_parser_scope_next_798be374f097223d8238,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,source_specific_parser_build_review_packet,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,fetched,200,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,true,vumc_medicine_division_fellows_shared_page,parser_build_review_ready_candidate_entity_counts,10,8,0,2,26,6,24,0,,not_recourse,source_specific_parser_build_review_packet,false,false,false,Build source-specific parser tests and candidate-only extraction count evidence; do not publish raw names or ingest people.,"{""class_name_counts_top"":{""clearfix"":39,""dropdown"":43,""expanded"":43,""field"":35,""field--label-hidden"":27,""form-check"":21,""form-check-input"":21,""parent_link"":37},""fetch_error"":"""",""prior_route_observation_content_sha256"":""1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_798be374f097223d8238"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_8406a625540979bb4832,vanderbilt_approved_parser_scope_next_122fd785715191683e6b,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,source_specific_parser_build_review_packet,https://pediatrics.vumc.org/person/current-neonatal-perinatal-medicine-fellows,fetched,200,https://pediatrics.vumc.org/person/neonatal-perinatal-medicine-fellowship/fellows,5336a24f18e59835e3645d83e164f4e414482384b0937a8aaae69afb5bb5b97d,61a0ca96010c2fa85a49b72e847931e786a54ca71d531e2c44d6c09b3e35f548,true,vumc_pediatrics_person_listing_page,parser_build_review_ready_candidate_entity_counts,34,4,34,34,25,13,23,0,,not_recourse,source_specific_parser_build_review_packet,false,false,false,Build source-specific parser tests and candidate-only extraction count evidence; do not publish raw names or ingest people.,"{""class_name_counts_top"":{""field"":70,""field--label-hidden"":70,""field--type-string"":30,""field__item"":71,""mc__nav__link"":29,""paragraph"":29,""paragraph--view-mode--default"":29,""person__content-section"":26},""fetch_error"":"""",""prior_route_observation_content_sha256"":""5336a24f18e59835e3645d83e164f4e414482384b0937a8aaae69afb5bb5b97d"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_122fd785715191683e6b"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
vanderbilt_parser_scope_execution_evidence_ef9af10ce3b2a98fd105,vanderbilt_approved_parser_scope_next_9fb0c43c6f4de162d6d1,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,source_specific_parser_build_review_packet,https://pediatrics.vumc.org/person/current-pediatric-critical-care-fellows,fetched,200,https://pediatrics.vumc.org/person/critical-care-fellowship/fellows,e67bb95152b928d1ade234b95bd7d2cfd767b27126c80e7c85b4f19a810e8971,c66c70455b63c3e027f0bb4280796eff49f4eb649d3ba5bc35994081e2e83dcb,true,vumc_pediatrics_person_listing_page,parser_build_review_ready_candidate_entity_counts,26,4,26,26,23,12,24,0,,not_recourse,source_specific_parser_build_review_packet,false,false,false,Build source-specific parser tests and candidate-only extraction count evidence; do not publish raw names or ingest people.,"{""class_name_counts_top"":{""field"":56,""field--label-hidden"":56,""field--type-string"":26,""field__item"":57,""mc__nav__link"":29,""mc__nav__menu__item"":24,""paragraph"":25,""paragraph--view-mode--default"":25},""fetch_error"":"""",""prior_route_observation_content_sha256"":""e67bb95152b928d1ade234b95bd7d2cfd767b27126c80e7c85b4f19a810e8971"",""route_hash_matches_prior_observation"":""true"",""source_next_packet_key"":""vanderbilt_approved_parser_scope_next_9fb0c43c6f4de162d6d1"",""source_next_packet_rowset_sha256"":""098c0a813eb577552b46e9454fbf2e9088bcee228d0aa678827439eba082e261""}","Non-mutating Vanderbilt parser/scope execution evidence. This ledger records parser strategy, scope status, route freshness, hashes, and coarse candidate counts for approved next-packet rows. It stores no raw HTML, raw text, raw headings, raw anchor samples, accepted people, parser-accepted person rows, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T04:57:19.763645+00:00
