approval_packet_key,source_decision_packet_key,program_key,program_name,fetch_url,decision_lane,decision_status,approval_request_lane,approval_scope_requested,implementation_allowed_if_approved,person_ingestion_allowed_if_approved,required_output_boundary_if_approved,next_artifact_if_approved,next_artifact_if_denied,content_sha256,visible_text_sha256,evidence_json,mutation_policy,generated_at
vanderbilt_parser_scope_implementation_approval_b86253e9d5b0157a5f53,vanderbilt_parser_scope_decision_583566464d67107730d2,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/node/1106,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,"{""candidate_entity_count"":6,""parser_spec_family"":""vumc_pediatrics_node_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_583566464d67107730d2"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_1330ba3c270c297d9f18,vanderbilt_parser_scope_decision_35b1c52a8dfb05ec6e70,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,"{""candidate_entity_count"":12,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_35b1c52a8dfb05ec6e70"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_1411fe0fed4db0618c8e,vanderbilt_parser_scope_decision_4a4cc6e881fab111a56b,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,"{""candidate_entity_count"":10,""parser_spec_family"":""vumc_medicine_division_fellows_shared_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_4a4cc6e881fab111a56b"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_edc2736a419d39be76cc,vanderbilt_parser_scope_decision_2516a0417c7b15f791fe,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,https://pediatrics.vumc.org/person/current-neonatal-perinatal-medicine-fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,5336a24f18e59835e3645d83e164f4e414482384b0937a8aaae69afb5bb5b97d,61a0ca96010c2fa85a49b72e847931e786a54ca71d531e2c44d6c09b3e35f548,"{""candidate_entity_count"":34,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_2516a0417c7b15f791fe"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_91640981fe1ec7f7b757,vanderbilt_parser_scope_decision_ce98bd6e6f9248a7f63b,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,https://pediatrics.vumc.org/person/current-pediatric-critical-care-fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,e67bb95152b928d1ade234b95bd7d2cfd767b27126c80e7c85b4f19a810e8971,c66c70455b63c3e027f0bb4280796eff49f4eb649d3ba5bc35994081e2e83dcb,"{""candidate_entity_count"":26,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_ce98bd6e6f9248a7f63b"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_87ad4fa015138bcc76d7,vanderbilt_parser_scope_decision_bd16972b2d84cbc98a35,vanderbilt_program_fellowship-pediatric-emergency-medicine-https-pediatrics-vum_a6784ae6290b,Pediatric Emergency Medicine,https://pediatrics.vumc.org/person/emergency-medicine-fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,e8ef4dd8749afeddce65b4ff566821cad355599356989d26b21ca49e9289934d,691f271ffd623ebc9cb0817f2ecbfb9dfaba7297bbcf2fd39cbfd45a8d756e5e,"{""candidate_entity_count"":30,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_bd16972b2d84cbc98a35"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_265da01d8ad1b9aeded0,vanderbilt_parser_scope_decision_3e0c3e313debb598a420,vanderbilt_program_fellowship-pediatric-endocrinology-https-pediatrics-vumc-org_2949af87ab6f,Pediatric Endocrinology,https://pediatrics.vumc.org/person/current-pediatric-endocrinology-fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,664611fbddb3640586587d068054019539a748aeac770f0efd940fe5e7f0d895,024d33aa282635c1b48d603b12588bf2bedd3bdac1b4cc2b1d756c1560007468,"{""candidate_entity_count"":8,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_3e0c3e313debb598a420"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_e414489df90e76c3bf81,vanderbilt_parser_scope_decision_0dd7b971d9f877a6c87e,vanderbilt_program_fellowship-pediatric-gastroenterology-https-pediatrics-vumc-_f3304fa0a202,Pediatric Gastroenterology,https://pediatrics.vumc.org/person/current-pediatric-gastroenterology-hepatology-and-nutrition-fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,cb1ceb521ede8f172cc6dccf71c441d8d3f2bfdfec9bb80352322c9a458da3ae,cfe330fc0af47bce965ee6264d30ca5cfb5d8c6be36f1b82c677d7dc1ed66881,"{""candidate_entity_count"":17,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_0dd7b971d9f877a6c87e"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_c64a892159c20e73af46,vanderbilt_parser_scope_decision_45dda35ad73c9009d911,vanderbilt_program_fellowship-pediatric-hospital-medicine-https-pediatrics-vumc_fc2f034a3e09,Pediatric Hospital Medicine,https://pediatrics.vumc.org/person/current-pediatric-hospital-medicine-fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,b3546e89b160841a6c81a2030ff10d576bbd674eea581e97429461d72dfca87e,2bd6195797c60fc23b42c9a65e3dbad224c2d6b46116ce487da9c97367863c4d,"{""candidate_entity_count"":12,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_45dda35ad73c9009d911"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
vanderbilt_parser_scope_implementation_approval_03128a8c70568a3bdc6a,vanderbilt_parser_scope_decision_4fe1c19032bc78443788,vanderbilt_program_fellowship-pediatric-infectious-diseases-https-pediatrics-vu_29d33965c0cb,Pediatric Infectious Diseases,https://pediatrics.vumc.org/person/infectious-diseases-fellowship/fellows,parser_family_spec,candidate_only_parser_spec_ready_for_exact_implementation_approval,candidate_only_parser_implementation_review,"Allow implementation of source-family parsers that emit candidate-only counts, hashes, parser diagnostics, and review queues, not accepted people.",candidate_only_parser_code_and_tests,false,No raw names in committed artifacts; no accepted person rows; candidate fingerprints/counts and parser diagnostics only.,candidate_only_vanderbilt_parser_implementation_and_review_outputs,retain_parser_family_spec_without_implementation,fdc83c9a4ea028f5396df0fff523a33529459a3cf89747e511537cbe9da325bd,19ef176169765eeaf1768db75b111149d13c0dca0307e3de90e90e1a4ab7b86f,"{""candidate_entity_count"":16,""parser_spec_family"":""vumc_pediatrics_person_listing_page"",""recourse_decision"":""not_recourse"",""scope_decision"":""same_program_current_roster_signal_for_parser_spec"",""source_decision_packet_key"":""vanderbilt_parser_scope_decision_4fe1c19032bc78443788"",""source_decision_rowset_sha256"":""aa94351eae7a7309d2b760a891f69538d8a8998058fc1ceb24af3d2b918644b8""}","Non-mutating Vanderbilt parser/scope implementation approval request. It asks whether candidate-only parser implementation, scope-disposition recording, General Surgery parser-build review, and Orthopaedic route recourse work may proceed from the verified decision rowset. It does not approve person ingestion, parser output as accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, raw dump publication, or unique-person identity collapse.",2026-06-09T05:06:36.430434+00:00
