blank_execution_verification_key,execution_order,operator_packet_key,review_queue_lane,program_key,program_name,workbook_row_count,slice_output_path,patch_output_path,slice_exit_code,slice_row_count,blank_extract_exit_code,blank_extract_failed_closed,allow_empty_extract_exit_code,allow_empty_patch_rows,dry_run_exit_code,dry_run_patch_rows,dry_run_valid_non_mutating_rows,tmp_outputs_removed,verification_status,accepted_person_rows,person_ingestion_allowed,denominator_closure_allowed,apply_executed,source_execution_readiness_rowset_sha256,source_slice_index_rowset_sha256,source_decision_audit_rowset_sha256,evidence_json,mutation_policy,generated_at
vanderbilt_blank_execution_verification_6860293b2edaf52f123b,1,vanderbilt_public_reviewer_operator_packet_b6017684468e4522b95c,candidate_fingerprint_review,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,4,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_1.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_1.csv,0,4,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_e7f9389e51741ebf22cc,2,vanderbilt_public_reviewer_operator_packet_5675033ed85b9805892e,candidate_fingerprint_review,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,4,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_2.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_2.csv,0,4,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_9405cc63780f389aa827,3,vanderbilt_public_reviewer_operator_packet_e7c43e90f1faaa29e266,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,10,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_3.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_3.csv,0,10,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_8f166bbc37f921ebddd0,4,vanderbilt_public_reviewer_operator_packet_9fa9c5f5901834971ed0,candidate_fingerprint_review,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,2,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_4.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_4.csv,0,2,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_dc66c232bedca2f957a4,5,vanderbilt_public_reviewer_operator_packet_fdcb8dc85c9e94e853ea,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,19,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_5.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_5.csv,0,19,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_ee321a1e45e94cfe7211,6,vanderbilt_public_reviewer_operator_packet_466be7e6af7101256b9d,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,17,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_6.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_6.csv,0,17,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_d9e4b382dabd252ecdd0,7,vanderbilt_public_reviewer_operator_packet_f41377a1bac2a2af7d91,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-emergency-medicine-https-pediatrics-vum_a6784ae6290b,Pediatric Emergency Medicine,17,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_7.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_7.csv,0,17,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_6fc7b3846cedb810a6e6,8,vanderbilt_public_reviewer_operator_packet_568b90a0595fd0378f62,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-endocrinology-https-pediatrics-vumc-org_2949af87ab6f,Pediatric Endocrinology,3,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_8.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_8.csv,0,3,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_124a6e583897f562af95,9,vanderbilt_public_reviewer_operator_packet_4f7c1b2422d42991292d,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-gastroenterology-https-pediatrics-vumc-_f3304fa0a202,Pediatric Gastroenterology,12,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_9.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_9.csv,0,12,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
vanderbilt_blank_execution_verification_adf2220ba29114495eec,10,vanderbilt_public_reviewer_operator_packet_e9b0625e7fad65dbc8b4,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-hospital-medicine-https-pediatrics-vumc_fc2f034a3e09,Pediatric Hospital Medicine,4,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_workbook_order_10.csv,/tmp/redmank_vanderbilt_blank_execution/vanderbilt_reviewer_patch_order_10.csv,0,4,1,true,0,0,0,0,0,true,blank_slice_fail_closed_verified,0,false,false,false,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""allow_empty_extract_stdout_json_keys"":[""accepted_person_rows"",""by_review_queue_lane"",""decision_template_columns"",""denominator_closure_allowed"",""extracted_patch_rows"",""include_blank"",""mutation_allowed"",""output"",""output_columns"",""person_ingestion_allowed"",""workbook"",""workbook_rows""],""blank_extract_expected_message"":""No filled workbook rows to extract."",""blank_extract_observed_tail"":""No filled workbook rows to extract."",""dry_run_stdout_json_keys"":[""accepted_person_rows"",""apply"",""by_review_queue_lane"",""denominator_closure_allowed"",""json_output"",""mutation_allowed"",""output"",""patch"",""patch_rows"",""person_ingestion_allowed"",""valid_non_mutating_rows""],""patch_fields"":[""manual_decision_row_key"",""reviewer_action"",""confirm_decision_fingerprint"",""confirm_no_person_ingestion"",""confirm_no_denominator_closure"",""confirm_no_raw_name_added"",""confirm_no_url_rewrite"",""confirm_candidate_fingerprint_only"",""confirm_scope_metadata_only"",""confirm_recourse_only""],""slice_fields_count"":36,""slice_stdout_json_keys"":[""denominator_closure_allowed"",""execution_order"",""extract_command"",""mutation_allowed"",""operator_packet_key"",""output"",""patch_dry_run_command"",""person_ingestion_allowed"",""program_name"",""raw_candidate_names_committed"",""raw_person_urls_committed"",""review_queue_lane"",""slice_rows"",""workbook""],""tmp_root"":""/tmp/redmank_vanderbilt_blank_execution""}","Non-mutating verification that blank Vanderbilt reviewer execution slices fail closed. It runs bounded slice commands only to /tmp, proves extraction without filled reviewer decisions fails with the expected empty-patch message, proves an explicit allow-empty dry run validates zero rows without --apply, and removes temporary outputs. It does not fill reviewer decisions, apply patches, write committed decision files, accept people, ingest people, close denominators, verify Vanderbilt, rewrite URLs, accept enrichment facts, publish raw candidate labels or URLs, or collapse identities.",2026-06-09T08:49:00.279759+00:00
