slice_index_key,execution_order,operator_packet_key,review_queue_lane,program_key,program_name,workbook_row_count,slice_output_path,patch_output_path,slice_command,extract_command,patch_dry_run_command,apply_decisions_command,verification_command,approval_required_for,prohibited_mutations,source_operator_packet_rowset_sha256,source_workbook_rowset_sha256,accepted_person_rows,person_ingestion_allowed,denominator_closure_allowed,raw_candidate_names_committed,raw_person_urls_committed,evidence_json,mutation_policy,generated_at
vanderbilt_reviewer_workbook_slice_index_f36fddef74d3d8b9c503,1,vanderbilt_public_reviewer_operator_packet_b6017684468e4522b95c,candidate_fingerprint_review,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,4,/tmp/vanderbilt_reviewer_workbook_order_1.csv,/tmp/vanderbilt_reviewer_patch_order_1.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 1 --output /tmp/vanderbilt_reviewer_workbook_order_1.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_1.csv --output /tmp/vanderbilt_reviewer_patch_order_1.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_1.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_1.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":4,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_b6017684468e4522b95c"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_5b0ae7374cce2fe4299c,2,vanderbilt_public_reviewer_operator_packet_5675033ed85b9805892e,candidate_fingerprint_review,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,4,/tmp/vanderbilt_reviewer_workbook_order_2.csv,/tmp/vanderbilt_reviewer_patch_order_2.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 2 --output /tmp/vanderbilt_reviewer_workbook_order_2.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_2.csv --output /tmp/vanderbilt_reviewer_patch_order_2.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_2.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_2.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":4,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_5675033ed85b9805892e"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_004f90dfe670dd7ecdf9,3,vanderbilt_public_reviewer_operator_packet_e7c43e90f1faaa29e266,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,10,/tmp/vanderbilt_reviewer_workbook_order_3.csv,/tmp/vanderbilt_reviewer_patch_order_3.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 3 --output /tmp/vanderbilt_reviewer_workbook_order_3.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_3.csv --output /tmp/vanderbilt_reviewer_patch_order_3.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_3.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_3.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":10,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_e7c43e90f1faaa29e266"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_2e8ffd09dc9bc47fe2ce,4,vanderbilt_public_reviewer_operator_packet_9fa9c5f5901834971ed0,candidate_fingerprint_review,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,2,/tmp/vanderbilt_reviewer_workbook_order_4.csv,/tmp/vanderbilt_reviewer_patch_order_4.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 4 --output /tmp/vanderbilt_reviewer_workbook_order_4.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_4.csv --output /tmp/vanderbilt_reviewer_patch_order_4.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_4.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_4.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":2,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_9fa9c5f5901834971ed0"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_e86fa92905ae101aa047,5,vanderbilt_public_reviewer_operator_packet_fdcb8dc85c9e94e853ea,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,19,/tmp/vanderbilt_reviewer_workbook_order_5.csv,/tmp/vanderbilt_reviewer_patch_order_5.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 5 --output /tmp/vanderbilt_reviewer_workbook_order_5.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_5.csv --output /tmp/vanderbilt_reviewer_patch_order_5.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_5.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_5.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":19,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_fdcb8dc85c9e94e853ea"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_3df45bf1e775c921ba8e,6,vanderbilt_public_reviewer_operator_packet_466be7e6af7101256b9d,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,17,/tmp/vanderbilt_reviewer_workbook_order_6.csv,/tmp/vanderbilt_reviewer_patch_order_6.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 6 --output /tmp/vanderbilt_reviewer_workbook_order_6.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_6.csv --output /tmp/vanderbilt_reviewer_patch_order_6.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_6.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_6.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":17,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_466be7e6af7101256b9d"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_77ed82a20b1c29b3dd34,7,vanderbilt_public_reviewer_operator_packet_f41377a1bac2a2af7d91,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-emergency-medicine-https-pediatrics-vum_a6784ae6290b,Pediatric Emergency Medicine,17,/tmp/vanderbilt_reviewer_workbook_order_7.csv,/tmp/vanderbilt_reviewer_patch_order_7.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 7 --output /tmp/vanderbilt_reviewer_workbook_order_7.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_7.csv --output /tmp/vanderbilt_reviewer_patch_order_7.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_7.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_7.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":17,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_f41377a1bac2a2af7d91"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_b52105c600dab3950b39,8,vanderbilt_public_reviewer_operator_packet_568b90a0595fd0378f62,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-endocrinology-https-pediatrics-vumc-org_2949af87ab6f,Pediatric Endocrinology,3,/tmp/vanderbilt_reviewer_workbook_order_8.csv,/tmp/vanderbilt_reviewer_patch_order_8.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 8 --output /tmp/vanderbilt_reviewer_workbook_order_8.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_8.csv --output /tmp/vanderbilt_reviewer_patch_order_8.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_8.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_8.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":3,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_568b90a0595fd0378f62"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_f8566457f0f067087b89,9,vanderbilt_public_reviewer_operator_packet_4f7c1b2422d42991292d,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-gastroenterology-https-pediatrics-vumc-_f3304fa0a202,Pediatric Gastroenterology,12,/tmp/vanderbilt_reviewer_workbook_order_9.csv,/tmp/vanderbilt_reviewer_patch_order_9.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 9 --output /tmp/vanderbilt_reviewer_workbook_order_9.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_9.csv --output /tmp/vanderbilt_reviewer_patch_order_9.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_9.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_9.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":12,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_4f7c1b2422d42991292d"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
vanderbilt_reviewer_workbook_slice_index_75bce5b5cbac7a1e9360,10,vanderbilt_public_reviewer_operator_packet_e9b0625e7fad65dbc8b4,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-hospital-medicine-https-pediatrics-vumc_fc2f034a3e09,Pediatric Hospital Medicine,4,/tmp/vanderbilt_reviewer_workbook_order_10.csv,/tmp/vanderbilt_reviewer_patch_order_10.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 10 --output /tmp/vanderbilt_reviewer_workbook_order_10.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_10.csv --output /tmp/vanderbilt_reviewer_patch_order_10.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_10.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_10.csv --apply,python3 scripts/materialize_vanderbilt_candidate_reviewer_decision_audit.py && python3 scripts/materialize_vanderbilt_candidate_review_batch_packets.py && python3 scripts/materialize_vanderbilt_public_reviewer_operator_packets.py && python3 scripts/materialize_vanderbilt_reviewer_decision_patch_workbook.py,accepted_person_rows; person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; enrichment_acceptance; identity_collapse,fill_reviewer_decisions_without_operator_action; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,6d61db6d2fa9a43034c35b401f2cc2d1b8a7b96b6a606368b825aa9822c2c173,18619a07cc9bf02fba3cf898dc3d21252b25f9c4a8adfb0d88d126a506bed3c3,0,false,false,false,false,"{""decision_row_count"":4,""operator_packet_key"":""vanderbilt_public_reviewer_operator_packet_e9b0625e7fad65dbc8b4"",""raw_candidate_names_committed"":false,""raw_person_urls_committed"":false,""slice_output_policy"":""tmp_only_default""}","Non-mutating Vanderbilt reviewer workbook slice index. It lists one bounded slice command per public reviewer operator packet and writes slices to /tmp by default. It does not fill reviewer decisions, include reviewer notes, publish raw candidate names or URLs, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, or collapse identities.",2026-06-09T07:04:03.560983+00:00
