prioritization_key,priority_rank,priority_score,assignment_band,assignment_status,execution_order,operator_packet_key,review_queue_lane,program_key,program_name,workbook_row_count,slice_output_path,patch_output_path,slice_command,extract_command,patch_dry_run_command,blank_verification_status,blank_extract_failed_closed,dry_run_patch_rows,tmp_outputs_removed,recommended_reviewer_action,success_condition,approval_required_for,prohibited_mutations,accepted_person_rows,person_ingestion_allowed,denominator_closure_allowed,apply_executed,source_slice_index_rowset_sha256,source_execution_readiness_rowset_sha256,source_blank_execution_rowset_sha256,source_decision_audit_rowset_sha256,evidence_json,mutation_policy,generated_at
vanderbilt_reviewer_slice_prioritization_4cf1ba7ca683469f58c9,1,8976,first_pass_small_candidate_slice,ready_for_bounded_human_reviewer_input,4,vanderbilt_public_reviewer_operator_packet_9fa9c5f5901834971ed0,candidate_fingerprint_review,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,2,/tmp/vanderbilt_reviewer_workbook_order_4.csv,/tmp/vanderbilt_reviewer_patch_order_4.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 4 --output /tmp/vanderbilt_reviewer_workbook_order_4.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_4.csv --output /tmp/vanderbilt_reviewer_patch_order_4.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_4.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":1,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_8f166bbc37f921ebddd0"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_8db6a3ccb573ecff4b73,2,8962,first_pass_small_candidate_slice,ready_for_bounded_human_reviewer_input,8,vanderbilt_public_reviewer_operator_packet_568b90a0595fd0378f62,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-endocrinology-https-pediatrics-vumc-org_2949af87ab6f,Pediatric Endocrinology,3,/tmp/vanderbilt_reviewer_workbook_order_8.csv,/tmp/vanderbilt_reviewer_patch_order_8.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 8 --output /tmp/vanderbilt_reviewer_workbook_order_8.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_8.csv --output /tmp/vanderbilt_reviewer_patch_order_8.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_8.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":1,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_6fc7b3846cedb810a6e6"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_c522d60085e5ea1d99e9,3,8959,first_pass_small_candidate_slice,ready_for_bounded_human_reviewer_input,1,vanderbilt_public_reviewer_operator_packet_b6017684468e4522b95c,candidate_fingerprint_review,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,4,/tmp/vanderbilt_reviewer_workbook_order_1.csv,/tmp/vanderbilt_reviewer_patch_order_1.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 1 --output /tmp/vanderbilt_reviewer_workbook_order_1.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_1.csv --output /tmp/vanderbilt_reviewer_patch_order_1.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_1.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":1,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_6860293b2edaf52f123b"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_afc2243c032da1afcf62,4,8958,first_pass_small_candidate_slice,ready_for_bounded_human_reviewer_input,2,vanderbilt_public_reviewer_operator_packet_5675033ed85b9805892e,candidate_fingerprint_review,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,4,/tmp/vanderbilt_reviewer_workbook_order_2.csv,/tmp/vanderbilt_reviewer_patch_order_2.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 2 --output /tmp/vanderbilt_reviewer_workbook_order_2.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_2.csv --output /tmp/vanderbilt_reviewer_patch_order_2.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_2.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":1,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_e7f9389e51741ebf22cc"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_5b015e5f0add86e2f2d7,5,8950,first_pass_small_candidate_slice,ready_for_bounded_human_reviewer_input,10,vanderbilt_public_reviewer_operator_packet_e9b0625e7fad65dbc8b4,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-hospital-medicine-https-pediatrics-vumc_fc2f034a3e09,Pediatric Hospital Medicine,4,/tmp/vanderbilt_reviewer_workbook_order_10.csv,/tmp/vanderbilt_reviewer_patch_order_10.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 10 --output /tmp/vanderbilt_reviewer_workbook_order_10.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_10.csv --output /tmp/vanderbilt_reviewer_patch_order_10.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_10.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":1,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_adf2220ba29114495eec"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_a1d0e17861fcf48e9113,6,8948,first_pass_small_candidate_slice,ready_for_bounded_human_reviewer_input,12,vanderbilt_public_reviewer_operator_packet_c7d00936b2252e899f6f,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-rheumatology-https-pediatrics-vumc-org-_fe613525342f,Pediatric Rheumatology,4,/tmp/vanderbilt_reviewer_workbook_order_12.csv,/tmp/vanderbilt_reviewer_patch_order_12.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 12 --output /tmp/vanderbilt_reviewer_workbook_order_12.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_12.csv --output /tmp/vanderbilt_reviewer_patch_order_12.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_12.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":1,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_b1a6960b6146a76d22f3"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_bb1d1ff57fe0d4a8708c,7,8945,first_pass_small_candidate_slice,ready_for_bounded_human_reviewer_input,15,vanderbilt_public_reviewer_operator_packet_00d5019278e1d73cc82c,candidate_fingerprint_review,vanderbilt_program_fellowship-rheumatology-https-pediatrics-vumc-org-rheumatolo_8487e7467659,Rheumatology,4,/tmp/vanderbilt_reviewer_workbook_order_15.csv,/tmp/vanderbilt_reviewer_patch_order_15.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 15 --output /tmp/vanderbilt_reviewer_workbook_order_15.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_15.csv --output /tmp/vanderbilt_reviewer_patch_order_15.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_15.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":1,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_9698e3a5646859a3917e"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_148c9603af6299b9bad9,8,7973,scope_or_recourse_micro_slice,ready_for_bounded_human_reviewer_input,17,vanderbilt_public_reviewer_operator_packet_59f244f0acaffcc308ee,linked_scope_metadata_review,vanderbilt_program_fellowship-advanced-endoscopy-https-medicine-vumc-org-advanc_20ef397616c3,Advanced Endoscopy,1,/tmp/vanderbilt_reviewer_workbook_order_17.csv,/tmp/vanderbilt_reviewer_patch_order_17.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 17 --output /tmp/vanderbilt_reviewer_workbook_order_17.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_17.csv --output /tmp/vanderbilt_reviewer_patch_order_17.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_17.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":2,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_0bf1ce76b8977f8b7609"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_27fee540442e7a820c59,9,7972,scope_or_recourse_micro_slice,ready_for_bounded_human_reviewer_input,18,vanderbilt_public_reviewer_operator_packet_0ae2f32f4e8dc8d0b370,linked_scope_metadata_review,vanderbilt_program_fellowship-advanced-inflammatory-bowel-disease-https-medicin_4a3960c8c48c,Advanced Inflammatory Bowel Disease,1,/tmp/vanderbilt_reviewer_workbook_order_18.csv,/tmp/vanderbilt_reviewer_patch_order_18.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 18 --output /tmp/vanderbilt_reviewer_workbook_order_18.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_18.csv --output /tmp/vanderbilt_reviewer_patch_order_18.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_18.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":2,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_cc0efc1c80e46e5b3186"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
vanderbilt_reviewer_slice_prioritization_560581f4597da96b9778,10,7971,scope_or_recourse_micro_slice,ready_for_bounded_human_reviewer_input,19,vanderbilt_public_reviewer_operator_packet_345ff46474ab836b5595,linked_scope_metadata_review,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,1,/tmp/vanderbilt_reviewer_workbook_order_19.csv,/tmp/vanderbilt_reviewer_patch_order_19.csv,python3 scripts/slice_vanderbilt_reviewer_decision_patch_workbook.py --execution-order 19 --output /tmp/vanderbilt_reviewer_workbook_order_19.csv,python3 scripts/extract_vanderbilt_reviewer_decision_patch.py --workbook /tmp/vanderbilt_reviewer_workbook_order_19.csv --output /tmp/vanderbilt_reviewer_patch_order_19.csv,python3 scripts/apply_vanderbilt_reviewer_decision_patch.py --patch /tmp/vanderbilt_reviewer_patch_order_19.csv,blank_slice_fail_closed_verified,true,0,true,"Slice this workbook to /tmp, fill only the allowed non-mutating reviewer-action fields for this bounded slice, extract a strict patch, run the patch helper as a dry run, and do not run --apply until reviewed.",Strict patch extraction succeeds only after filled reviewer rows are present; dry-run apply reports valid_non_mutating_rows for the slice while accepted_person_rows remains 0 and apply_executed remains false.,person_ingestion; denominator_closure; parser_acceptance; scope_closure; url_rewrite; identity_collapse,fill_reviewer_decisions_without_operator_action; extract_filled_patch_without_review; apply_reviewer_patch; accept_person; ingest_person; close_denominator; verify_vanderbilt_school; rewrite_url; publish_raw_candidate_label; publish_raw_person_url; accept_enrichment; collapse_identity,0,false,false,false,d16ccc0adbb0be4a5fd5b59bdcf82ecb976e1d032baa1d3c9d92bf861c4179c4,ac16e7d92c4992c248162c05778abc4739a487aa01ffe8bc6dde21d6b372dafa,8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e,e75fc27de3e1374e1e945efe207adbfb4cc04c4c7bc969afe4eaa3d0eb8e93de,"{""assignment_group"":2,""blank_execution_rowset_sha256"":""8214eb3162fd6c56206c6c937b78fcd0ee485e5cdb6ca681737f8a64a378f02e"",""blank_execution_verification_key"":""vanderbilt_blank_execution_verification_7a1fcb7b06780605a302"",""decision_audit_pending_rows"":159,""decision_audit_valid_non_mutating_rows"":0,""rank_basis"":[""assignment_group"",""workbook_row_count"",""execution_order""]}","Non-mutating Vanderbilt reviewer slice prioritization plan. It ranks the 20 fail-closed reviewer slices using only public-safe lane, row-count, command-surface, and blank-execution verification metrics. It does not fill reviewer decisions, extract filled patches, run apply, approve people, ingest people, close denominators, verify Vanderbilt as a school, rewrite URLs, accept enrichment facts, publish raw candidate labels or person URLs, or collapse identities.",2026-06-09T09:00:54.658110+00:00
