followup_packet_key,source_next_packet_key,source_packet_key,observation_key,approval_request_key,request_order,program_key,program_name,program_type,route_role,fetch_url,final_url,http_status,packet_family,followup_lane,followup_packet_status,parser_test_design_allowed,scope_disposition_review_allowed,route_recourse_review_allowed,web_fetch_allowed,parser_execution_allowed,parser_implementation_allowed,parser_acceptance_allowed,person_ingestion_allowed,denominator_closure_allowed,school_verification_allowed,url_rewrite_allowed,identity_collapse_allowed,accepted_person_rows,required_operator_action,required_evidence_boundary,required_evidence_fields_json,next_required_approval,source_content_sha256,source_visible_text_sha256,gbrain_advisory_line,mutation_policy,generated_at
vanderbilt_slice_2_followup_packet_5485faf7c4aa1cf99a85,vanderbilt_slice_2_approved_parser_scope_next_f5eb81ffb132f4462d64,vanderbilt_slice_2_route_parser_scope_approval_48fe4b317834cccaee54,vanderbilt_slice_2_live_route_observation_45cf9dce199ba56ece63,vanderbilt_slice_2_live_fetch_approval_request_38a5027a12e28ea785fb,5,vanderbilt_program_fellowship-emergency-medical-services-https-www-vanderbiltem_71c2d78aefa0,Emergency Medical Services,fellowship,candidate_context,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,200,broader_context_source_discovery_recourse_packet,broader_context_source_discovery_recourse,non_mutating_broader_context_recourse_packet_ready,false,true,true,false,false,false,false,false,false,false,false,false,0,"Draft broader-context recourse evidence: why the observed page is not sufficient current-roster evidence, stronger official source anchors to seek later, and unresolved-gap handling.","Use committed route metadata, route role, hashes, and source-discovery anchor planning only. Do not fetch, accept context as roster truth, close denominators, or ingest people.","[""context_not_current_roster_rationale"",""stronger_source_anchor_plan"",""future_source_discovery_query_plan"",""unresolved_gap_disposition_options"",""no_denominator_closure_confirmation""]",exact_source_discovery_fetch_or_unresolved_gap_disposition_approval_required,c1aa279cc4c39346e4dee68473b4435855a4b06025b331acbe3e569d8db7dc65,c331b9a7c12abd68697036aa6c75dccd960423fab5809f548f657bdb34d4d79f,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_26a99a6205f998dbd3c4,vanderbilt_slice_2_approved_parser_scope_next_3786ba39502f5eeff0f6,vanderbilt_slice_2_route_parser_scope_approval_4cfc942bd407c6931830,vanderbilt_slice_2_live_route_observation_6dd0aff9edfd81fd3ba3,vanderbilt_slice_2_live_fetch_approval_request_ffd5e92cc246c56a3282,6,vanderbilt_program_fellowship-emergency-medicine-simulation-https-www-vanderbil_b0fff3506a71,Emergency Medicine Simulation,fellowship,candidate_context,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,200,broader_context_source_discovery_recourse_packet,broader_context_source_discovery_recourse,non_mutating_broader_context_recourse_packet_ready,false,true,true,false,false,false,false,false,false,false,false,false,0,"Draft broader-context recourse evidence: why the observed page is not sufficient current-roster evidence, stronger official source anchors to seek later, and unresolved-gap handling.","Use committed route metadata, route role, hashes, and source-discovery anchor planning only. Do not fetch, accept context as roster truth, close denominators, or ingest people.","[""context_not_current_roster_rationale"",""stronger_source_anchor_plan"",""future_source_discovery_query_plan"",""unresolved_gap_disposition_options"",""no_denominator_closure_confirmation""]",exact_source_discovery_fetch_or_unresolved_gap_disposition_approval_required,c1aa279cc4c39346e4dee68473b4435855a4b06025b331acbe3e569d8db7dc65,c331b9a7c12abd68697036aa6c75dccd960423fab5809f548f657bdb34d4d79f,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_301e46cbd901e3ffd290,vanderbilt_slice_2_approved_parser_scope_next_7c1d545b2234983c6feb,vanderbilt_slice_2_route_parser_scope_approval_f6736a1fc5ce279dad08,vanderbilt_slice_2_live_route_observation_00bb9d06d8e4f8deba3b,vanderbilt_slice_2_live_fetch_approval_request_9062a4640bcef29579ac,7,vanderbilt_program_fellowship-emergency-medicine-ultrasound-https-www-vanderbil_63f60e0a2eab,Emergency Medicine Ultrasound,fellowship,candidate_context,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,200,broader_context_source_discovery_recourse_packet,broader_context_source_discovery_recourse,non_mutating_broader_context_recourse_packet_ready,false,true,true,false,false,false,false,false,false,false,false,false,0,"Draft broader-context recourse evidence: why the observed page is not sufficient current-roster evidence, stronger official source anchors to seek later, and unresolved-gap handling.","Use committed route metadata, route role, hashes, and source-discovery anchor planning only. Do not fetch, accept context as roster truth, close denominators, or ingest people.","[""context_not_current_roster_rationale"",""stronger_source_anchor_plan"",""future_source_discovery_query_plan"",""unresolved_gap_disposition_options"",""no_denominator_closure_confirmation""]",exact_source_discovery_fetch_or_unresolved_gap_disposition_approval_required,c1aa279cc4c39346e4dee68473b4435855a4b06025b331acbe3e569d8db7dc65,c331b9a7c12abd68697036aa6c75dccd960423fab5809f548f657bdb34d4d79f,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_f33f08dcad12679bb670,vanderbilt_slice_2_approved_parser_scope_next_68760d2c5cf72011839f,vanderbilt_slice_2_route_parser_scope_approval_315135cabb2b80aef2d4,vanderbilt_slice_2_live_route_observation_4755fec72ee64489fedb,vanderbilt_slice_2_live_fetch_approval_request_29e50e937c89e10def56,9,vanderbilt_program_fellowship-global-emergency-medicine-https-www-vanderbiltem-_f9046fdc61e8,Global Emergency Medicine,fellowship,candidate_context,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,200,broader_context_source_discovery_recourse_packet,broader_context_source_discovery_recourse,non_mutating_broader_context_recourse_packet_ready,false,true,true,false,false,false,false,false,false,false,false,false,0,"Draft broader-context recourse evidence: why the observed page is not sufficient current-roster evidence, stronger official source anchors to seek later, and unresolved-gap handling.","Use committed route metadata, route role, hashes, and source-discovery anchor planning only. Do not fetch, accept context as roster truth, close denominators, or ingest people.","[""context_not_current_roster_rationale"",""stronger_source_anchor_plan"",""future_source_discovery_query_plan"",""unresolved_gap_disposition_options"",""no_denominator_closure_confirmation""]",exact_source_discovery_fetch_or_unresolved_gap_disposition_approval_required,c1aa279cc4c39346e4dee68473b4435855a4b06025b331acbe3e569d8db7dc65,c331b9a7c12abd68697036aa6c75dccd960423fab5809f548f657bdb34d4d79f,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_2efe3722a967eee9bc22,vanderbilt_slice_2_approved_parser_scope_next_71347bbff4e2087af0d0,vanderbilt_slice_2_route_parser_scope_approval_2d49191d32c6b37866f2,vanderbilt_slice_2_live_route_observation_114beebfb19763ddbd99,vanderbilt_slice_2_live_fetch_approval_request_38a5027a12e28ea785fb,5,vanderbilt_program_fellowship-emergency-medical-services-https-www-vanderbiltem_71c2d78aefa0,Emergency Medical Services,fellowship,denominator,https://www.vanderbiltem.com/ems1,https://emergencymedicine.vumc.org/,200,denominator_redirect_recourse_packet,denominator_redirect_recourse,non_mutating_denominator_redirect_recourse_packet_ready,false,false,true,false,false,false,false,false,false,false,false,false,0,"Draft redirect recourse evidence: requested URL, observed final URL, hash evidence, replacement-route anchors to seek later, and unresolved-route disposition.","Use committed URL/final-URL/hash evidence and replacement-anchor planning only. Do not fetch, rewrite URLs, close gaps, or accept route replacement without exact approval.","[""requested_route"",""observed_final_route"",""redirect_or_mismatch_rationale"",""replacement_route_anchor_plan"",""no_source_url_rewrite_confirmation""]",exact_route_replacement_or_unresolved_gap_disposition_approval_required,0ee8f6a59ba677f53d031a86e06cad1091f2b9c74e3f39fa3330cf8cea099a3f,21b39935fdd34a17c1574a7b324513c8cea14f07af959b6a031dfa9774b9f989,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_643a65b465cfa45b4794,vanderbilt_slice_2_approved_parser_scope_next_e625e763a4e58efff5b9,vanderbilt_slice_2_route_parser_scope_approval_104f30ca1fc5ee464f95,vanderbilt_slice_2_live_route_observation_3f8455f39fea0332ceb5,vanderbilt_slice_2_live_fetch_approval_request_ffd5e92cc246c56a3282,6,vanderbilt_program_fellowship-emergency-medicine-simulation-https-www-vanderbil_b0fff3506a71,Emergency Medicine Simulation,fellowship,denominator,https://www.vanderbiltem.com/simulation,https://emergencymedicine.vumc.org/,200,denominator_redirect_recourse_packet,denominator_redirect_recourse,non_mutating_denominator_redirect_recourse_packet_ready,false,false,true,false,false,false,false,false,false,false,false,false,0,"Draft redirect recourse evidence: requested URL, observed final URL, hash evidence, replacement-route anchors to seek later, and unresolved-route disposition.","Use committed URL/final-URL/hash evidence and replacement-anchor planning only. Do not fetch, rewrite URLs, close gaps, or accept route replacement without exact approval.","[""requested_route"",""observed_final_route"",""redirect_or_mismatch_rationale"",""replacement_route_anchor_plan"",""no_source_url_rewrite_confirmation""]",exact_route_replacement_or_unresolved_gap_disposition_approval_required,0ee8f6a59ba677f53d031a86e06cad1091f2b9c74e3f39fa3330cf8cea099a3f,21b39935fdd34a17c1574a7b324513c8cea14f07af959b6a031dfa9774b9f989,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_c4aacca894b81b8f86dc,vanderbilt_slice_2_approved_parser_scope_next_9f5aadbf7d4c90317e11,vanderbilt_slice_2_route_parser_scope_approval_0fdffac6c7eddd2ba8c9,vanderbilt_slice_2_live_route_observation_4551203c4a4344f787fa,vanderbilt_slice_2_live_fetch_approval_request_9062a4640bcef29579ac,7,vanderbilt_program_fellowship-emergency-medicine-ultrasound-https-www-vanderbil_63f60e0a2eab,Emergency Medicine Ultrasound,fellowship,denominator,https://www.vanderbiltem.com/us-f,https://emergencymedicine.vumc.org/,200,denominator_redirect_recourse_packet,denominator_redirect_recourse,non_mutating_denominator_redirect_recourse_packet_ready,false,false,true,false,false,false,false,false,false,false,false,false,0,"Draft redirect recourse evidence: requested URL, observed final URL, hash evidence, replacement-route anchors to seek later, and unresolved-route disposition.","Use committed URL/final-URL/hash evidence and replacement-anchor planning only. Do not fetch, rewrite URLs, close gaps, or accept route replacement without exact approval.","[""requested_route"",""observed_final_route"",""redirect_or_mismatch_rationale"",""replacement_route_anchor_plan"",""no_source_url_rewrite_confirmation""]",exact_route_replacement_or_unresolved_gap_disposition_approval_required,0ee8f6a59ba677f53d031a86e06cad1091f2b9c74e3f39fa3330cf8cea099a3f,21b39935fdd34a17c1574a7b324513c8cea14f07af959b6a031dfa9774b9f989,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_ec417939336baa861405,vanderbilt_slice_2_approved_parser_scope_next_d671f7d3f985a3265966,vanderbilt_slice_2_route_parser_scope_approval_bdfc1158c53956a4af01,vanderbilt_slice_2_live_route_observation_ace36f482eef8beaa8fd,vanderbilt_slice_2_live_fetch_approval_request_29e50e937c89e10def56,9,vanderbilt_program_fellowship-global-emergency-medicine-https-www-vanderbiltem-_f9046fdc61e8,Global Emergency Medicine,fellowship,denominator,https://www.vanderbiltem.com/global-em,https://emergencymedicine.vumc.org/,200,denominator_redirect_recourse_packet,denominator_redirect_recourse,non_mutating_denominator_redirect_recourse_packet_ready,false,false,true,false,false,false,false,false,false,false,false,false,0,"Draft redirect recourse evidence: requested URL, observed final URL, hash evidence, replacement-route anchors to seek later, and unresolved-route disposition.","Use committed URL/final-URL/hash evidence and replacement-anchor planning only. Do not fetch, rewrite URLs, close gaps, or accept route replacement without exact approval.","[""requested_route"",""observed_final_route"",""redirect_or_mismatch_rationale"",""replacement_route_anchor_plan"",""no_source_url_rewrite_confirmation""]",exact_route_replacement_or_unresolved_gap_disposition_approval_required,0ee8f6a59ba677f53d031a86e06cad1091f2b9c74e3f39fa3330cf8cea099a3f,21b39935fdd34a17c1574a7b324513c8cea14f07af959b6a031dfa9774b9f989,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_e1b020227a7d0ada5cb9,vanderbilt_slice_2_approved_parser_scope_next_42580597a28e5c5a6acd,vanderbilt_slice_2_route_parser_scope_approval_b17bdcd8b608526e1e0b,vanderbilt_slice_2_live_route_observation_b45188a44b9fdac1e5c3,vanderbilt_slice_2_live_fetch_approval_request_8b8e3efede5968e3378c,1,vanderbilt_program_residency-plastic-surgery-integrated-https-www-vumc-org-plas_79cf74826980,Plastic Surgery-Integrated,residency,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,200,related_scope_context_disposition_packet,related_scope_context_disposition_review,non_mutating_scope_disposition_packet_ready,false,true,false,false,false,false,false,false,false,false,false,false,0,"Draft scope-disposition evidence for the related/context route: same-target support, related-context only, exclusion, or recourse routing, with no URL rewrite or denominator closure.","Use committed route metadata, route role, hashes, and scope rationale options only. Do not fetch, rewrite source URLs, close gaps, or ingest people.","[""scope_classification_options"",""target_support_rationale"",""related_context_rationale"",""exclusion_or_recourse_rationale"",""no_url_rewrite_confirmation""]",exact_scope_disposition_acceptance_or_recourse_approval_required,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
vanderbilt_slice_2_followup_packet_4701835ed79c83e498e0,vanderbilt_slice_2_approved_parser_scope_next_fa6ef57eacf5403b0e7f,vanderbilt_slice_2_route_parser_scope_approval_b127ea0add4c3730e55e,vanderbilt_slice_2_live_route_observation_24ab6cb1c134f6d8c5c9,vanderbilt_slice_2_live_fetch_approval_request_c0885b36bf826a256a2a,2,vanderbilt_program_fellowship-adult-and-pediatric-craniofacial-https-www-vumc-o_d95dd3b28074,Adult and Pediatric Craniofacial,fellowship,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,200,related_scope_context_disposition_packet,related_scope_context_disposition_review,non_mutating_scope_disposition_packet_ready,false,true,false,false,false,false,false,false,false,false,false,false,0,"Draft scope-disposition evidence for the related/context route: same-target support, related-context only, exclusion, or recourse routing, with no URL rewrite or denominator closure.","Use committed route metadata, route role, hashes, and scope rationale options only. Do not fetch, rewrite source URLs, close gaps, or ingest people.","[""scope_classification_options"",""target_support_rationale"",""related_context_rationale"",""exclusion_or_recourse_rationale"",""no_url_rewrite_confirmation""]",exact_scope_disposition_acceptance_or_recourse_approval_required,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,APPROVE option_a_combined_followup_packet_set,"Combined non-mutating Vanderbilt slice-2 follow-up packet set. It converts the approved parser/scope next-packet ledger into row-level packet families and required evidence boundaries for target-route parser-build review, related-scope disposition, broader-context recourse, and denominator-redirect recourse. It does not fetch web pages, execute parsers, accept parser output, ingest people, mutate training states, close denominators, verify Vanderbilt as a school, rewrite URLs, accept unsupported labels or enrichment facts, publish raw dumps, or collapse unique-person identities.",2026-06-09T11:27:20.087847+00:00
