packet_key,observation_key,approval_request_key,request_order,source_execution_plan_key,gap_key,program_key,program_name,program_type,plan_lane,route_role,fetch_url,final_url,http_status,candidate_route_signal,source_recommended_next_packet,approval_request_lane,packet_status,approval_scope_requested,permitted_if_exactly_approved,prohibited_after_approval,required_next_artifact_if_approved,required_next_artifact_if_denied,content_sha256,visible_text_sha256,route_signal_json,mutation_policy,generated_at
vanderbilt_slice_2_route_parser_scope_approval_b17bdcd8b608526e1e0b,vanderbilt_slice_2_live_route_observation_b45188a44b9fdac1e5c3,vanderbilt_slice_2_live_fetch_approval_request_8b8e3efede5968e3378c,1,vanderbilt_slice_2_execution_plan_d5ddade90a3f11101b95,school_gap_resolution_b78b691c12dd8f4a7e53,vanderbilt_program_residency-plastic-surgery-integrated-https-www-vumc-org-plas_79cf74826980,Plastic Surgery-Integrated,residency,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,related_scope_context_disposition_review,related_scope_context_needs_exact_gbrain_approval,"Approve non-mutating scope disposition for related-scope/person-list context routes. Approval would allow classifying the route as target-supporting, related-context-only, exclusion evidence, or recourse input.",scope_disposition_metadata_only,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_related_scope_disposition_packet,retain_related_context_without_scope_disposition,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,"{""current_term_count"":""21"",""fellow_term_count"":""13"",""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":""2"",""person_anchor_count"":""53"",""resident_term_count"":""11"",""root_redirect_recourse"":false,""roster_anchor_count"":""6"",""route_role"":""candidate_context"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""true""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_ff17dc22479974db357f,vanderbilt_slice_2_live_route_observation_4271fc44a10b04891ac0,vanderbilt_slice_2_live_fetch_approval_request_8b8e3efede5968e3378c,1,vanderbilt_slice_2_execution_plan_d5ddade90a3f11101b95,school_gap_resolution_b78b691c12dd8f4a7e53,vanderbilt_program_residency-plastic-surgery-integrated-https-www-vumc-org-plas_79cf74826980,Plastic Surgery-Integrated,residency,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/integrated-residency-program,https://www.vumc.org/plasticsurgdept/integrated-residency-program,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,target_route_parser_build_review,target_route_parser_scope_candidate_needs_exact_gbrain_approval,"Approve target-route parser-build review for this official denominator route. Approval would allow parser-test design and candidate-only diagnostics for this route, not parser implementation or accepted people.",parser_build_review_and_candidate_only_test_design,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_target_route_parser_build_review_packet,retain_target_route_as_source_discovery_evidence,45597860c94639f832acc92503da75e5a9406e050391062cfb62a99765458fdd,fb594a3bb58858007090f24f0009ae08aa5665a6c06f8a7463af3d6c70d12dad,"{""current_term_count"":""22"",""fellow_term_count"":""12"",""fetch_status"":""fetched"",""heading_current_signal"":""false"",""heading_signal_count"":""0"",""person_anchor_count"":""17"",""resident_term_count"":""21"",""root_redirect_recourse"":false,""roster_anchor_count"":""5"",""route_role"":""denominator"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""false""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_b127ea0add4c3730e55e,vanderbilt_slice_2_live_route_observation_24ab6cb1c134f6d8c5c9,vanderbilt_slice_2_live_fetch_approval_request_c0885b36bf826a256a2a,2,vanderbilt_slice_2_execution_plan_d05e77b3a654e0f1fc2f,school_gap_resolution_8b38cca477ffd3c78fb5,vanderbilt_program_fellowship-adult-and-pediatric-craniofacial-https-www-vumc-o_d95dd3b28074,Adult and Pediatric Craniofacial,fellowship,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,related_scope_context_disposition_review,related_scope_context_needs_exact_gbrain_approval,"Approve non-mutating scope disposition for related-scope/person-list context routes. Approval would allow classifying the route as target-supporting, related-context-only, exclusion evidence, or recourse input.",scope_disposition_metadata_only,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_related_scope_disposition_packet,retain_related_context_without_scope_disposition,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,"{""current_term_count"":""21"",""fellow_term_count"":""13"",""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":""2"",""person_anchor_count"":""53"",""resident_term_count"":""11"",""root_redirect_recourse"":false,""roster_anchor_count"":""6"",""route_role"":""candidate_context"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""true""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_9e373c01ab1abf33d877,vanderbilt_slice_2_live_route_observation_ba57b24a69b43a85c2c1,vanderbilt_slice_2_live_fetch_approval_request_c0885b36bf826a256a2a,2,vanderbilt_slice_2_execution_plan_d05e77b3a654e0f1fc2f,school_gap_resolution_8b38cca477ffd3c78fb5,vanderbilt_program_fellowship-adult-and-pediatric-craniofacial-https-www-vumc-o_d95dd3b28074,Adult and Pediatric Craniofacial,fellowship,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/pediatric-adult-craniofacial-fellowship,https://www.vumc.org/plasticsurgdept/pediatric-adult-craniofacial-fellowship,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,target_route_parser_build_review,target_route_parser_scope_candidate_needs_exact_gbrain_approval,"Approve target-route parser-build review for this official denominator route. Approval would allow parser-test design and candidate-only diagnostics for this route, not parser implementation or accepted people.",parser_build_review_and_candidate_only_test_design,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_target_route_parser_build_review_packet,retain_target_route_as_source_discovery_evidence,10bfb2dde56b304d1f1f0a710fda5c727a9680820aadd142a7c66b18d6f0129d,29ff7038dd311b8cb3ff82682389f9c70094b1a1b1b9d15d843eb39128868eed,"{""current_term_count"":""46"",""fellow_term_count"":""41"",""fetch_status"":""fetched"",""heading_current_signal"":""false"",""heading_signal_count"":""0"",""person_anchor_count"":""50"",""resident_term_count"":""10"",""root_redirect_recourse"":false,""roster_anchor_count"":""5"",""route_role"":""denominator"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""false""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_38e2be685eac57c609fb,vanderbilt_slice_2_live_route_observation_577e026bebd381e181b1,vanderbilt_slice_2_live_fetch_approval_request_384cadf96536a6289500,3,vanderbilt_slice_2_execution_plan_4af5598b7275aa1bb02e,school_gap_resolution_0b44b65fe4b5db3557a9,vanderbilt_program_fellowship-hand-surgery-plastic-surgery-https-www-vumc-org-p_737250a0e0f9,Hand Surgery (Plastic Surgery),fellowship,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/facial-aesthetic-surgery-team,https://www.vumc.org/plasticsurgdept/person/facial-aesthetic-surgery-team,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,related_scope_context_disposition_review,related_scope_context_needs_exact_gbrain_approval,"Approve non-mutating scope disposition for related-scope/person-list context routes. Approval would allow classifying the route as target-supporting, related-context-only, exclusion evidence, or recourse input.",scope_disposition_metadata_only,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_related_scope_disposition_packet,retain_related_context_without_scope_disposition,5edf01ee39974f250714a9fab0ccb38114bc768ebd459250524496d44c7dbdcd,7928765656f2310338e15d36268b7fbcd8a69e4a72071f8a256808aabf8223ed,"{""current_term_count"":""9"",""fellow_term_count"":""10"",""fetch_status"":""fetched"",""heading_current_signal"":""false"",""heading_signal_count"":""0"",""person_anchor_count"":""26"",""resident_term_count"":""6"",""root_redirect_recourse"":false,""roster_anchor_count"":""5"",""route_role"":""candidate_context"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""false""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_970492643e24caf37f03,vanderbilt_slice_2_live_route_observation_4655ff98eb41083356b3,vanderbilt_slice_2_live_fetch_approval_request_384cadf96536a6289500,3,vanderbilt_slice_2_execution_plan_4af5598b7275aa1bb02e,school_gap_resolution_0b44b65fe4b5db3557a9,vanderbilt_program_fellowship-hand-surgery-plastic-surgery-https-www-vumc-org-p_737250a0e0f9,Hand Surgery (Plastic Surgery),fellowship,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,target_route_parser_build_review,target_route_parser_scope_candidate_needs_exact_gbrain_approval,"Approve target-route parser-build review for this official denominator route. Approval would allow parser-test design and candidate-only diagnostics for this route, not parser implementation or accepted people.",parser_build_review_and_candidate_only_test_design,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_target_route_parser_build_review_packet,retain_target_route_as_source_discovery_evidence,60a793d85e339aee8a51bcc71796ae307003d42294d1ff93933fd973b1434be6,bf841e905e784922dd1a2af459fa759f01b8800a6e982db741e9a9c70f186b17,"{""current_term_count"":""10"",""fellow_term_count"":""13"",""fetch_status"":""fetched"",""heading_current_signal"":""false"",""heading_signal_count"":""0"",""person_anchor_count"":""16"",""resident_term_count"":""10"",""root_redirect_recourse"":false,""roster_anchor_count"":""5"",""route_role"":""denominator"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""false""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_9922007e77ca71c2d0bc,vanderbilt_slice_2_live_route_observation_6a99100e55ed5b5a8702,vanderbilt_slice_2_live_fetch_approval_request_e9c496d78e57231741e5,4,vanderbilt_slice_2_execution_plan_ca36f7c1af3a445079a1,school_gap_resolution_bf2245ea811ffe549128,vanderbilt_program_fellowship-plastic-surgery-https-www-vumc-org-plasticsurgdep_563db0d8d563,Plastic Surgery,fellowship,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,related_scope_context_disposition_review,related_scope_context_needs_exact_gbrain_approval,"Approve non-mutating scope disposition for related-scope/person-list context routes. Approval would allow classifying the route as target-supporting, related-context-only, exclusion evidence, or recourse input.",scope_disposition_metadata_only,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_related_scope_disposition_packet,retain_related_context_without_scope_disposition,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,"{""current_term_count"":""21"",""fellow_term_count"":""13"",""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":""2"",""person_anchor_count"":""53"",""resident_term_count"":""11"",""root_redirect_recourse"":false,""roster_anchor_count"":""6"",""route_role"":""candidate_context"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""true""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_ab5735c6a66b64fbe825,vanderbilt_slice_2_live_route_observation_eb760734d991b001dda7,vanderbilt_slice_2_live_fetch_approval_request_e9c496d78e57231741e5,4,vanderbilt_slice_2_execution_plan_ca36f7c1af3a445079a1,school_gap_resolution_bf2245ea811ffe549128,vanderbilt_program_fellowship-plastic-surgery-https-www-vumc-org-plasticsurgdep_563db0d8d563,Plastic Surgery,fellowship,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,target_route_parser_build_review,target_route_parser_scope_candidate_needs_exact_gbrain_approval,"Approve target-route parser-build review for this official denominator route. Approval would allow parser-test design and candidate-only diagnostics for this route, not parser implementation or accepted people.",parser_build_review_and_candidate_only_test_design,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_target_route_parser_build_review_packet,retain_target_route_as_source_discovery_evidence,60a793d85e339aee8a51bcc71796ae307003d42294d1ff93933fd973b1434be6,bf841e905e784922dd1a2af459fa759f01b8800a6e982db741e9a9c70f186b17,"{""current_term_count"":""10"",""fellow_term_count"":""13"",""fetch_status"":""fetched"",""heading_current_signal"":""false"",""heading_signal_count"":""0"",""person_anchor_count"":""16"",""resident_term_count"":""10"",""root_redirect_recourse"":false,""roster_anchor_count"":""5"",""route_role"":""denominator"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""false""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_48fe4b317834cccaee54,vanderbilt_slice_2_live_route_observation_45cf9dce199ba56ece63,vanderbilt_slice_2_live_fetch_approval_request_38a5027a12e28ea785fb,5,vanderbilt_slice_2_execution_plan_a9a144812f986a0829b7,school_gap_resolution_017265de49ee7b8a272c,vanderbilt_program_fellowship-emergency-medical-services-https-www-vanderbiltem_71c2d78aefa0,Emergency Medical Services,fellowship,broader_official_search_plan,candidate_context,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,broader_context_recourse_review,broader_context_recourse_candidate_needs_exact_gbrain_approval,Approve non-mutating recourse review for broader official context or graduation/outcome pages. Approval would allow route-context classification and stronger current-roster source discovery only.,broader_context_classification_and_source_discovery_recourse,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_broader_context_recourse_packet,retain_broader_context_as_non_roster_source_discovery_evidence,c1aa279cc4c39346e4dee68473b4435855a4b06025b331acbe3e569d8db7dc65,c331b9a7c12abd68697036aa6c75dccd960423fab5809f548f657bdb34d4d79f,"{""current_term_count"":""65"",""fellow_term_count"":""58"",""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":""2"",""person_anchor_count"":""0"",""resident_term_count"":""33"",""root_redirect_recourse"":false,""roster_anchor_count"":""6"",""route_role"":""candidate_context"",""same_domain_final_url"":""true"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""true""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
vanderbilt_slice_2_route_parser_scope_approval_2d49191d32c6b37866f2,vanderbilt_slice_2_live_route_observation_114beebfb19763ddbd99,vanderbilt_slice_2_live_fetch_approval_request_38a5027a12e28ea785fb,5,vanderbilt_slice_2_execution_plan_a9a144812f986a0829b7,school_gap_resolution_017265de49ee7b8a272c,vanderbilt_program_fellowship-emergency-medical-services-https-www-vanderbiltem_71c2d78aefa0,Emergency Medical Services,fellowship,broader_official_search_plan,denominator,https://www.vanderbiltem.com/ems1,https://emergencymedicine.vumc.org/,200,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,denominator_redirect_recourse_review,redirect_recourse_candidate_needs_exact_gbrain_approval,"Approve non-mutating recourse for denominator routes that redirect away from the requested program path, including stronger official-source discovery or route replacement review only.",route_recourse_or_replacement_review_only,live_web_fetch; parser_implementation; parser_acceptance; person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; enrichment_acceptance; profile_fact_acceptance; contact_fact_acceptance; research_fact_acceptance; raw_dump_publication; unique_person_identity_collapse,vanderbilt_slice_2_denominator_redirect_recourse_packet,retain_denominator_redirect_as_context_evidence_without_parser_review,0ee8f6a59ba677f53d031a86e06cad1091f2b9c74e3f39fa3330cf8cea099a3f,21b39935fdd34a17c1574a7b324513c8cea14f07af959b6a031dfa9774b9f989,"{""current_term_count"":""7"",""fellow_term_count"":""2"",""fetch_status"":""fetched"",""heading_current_signal"":""false"",""heading_signal_count"":""0"",""person_anchor_count"":""0"",""resident_term_count"":""4"",""root_redirect_recourse"":true,""roster_anchor_count"":""6"",""route_role"":""denominator"",""same_domain_final_url"":""false"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b"",""source_route_observation_rowset_sha256"":""c606878519468dacb24ba3579ddb382f3d234abea8048db4d57f5ede6a06bbf0"",""title_current_signal"":""false""}","Non-mutating Vanderbilt slice-2 route parser/scope approval-request packet. It classifies the 18 approved live route observations into target-route parser-build review, related-scope/context disposition, broader official-context recourse, or denominator-redirect recourse lanes. It requests exact future approval only; it does not allow web fetching, parser implementation, parser acceptance, person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, raw dump publication, or identity collapse.",2026-06-09T11:00:41.984838+00:00
