review_packet_key,gap_key,program_key,program_name,candidate_url,effective_url,candidate_status,candidate_confidence,source_selection_reason,roster_signal_count,person_signal_count,current_card_count,candidate_roster_link_count,top_roster_link_url,top_roster_link_text,parser_review_lane,review_priority,parser_readiness_status,recommended_next_action,gbrain_registration_status,mutation_policy,evidence_json,generated_at
vanderbilt_targeted_parser_scope_review_a44b802a9a642744e97b,school_gap_resolution_f597e11575f734a40105,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,https://www.vumc.org/generalsurgeryresidency/current-residents,https://www.vumc.org/generalsurgeryresidency/current-residents,official_candidate_roster_text_without_supported_people,medium,general_surgery_medium_current_residents_review_row,6,0,0,3,https://www.vumc.org/generalsurgeryresidency/current-residents,Current Residents Home,rendered_current_residents_scope_review,10,medium_signal_rendered_or_js_parser_review_required,Run rendered/headed review of the official current-residents route before parser acceptance or closure.,approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[],""roster_links"":[{""text"":""Current Residents Home"",""url"":""https://www.vumc.org/generalsurgeryresidency/current-residents""},{""text"":""Current Residents"",""url"":""https://www.vumc.org/generalsurgeryresidency/current-residents""},{""text"":""Current Residents"",""url"":""https://www.vumc.org/generalsurgeryresidency/current-residents""}],""source_selection_reason"":""general_surgery_medium_current_residents_review_row"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_27038b3c9b8478194df4"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Current Residents | General Surgery Residency Skip to main content Giving Careers Patient Care Referring Providers Price Transparency Employee Resources MyWorkday search Search What are you looking for? Search Search search Menu open menu Close close menu Search Home Home Home Chair of Department of Surgery's Message Program Director's Message Mentorship Program Mentorship Program Home Faculty Fellowship Advisors Faculty Mentors Mentee Responsibilities & Resources Mentor Responsibilities & Resou""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_2a9a1d34f212980af182,school_gap_resolution_0f722f151b4e935afbe1,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/general-pediatrics-fellowship,https://pediatrics.vumc.org/general-pediatrics-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,4,1,0,2,https://pediatrics.vumc.org/node/1106,Current Fellows,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""academic"",""pediatrics""],""roster_links"":[{""text"":""Current Fellows"",""url"":""https://pediatrics.vumc.org/node/1106""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/house-staff""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_2e30bed320830304d059"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Academic General Pediatrics Fellowship | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Contact Doctor Directory Lo""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_ae11c857333d89ad060a,school_gap_resolution_a1eec6daa5d6f7a13a75,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/developmental-behavioral-pediatrics-fellowship,https://pediatrics.vumc.org/developmental-behavioral-pediatrics-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,2,2,0,2,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,Current Fellows and Alumni,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""behavioral"",""developmental"",""pediatrics""],""roster_links"":[{""text"":""Current Fellows and Alumni"",""url"":""https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/house-staff""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_36dd93fbd5384b1eeed7"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Developmental-Behavioral Pediatrics Fellowship Program | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Contact Doc""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_11275947a4ae8c90d8af,school_gap_resolution_fc81125bf7a9850abf6f,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/gastroenterology-fellowship,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/gastroenterology-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,3,3,0,1,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,Our Fellows,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""gastroenterology""],""roster_links"":[{""text"":""Our Fellows"",""url"":""https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_109e68dc246883a0eb21"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Gastroenterology Fellowship | Department of Medicine Skip to main content Toggle menu Give Now For Patients School Of Medicine About Leadership Department Directory News Events Annual Report Nashville Divisions Allergy, Pulmonary and Critical Care Medicine Cardiovascular Medicine Diabetes, Endocrinology and Metabolism Epidemiology Gastroenterology, Hepatology and Nutrition General Internal Medicine and Public Health Genetic Medicine and Clinical Pharmacology Geriatric Medicine Hematology and Onc""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_f41392574188e34ce668,school_gap_resolution_1695ed7c90ad875ce03a,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,https://pediatrics.vumc.org/neonatal-perinatal-medicine-fellowship,https://pediatrics.vumc.org/neonatal-perinatal-medicine-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,3,1,0,2,https://pediatrics.vumc.org/person/current-neonatal-perinatal-medicine-fellows,Current Fellows and Alumni,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""neonatal"",""perinatal""],""roster_links"":[{""text"":""Current Fellows and Alumni"",""url"":""https://pediatrics.vumc.org/person/current-neonatal-perinatal-medicine-fellows""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/tools-instructions-resources""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_d7a34cff240a65b45463"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Neonatal-Perinatal Medicine Fellowship | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Contact Doctor Directory Lo""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_f93be23dc1a806e1eaef,school_gap_resolution_2ce2602fe81a45792925,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,https://pediatrics.vumc.org/critical-care-fellowship,https://pediatrics.vumc.org/critical-care-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,2,2,0,2,https://pediatrics.vumc.org/person/current-pediatric-critical-care-fellows,Current Fellows and Alumni,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""care"",""critical""],""roster_links"":[{""text"":""Current Fellows and Alumni"",""url"":""https://pediatrics.vumc.org/person/current-pediatric-critical-care-fellows""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/house-staff""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_b20167472170232ec877"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Pediatric Critical Care Fellowship Program | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Contact Doctor Director""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_9ee55798f721f1c46ea3,school_gap_resolution_62172e6c6dacb6e00a3c,vanderbilt_program_fellowship-pediatric-emergency-medicine-https-pediatrics-vum_a6784ae6290b,Pediatric Emergency Medicine,https://pediatrics.vumc.org/emergency-medicine-fellowship,https://pediatrics.vumc.org/emergency-medicine-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,3,6,0,2,https://pediatrics.vumc.org/person/emergency-medicine-fellows,Current Fellows and Alumni,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""emergency""],""roster_links"":[{""text"":""Current Fellows and Alumni"",""url"":""https://pediatrics.vumc.org/person/emergency-medicine-fellows""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/house-staff""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_80480beca9d992d161f5"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Pediatric Emergency Medicine Fellowship | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Contact Doctor Directory L""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_1bfdaa8a1cf7f11720e5,school_gap_resolution_8503676648abe5715a63,vanderbilt_program_fellowship-pediatric-endocrinology-https-pediatrics-vumc-org_2949af87ab6f,Pediatric Endocrinology,https://pediatrics.vumc.org/endocrinology-fellowship,https://pediatrics.vumc.org/endocrinology-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,3,1,0,2,https://pediatrics.vumc.org/person/current-pediatric-endocrinology-fellows,Current Fellows and Alumni,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""endocrinology""],""roster_links"":[{""text"":""Current Fellows and Alumni"",""url"":""https://pediatrics.vumc.org/person/current-pediatric-endocrinology-fellows""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/house-staff""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_fd29173643b68a10fabe"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Pediatric Endocrinology Fellowship Program | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Contact Doctor Director""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_870dd6428ebda60a9ca7,school_gap_resolution_d26f7d5d2b8956ceb42c,vanderbilt_program_fellowship-pediatric-gastroenterology-https-pediatrics-vumc-_f3304fa0a202,Pediatric Gastroenterology,https://pediatrics.vumc.org/gastroenterology-fellowship,https://pediatrics.vumc.org/gastroenterology-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,6,4,0,2,https://pediatrics.vumc.org/person/current-pediatric-gastroenterology-hepatology-and-nutrition-fellows,Current Fellows and Alumni,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""gastroenterology""],""roster_links"":[{""text"":""Current Fellows and Alumni"",""url"":""https://pediatrics.vumc.org/person/current-pediatric-gastroenterology-hepatology-and-nutrition-fellows""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_ce01faee953443932a2e"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Gastroenterology, Hepatology, and Nutrition Fellowship Program | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Con""}",2026-06-09T02:50:42.489373+00:00
vanderbilt_targeted_parser_scope_review_b9657095e511284819f4,school_gap_resolution_09621a47c71f1d7789af,vanderbilt_program_fellowship-pediatric-hospital-medicine-https-pediatrics-vumc_fc2f034a3e09,Pediatric Hospital Medicine,https://pediatrics.vumc.org/hospital-medicine-fellowship,https://pediatrics.vumc.org/hospital-medicine-fellowship,official_candidate_current_roster_signal_needs_parser_review,high,high_confidence_current_roster_signal,4,1,0,2,https://pediatrics.vumc.org/person/current-pediatric-hospital-medicine-fellows,Current Fellows and Alumni,follow_same_program_roster_link_before_parser,8,linked_roster_candidate_needs_fetch_and_scope_review,"Fetch and inspect the same-program roster link, then prepare exact parser acceptance or disposition.",approved,"Non-mutating Vanderbilt targeted parser/scope review packet. It queues official candidate pages for parser design, rendered review, link-follow review, or scope disposition. It authorizes no person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile enrichment, contact acceptance, research fact acceptance, or unique-person identity collapse.","{""current_card_sample"":[],""program_tokens"":[""hospital""],""roster_links"":[{""text"":""Current Fellows and Alumni"",""url"":""https://pediatrics.vumc.org/person/current-pediatric-hospital-medicine-fellows""},{""text"":""Resources for Current Fellows"",""url"":""https://www.vumc.org/gme/house-staff""}],""source_selection_reason"":""high_confidence_current_roster_signal"",""source_workbench_key"":""vanderbilt_generalized_source_workbench_c02e430c34e6c1c22a55"",""source_workbench_rowset_sha256"":""dd72909d1f992209a414ef232d8c4d499de5de2a90cf45f49428153d1ebe1b71"",""text_excerpt"":""Welcome to the Pediatric Hospital Medicine Fellowship | Department of Pediatrics Skip to main content Vanderbilt University Medical Center MENU \u00d7 About About Home Our History Message from the Chair Administration/Leadership Events Divisions Centers and Institutes Research and Education Quality Improvement Quality Improvement Home MOC Part 4 Credit MOC Approved Projects Patient Care Faculty Directory Faculty Wellness Office of Faculty Development Open Faculty Positions Contact Doctor Directory Lo""}",2026-06-09T02:50:42.489373+00:00
