observation_key,execution_key,program_key,program_name,execution_lane,fetch_url,fetch_status,http_status,final_url,fetch_domain,final_domain,same_domain_final_url,content_type,elapsed_ms,content_length,content_sha256,visible_text_length,visible_text_sha256,title_current_signal,heading_current_signal,heading_signal_count,current_term_count,resident_term_count,fellow_term_count,person_anchor_count,roster_anchor_count,candidate_route_signal,recommended_next_packet,mutation_policy,evidence_json,generated_at
vanderbilt_targeted_route_observation_3281b5edb5dc4c804cf8,vanderbilt_targeted_parser_scope_execution_1263fe92fafb895463d2,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,ambiguous_roster_link_scope_review,https://www.vumc.org/ortho/2022-residency-match,fetched,404,https://www.vumc.org/ortho/2022-residency-match,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,176,62063,c62fb4641db7ef61acdb65346cb477329f938619067e0028f3b9f6855ec6dce2,3451,93ae3274bfdfceca4e002ae0223df581c75ecc635c877e76e35469403fcda531,false,false,0,2,9,2,16,3,http_error_needs_retry_or_recourse,linked_route_scope_review_or_recourse_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_1263fe92fafb895463d2"",""source_execution_lane"":""ambiguous_roster_link_scope_review"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_scope_review_or_recourse_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_46a04d5288a509e08737,vanderbilt_targeted_parser_scope_execution_20469fff5d8b8766da4d,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,linked_roster_route_fetch,https://pediatrics.vumc.org/node/1106,fetched,200,https://pediatrics.vumc.org/node/1106,pediatrics.vumc.org,pediatrics.vumc.org,true,text/html; charset=UTF-8,95,33240,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,2718,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,true,true,2,10,0,7,6,3,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_20469fff5d8b8766da4d"",""source_execution_lane"":""linked_roster_route_fetch"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_parser_acceptance_or_scope_disposition_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_61e8948c2c90ac7f5de0,vanderbilt_targeted_parser_scope_execution_b3826ca2fdb8fe969b41,vanderbilt_program_fellowship-advanced-endoscopy-https-medicine-vumc-org-advanc_20ef397616c3,Advanced Endoscopy,ambiguous_roster_link_scope_review,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,fetched,200,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,medicine.vumc.org,medicine.vumc.org,true,text/html; charset=UTF-8,191,103886,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,2801,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,false,true,8,26,6,24,0,2,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_scope_review_or_recourse_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_b3826ca2fdb8fe969b41"",""source_execution_lane"":""ambiguous_roster_link_scope_review"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_scope_review_or_recourse_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_f16c30ca65184cc6f7f8,vanderbilt_targeted_parser_scope_execution_2c8d3770f830864bef71,vanderbilt_program_fellowship-advanced-inflammatory-bowel-disease-https-medicin_4a3960c8c48c,Advanced Inflammatory Bowel Disease,ambiguous_roster_link_scope_review,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,fetched,200,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,medicine.vumc.org,medicine.vumc.org,true,text/html; charset=UTF-8,191,103886,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,2801,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,false,true,8,26,6,24,0,2,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_scope_review_or_recourse_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_2c8d3770f830864bef71"",""source_execution_lane"":""ambiguous_roster_link_scope_review"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_scope_review_or_recourse_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_8675cdc5e5bdefcdc1e5,vanderbilt_targeted_parser_scope_execution_36c6219e8f3b14521e03,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,linked_roster_route_fetch,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,fetched,200,https://pediatrics.vumc.org/person/developmental-behavioral-pediatrics-fellowship/fellows,pediatrics.vumc.org,pediatrics.vumc.org,true,text/html; charset=UTF-8,204,41751,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,3469,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,true,true,1,8,2,8,12,2,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_36c6219e8f3b14521e03"",""source_execution_lane"":""linked_roster_route_fetch"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_parser_acceptance_or_scope_disposition_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_428582feb6e6cb21efb2,vanderbilt_targeted_parser_scope_execution_4196b773dd8bab5f54c9,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,linked_roster_route_fetch,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,fetched,200,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,medicine.vumc.org,medicine.vumc.org,true,text/html; charset=UTF-8,191,103886,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,2801,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,false,true,8,26,6,24,0,2,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_4196b773dd8bab5f54c9"",""source_execution_lane"":""linked_roster_route_fetch"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_parser_acceptance_or_scope_disposition_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_b3df2ac84dc5fc538770,vanderbilt_targeted_parser_scope_execution_ae1c20826063f4fe4da4,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,rendered_current_residents_review,https://www.vumc.org/generalsurgeryresidency/current-residents,fetched,200,https://www.vumc.org/generalsurgeryresidency/current-residents,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,192,85192,756ae4b5a46a46ede155495eb784a276609a514badced0928fff4d79578755b6,6346,13b4a3f82ad1affe8a931768b67bfc4c587e53f31f9e440a5241a5d857eee0f8,true,true,2,21,21,4,4,16,official_route_current_roster_signal_needs_parser_scope_packet,general_surgery_rendered_review_disposition_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_ae1c20826063f4fe4da4"",""source_execution_lane"":""rendered_current_residents_review"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""general_surgery_rendered_review_disposition_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_8328f2480522cc24ecb8,vanderbilt_targeted_parser_scope_execution_c28a19bc8173b7f3101c,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,linked_roster_route_fetch,https://pediatrics.vumc.org/person/current-neonatal-perinatal-medicine-fellows,fetched,200,https://pediatrics.vumc.org/person/neonatal-perinatal-medicine-fellowship/fellows,pediatrics.vumc.org,pediatrics.vumc.org,true,text/html; charset=UTF-8,229,69084,5336a24f18e59835e3645d83e164f4e414482384b0937a8aaae69afb5bb5b97d,6762,61a0ca96010c2fa85a49b72e847931e786a54ca71d531e2c44d6c09b3e35f548,true,true,4,25,13,23,34,4,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_c28a19bc8173b7f3101c"",""source_execution_lane"":""linked_roster_route_fetch"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_parser_acceptance_or_scope_disposition_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_ff40c7afcbbfc6bb6d5d,vanderbilt_targeted_parser_scope_execution_6b5cd74e31d56337cdd0,vanderbilt_program_residency-orthopaedic-surgery-https-www-vumc-org-ortho-resid_070825d0060d,Orthopaedic Surgery,ambiguous_roster_link_scope_review,https://www.vumc.org/ortho/node/193,fetched,200,https://www.vumc.org/ortho/node/193,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,170,77326,8e9feb84b562e5e1092f3e4efcded50d633c6fa4f250847d6bd43925b06de55e,7627,17419ec92e52a4a55a689aa5a417e5d632d820a14877ea75d8e996d0f2728e27,true,true,2,15,20,2,16,6,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_scope_review_or_recourse_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_6b5cd74e31d56337cdd0"",""source_execution_lane"":""ambiguous_roster_link_scope_review"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_scope_review_or_recourse_packet""}",2026-06-09T04:29:32.373163+00:00
vanderbilt_targeted_route_observation_d22bc3924124d7aa31a5,vanderbilt_targeted_parser_scope_execution_fe9d73bb10b30e65e769,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,linked_roster_route_fetch,https://pediatrics.vumc.org/person/current-pediatric-critical-care-fellows,fetched,200,https://pediatrics.vumc.org/person/critical-care-fellowship/fellows,pediatrics.vumc.org,pediatrics.vumc.org,true,text/html; charset=UTF-8,226,62997,e67bb95152b928d1ade234b95bd7d2cfd767b27126c80e7c85b4f19a810e8971,6830,c66c70455b63c3e027f0bb4280796eff49f4eb649d3ba5bc35994081e2e83dcb,true,true,4,23,12,24,26,4,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,"Non-mutating Vanderbilt targeted route observation ledger. It records fetch status, final URL, hashes, title/heading booleans, and coarse current-roster route signals for official public pages. It stores no raw browser dump, raw HTML dump, raw text dump, raw headings, raw anchor samples, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment acceptance, or identity collapse.","{""fetch_error"":"""",""source_execution_key"":""vanderbilt_targeted_parser_scope_execution_fe9d73bb10b30e65e769"",""source_execution_lane"":""linked_roster_route_fetch"",""source_execution_workbench_rowset_sha256"":""b9f7addcc552747c3b0d12459d5055efd60a08d610996aeeeff0a8ea095b2f3b"",""source_recommended_next_packet"":""linked_route_parser_acceptance_or_scope_disposition_packet""}",2026-06-09T04:29:32.373163+00:00
