packet_key,observation_key,execution_key,program_key,program_name,fetch_url,final_url,http_status,candidate_route_signal,source_recommended_next_packet,approval_request_lane,packet_status,approval_scope_requested,prohibited_after_approval,required_next_artifact_if_approved,required_next_artifact_if_denied,content_sha256,visible_text_sha256,route_signal_json,mutation_policy,generated_at
vanderbilt_targeted_route_parser_scope_25e09d6cec2bef6bb33d,vanderbilt_targeted_route_observation_46a04d5288a509e08737,vanderbilt_targeted_parser_scope_execution_20469fff5d8b8766da4d,vanderbilt_program_fellowship-academic-general-pediatrics-https-pediatrics-vumc_41e6efa85f89,Academic General Pediatrics,https://pediatrics.vumc.org/node/1106,https://pediatrics.vumc.org/node/1106,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,415cf9acea9efe1970803ee2bac1141288af5ccfc165525ee8a627f662af1448,0244f22b9a9cef1161387b30b43627c057cb348cbeca46865990b0aa9d4c5860,"{""current_term_count"":10,""fellow_term_count"":7,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":2,""person_anchor_count"":6,""resident_term_count"":0,""roster_anchor_count"":3,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_d273afebdac4024fc87c,vanderbilt_targeted_route_observation_8675cdc5e5bdefcdc1e5,vanderbilt_targeted_parser_scope_execution_36c6219e8f3b14521e03,vanderbilt_program_fellowship-developmental-behavioral-pediatrics-https-pediatr_68d46c58626d,Developmental-Behavioral Pediatrics,https://pediatrics.vumc.org/person/current-developmental-behavioral-pediatrics-fellows,https://pediatrics.vumc.org/person/developmental-behavioral-pediatrics-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,6434daf7d053bf8848b654eb7bfe49ff531e2f0d4bfed1d68b85402bad00fec9,c33f388d3f55aa97eb417a2c3064d6d561733b0df310a244c0e7ccd2b4703080,"{""current_term_count"":8,""fellow_term_count"":8,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":1,""person_anchor_count"":12,""resident_term_count"":2,""roster_anchor_count"":2,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_ed6faf454981ad9a5c9e,vanderbilt_targeted_route_observation_428582feb6e6cb21efb2,vanderbilt_targeted_parser_scope_execution_4196b773dd8bab5f54c9,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,https://medicine.vumc.org/divisions/gastroenterology-hepatology-nutrition/education/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,1e8527a6a157980545a87bd37d46a3a3bfde2e7e48692a86ce6a21e81851f211,fc0bf7344da33787b04da3376eba74df8d29afd4ee081755627ad1d3431f536d,"{""current_term_count"":26,""fellow_term_count"":24,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":8,""person_anchor_count"":0,""resident_term_count"":6,""roster_anchor_count"":2,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""false""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_c5eb921aa7133960433c,vanderbilt_targeted_route_observation_8328f2480522cc24ecb8,vanderbilt_targeted_parser_scope_execution_c28a19bc8173b7f3101c,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,https://pediatrics.vumc.org/person/current-neonatal-perinatal-medicine-fellows,https://pediatrics.vumc.org/person/neonatal-perinatal-medicine-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,5336a24f18e59835e3645d83e164f4e414482384b0937a8aaae69afb5bb5b97d,61a0ca96010c2fa85a49b72e847931e786a54ca71d531e2c44d6c09b3e35f548,"{""current_term_count"":25,""fellow_term_count"":23,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":4,""person_anchor_count"":34,""resident_term_count"":13,""roster_anchor_count"":4,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_0d2f4082eb1213b09287,vanderbilt_targeted_route_observation_d22bc3924124d7aa31a5,vanderbilt_targeted_parser_scope_execution_fe9d73bb10b30e65e769,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,https://pediatrics.vumc.org/person/current-pediatric-critical-care-fellows,https://pediatrics.vumc.org/person/critical-care-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,e67bb95152b928d1ade234b95bd7d2cfd767b27126c80e7c85b4f19a810e8971,c66c70455b63c3e027f0bb4280796eff49f4eb649d3ba5bc35994081e2e83dcb,"{""current_term_count"":23,""fellow_term_count"":24,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":4,""person_anchor_count"":26,""resident_term_count"":12,""roster_anchor_count"":4,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_ac6a3ba1303fdb94d793,vanderbilt_targeted_route_observation_baee1cbe7328e5b0d8b0,vanderbilt_targeted_parser_scope_execution_0dc9d6d5b5e94e80da87,vanderbilt_program_fellowship-pediatric-emergency-medicine-https-pediatrics-vum_a6784ae6290b,Pediatric Emergency Medicine,https://pediatrics.vumc.org/person/emergency-medicine-fellows,https://pediatrics.vumc.org/person/emergency-medicine-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,e8ef4dd8749afeddce65b4ff566821cad355599356989d26b21ca49e9289934d,691f271ffd623ebc9cb0817f2ecbfb9dfaba7297bbcf2fd39cbfd45a8d756e5e,"{""current_term_count"":22,""fellow_term_count"":22,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":4,""person_anchor_count"":30,""resident_term_count"":12,""roster_anchor_count"":3,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_477603593f85e2bb32a6,vanderbilt_targeted_route_observation_e9c1bc135d3a62a4c64d,vanderbilt_targeted_parser_scope_execution_41f5c0569932a400cde7,vanderbilt_program_fellowship-pediatric-endocrinology-https-pediatrics-vumc-org_2949af87ab6f,Pediatric Endocrinology,https://pediatrics.vumc.org/person/current-pediatric-endocrinology-fellows,https://pediatrics.vumc.org/person/endocrinology-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,664611fbddb3640586587d068054019539a748aeac770f0efd940fe5e7f0d895,024d33aa282635c1b48d603b12588bf2bedd3bdac1b4cc2b1d756c1560007468,"{""current_term_count"":7,""fellow_term_count"":7,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":1,""person_anchor_count"":8,""resident_term_count"":0,""roster_anchor_count"":4,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_ff09c2d7d88aced71260,vanderbilt_targeted_route_observation_54261228198a6a016ff1,vanderbilt_targeted_parser_scope_execution_345a61b460c32a1508b4,vanderbilt_program_fellowship-pediatric-gastroenterology-https-pediatrics-vumc-_f3304fa0a202,Pediatric Gastroenterology,https://pediatrics.vumc.org/person/current-pediatric-gastroenterology-hepatology-and-nutrition-fellows,https://pediatrics.vumc.org/person/gastroenterology-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,cb1ceb521ede8f172cc6dccf71c441d8d3f2bfdfec9bb80352322c9a458da3ae,cfe330fc0af47bce965ee6264d30ca5cfb5d8c6be36f1b82c677d7dc1ed66881,"{""current_term_count"":17,""fellow_term_count"":16,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":4,""person_anchor_count"":17,""resident_term_count"":7,""roster_anchor_count"":2,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_b2fa78a6817d7c2ef911,vanderbilt_targeted_route_observation_544420af4541c9a40624,vanderbilt_targeted_parser_scope_execution_55fe89417ff800ae8a19,vanderbilt_program_fellowship-pediatric-hospital-medicine-https-pediatrics-vumc_fc2f034a3e09,Pediatric Hospital Medicine,https://pediatrics.vumc.org/person/current-pediatric-hospital-medicine-fellows,https://pediatrics.vumc.org/person/hospital-medicine-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,b3546e89b160841a6c81a2030ff10d576bbd674eea581e97429461d72dfca87e,2bd6195797c60fc23b42c9a65e3dbad224c2d6b46116ce487da9c97367863c4d,"{""current_term_count"":8,""fellow_term_count"":8,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":1,""person_anchor_count"":12,""resident_term_count"":2,""roster_anchor_count"":2,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
vanderbilt_targeted_route_parser_scope_39166ce6f7308760a365,vanderbilt_targeted_route_observation_475e01ffc47bf16d4ebe,vanderbilt_targeted_parser_scope_execution_edfcb9a846541bc0f2e7,vanderbilt_program_fellowship-pediatric-infectious-diseases-https-pediatrics-vu_29d33965c0cb,Pediatric Infectious Diseases,https://pediatrics.vumc.org/person/infectious-diseases-fellowship/fellows,https://pediatrics.vumc.org/person/infectious-diseases-fellowship/fellows,200,official_route_current_roster_signal_needs_parser_scope_packet,linked_route_parser_acceptance_or_scope_disposition_packet,exact_parser_build_review,parser_build_candidate_needs_exact_gbrain_approval,"Approve exact parser-build review for this official current-roster route. Approval would allow source-specific parser tests and candidate-only extraction evidence, but not person ingestion or denominator closure.",person_ingestion; training_state_mutation; denominator_closure; vanderbilt_school_verification; url_rewrite; unsupported_label_ingestion; profile_contact_research_fact_acceptance; unique_person_identity_collapse,source_specific_parser_build_packet,scope_disposition_or_source_discovery_recourse_packet,fdc83c9a4ea028f5396df0fff523a33529459a3cf89747e511537cbe9da325bd,19ef176169765eeaf1768db75b111149d13c0dca0307e3de90e90e1a4ab7b86f,"{""current_term_count"":17,""fellow_term_count"":14,""fetch_status"":""fetched"",""heading_current_signal"":""true"",""heading_signal_count"":3,""person_anchor_count"":16,""resident_term_count"":5,""roster_anchor_count"":4,""same_domain_final_url"":""true"",""source_route_observation_rowset_sha256"":""f547a298bf0efdaba630aa9d184ecd85979d0356039bbbd92d3c2fd026745258"",""title_current_signal"":""true""}","Non-mutating Vanderbilt route parser/scope approval-request packet. It asks whether route observations may advance into exact parser-build review, linked-scope disposition, or recourse handling. It authorizes no parser acceptance unless the exact approval line is returned, and it never authorizes person ingestion, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, profile/contact/research-fact acceptance, or unique-person identity collapse.",2026-06-09T04:51:06.681667+00:00
